subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
cs,2000,2001,47,63,0,0,47,0,63,0.0,0.0,100.0
cs,2001,2002,63,65,0,0,63,0,65,0.0,0.0,100.0
cs,2002,2003,65,74,1,0,64,0,73,1.54,0.0,98.46
cs,2003,2004,74,95,0,0,74,0,95,0.0,0.0,100.0
cs,2004,2005,95,87,0,0,95,0,87,0.0,0.0,100.0
cs,2005,2006,87,88,1,0,86,0,87,1.15,0.0,98.85
cs,2006,2007,88,82,0,0,88,0,82,0.0,0.0,100.0
cs,2007,2008,82,100,0,0,82,0,100,0.0,0.0,100.0
cs,2008,2009,100,108,0,0,100,0,108,0.0,0.0,100.0
cs,2009,2010,108,126,0,0,108,0,126,0.0,0.0,100.0
cs,2010,2011,126,144,0,0,126,0,144,0.0,0.0,100.0
cs,2011,2012,144,161,0,0,144,0,161,0.0,0.0,100.0
cs,2012,2013,161,178,1,0,160,0,177,0.62,0.0,99.38
cs,2013,2014,178,185,1,0,177,0,184,0.56,0.0,99.44
cs,2014,2015,185,198,1,0,184,0,197,0.54,0.0,99.46
cs,2015,2016,198,225,0,0,198,0,225,0.0,0.0,100.0
cs,2016,2017,225,239,1,0,224,0,238,0.44,0.0,99.56
cs,2017,2018,239,251,5,0,234,0,246,2.09,0.0,97.91
cs,2018,2019,251,255,16,0,235,0,239,6.37,0.0,93.63
cs,2019,2020,255,257,29,0,226,0,228,11.37,0.0,88.63
cs,2020,2021,257,258,38,0,219,0,220,14.79,0.0,85.21
cs,2021,2022,258,260,41,0,217,0,219,15.89,0.0,84.11
cs,2022,2023,260,261,44,0,216,0,217,16.92,0.0,83.08
cs,2023,2024,261,261,45,0,216,0,216,17.24,0.0,82.76
cs,2024,2025,261,260,58,0,203,0,202,22.22,0.0,77.78
