subject,year_from,year_to,avg_sim,avg_drift,n_topics
cs,2000,2001,0.18611111111111112,0.8138888888888889,36
cs,2001,2002,0.2153846153846154,0.7846153846153846,39
cs,2002,2003,0.2575,0.7424999999999999,40
cs,2003,2004,0.228,0.772,50
cs,2004,2005,0.24464285714285713,0.7553571428571428,56
cs,2005,2006,0.2611111111111111,0.7388888888888888,54
cs,2006,2007,0.2745762711864407,0.7254237288135593,59
cs,2007,2008,0.27903225806451615,0.720967741935484,62
cs,2008,2009,0.2652777777777778,0.7347222222222222,72
cs,2009,2010,0.3037974683544304,0.6962025316455697,79
cs,2010,2011,0.2979381443298969,0.702061855670103,97
cs,2011,2012,0.296,0.704,125
cs,2012,2013,0.33537414965986395,0.6646258503401361,147
cs,2013,2014,0.35061728395061725,0.6493827160493827,162
cs,2014,2015,0.36607142857142855,0.6339285714285714,168
cs,2015,2016,0.3801047120418848,0.6198952879581152,191
cs,2016,2017,0.4429223744292237,0.5570776255707762,219
cs,2017,2018,0.5118143459915612,0.48818565400843883,237
cs,2018,2019,0.5538152610441768,0.4461847389558233,249
cs,2019,2020,0.6227450980392157,0.3772549019607843,255
cs,2020,2021,0.661328125,0.338671875,256
cs,2021,2022,0.6841085271317829,0.31589147286821706,258
cs,2022,2023,0.6888461538461538,0.31115384615384617,260
cs,2023,2024,0.7233716475095786,0.27662835249042145,261
cs,2024,2025,0.7488461538461538,0.2511538461538461,260
