subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.541446,0.458554,"graphs, graph, log, planar, coloring, problem, bhlevel, bits, connected, constriction, convex, crease, crossing, csp, delaunay, edges, eps, equiv, exactcolor, flipturn, flipturns, geq, gg, gi, hbox, hh, hinged, iso, jones, minimum, motwani, np, packing, perfect, polygon, polygons, polyhedra, polylog, rectilinear, rm, spanning, ssss, tree, triconnected, uc, vec, venn, vrn","graphs, graph, problem, vertices, algorithm, digraph, polynomial, vertex, approximation, cal, chordal, coloring, constriction, convex, delaunay, edges, forests, gg, girth, hamiltonian, hh, if, ij, isomorphism, jones, kolam, linear, ln, log, np, packing, paz, perfect, planar, rr, steiner, strip, tree, venn, voronoi"
cs,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.581162,0.418838,"graphs, graph, problem, vertices, algorithm, digraph, polynomial, vertex, approximation, cal, chordal, coloring, constriction, convex, delaunay, edges, forests, gg, girth, hamiltonian, hh, if, ij, isomorphism, jones, kolam, linear, ln, log, np, packing, paz, perfect, planar, rr, steiner, strip, tree, venn, voronoi","graph, graphs, vertex, vertices, gg, log, problem, algorithm, coloring, edge, edges, set, tree, approximation, cal, dominating, kk, maximum, number, planar, steiner, width"
cs,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.675791,0.324209,"graph, graphs, vertex, vertices, gg, log, problem, algorithm, coloring, edge, edges, set, tree, approximation, cal, dominating, kk, maximum, number, planar, steiner, width","gg, graph, graphs, log, vertex, vertices, problem, kk, edges, edge, mathcal, planar, approximation, cal, coloring, frac, hh, width"
cs,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.879714,0.120286,"gg, graph, graphs, log, vertex, vertices, problem, kk, edges, edge, mathcal, planar, approximation, cal, coloring, frac, hh, width","gg, graph, graphs, kk, log, vertex, vertices, problem, mathcal, varepsilon, algorithm, approximation, cal, coloring, frac, hh"
cs,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.453712,0.546288,"classical, quantum, complexity, entanglement, bound, classically, coin, lower, protocols, states, 2q1cas, arthur, automata, bit, commitment, communication, computability, computation, coset, fermionic, flipping, gates, group, mechanics, merlin, message, mistrustful, noncomputable, nondeterministic, oblivious, ph, povm, proofs, protocol, qma, qpa, quant, reversible, subgroup, tenth","quantum, classical, entanglement, gates, reversible, adder, circuits, gate, states, 2qfa, alice, arthur, attack, bcd, cnot, conditional, coset, eigen, ergodic, fredkin, hgasa, mbqc, men, merlin, message, nonlocality, pfaffian, protocol, provers, qber, qis, qml, qrl, secret, sharing, signaling, signalling, stoquastic, subgroup, toffoli, tsg, xml"
cs,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.586738,0.413262,"quantum, classical, entanglement, gates, reversible, adder, circuits, gate, states, 2qfa, alice, arthur, attack, bcd, cnot, conditional, coset, eigen, ergodic, fredkin, hgasa, mbqc, men, merlin, message, nonlocality, pfaffian, protocol, provers, qber, qis, qml, qrl, secret, sharing, signaling, signalling, stoquastic, subgroup, toffoli, tsg, xml","classical, quantum, entanglement, reversible, capacity, channel, circuits, communication, protocol, qubits, adder, arthur, bell, channels, clifford, computation, cryptography, entangled, gate, gates, hart, hidden, inequalities, lmo, merlin, mip, multicarrier, pcp, pfaffian, pnueli, qca, qkd, renyi, secure, security, sharir, signalling, squashed, states, unforgeable"
cs,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.68287,0.31713,"classical, quantum, entanglement, reversible, capacity, channel, circuits, communication, protocol, qubits, adder, arthur, bell, channels, clifford, computation, cryptography, entangled, gate, gates, hart, hidden, inequalities, lmo, merlin, mip, multicarrier, pcp, pfaffian, pnueli, qca, qkd, renyi, secure, security, sharir, signalling, squashed, states, unforgeable","classical, quantum, qubits, states, circuits, reversible, entanglement, communication, mip, qubit, arthur, channel, circuit, clifford, complexity, computation, computers, computing, distinguishability, encryption, entangled, entropy, exact, gate, inequalities, mathsf, protocol, qke, qrng, renyi, unforgeable"
cs,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.519776,0.480224,"classical, quantum, qubits, states, circuits, reversible, entanglement, communication, mip, qubit, arthur, channel, circuit, clifford, complexity, computation, computers, computing, distinguishability, encryption, entangled, entropy, exact, gate, inequalities, mathsf, protocol, qke, qrng, renyi, unforgeable","circuits, classical, computing, quantum, qubit, qubits, circuit, entanglement, computers, states, algorithms, gates, mathsf, mip, qaoa, qkd"
cs,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.0,1.0,"annotated, annotation, annotations, imagined, incomplete, keywords, loose, loosely, plsa, poured","image, tags, verbally, adjectives, bimodal, captions, coco, constructing, describe, description, descriptions, dissimilarities, expressions, gist, gram, grounded, icml, implemented, labels, meanings, modal, multimodal, pairwise, parsing, phrases, questions, referents, referring, representations, represented, scenes, sentence, supplied, tag, visual, visually, words"
cs,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.367478,0.632522,"image, tags, verbally, adjectives, bimodal, captions, coco, constructing, describe, description, descriptions, dissimilarities, expressions, gist, gram, grounded, icml, implemented, labels, meanings, modal, multimodal, pairwise, parsing, phrases, questions, referents, referring, representations, represented, scenes, sentence, supplied, tag, visual, visually, words","image, visual, captioning, vqa, captions, question, answering, questions, caption, modal, aog, attention, coco, cross, description, descriptions, gram, hashtag, images, language, mcb, media, multimodal, object, objects, phrases, reasoning, relationships, riddles, sentence"
cs,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.464157,0.535843,"image, visual, captioning, vqa, captions, question, answering, questions, caption, modal, aog, attention, coco, cross, description, descriptions, gram, hashtag, images, language, mcb, media, multimodal, object, objects, phrases, reasoning, relationships, riddles, sentence","modal, visual, image, text, clip, language, vision, vqa, captioning, multimodal, answering, attention, captions, mllms, question, vlms, caption, questions, reasoning, scene"
cs,3,2000–2005,2005–2010,2000–2005 → 2005–2010,0.196745,0.803255,"observable, markov, optimal, partially, policies, policy, bayes, combinations, decision, departs, economy, evaluating, grep, iteration, leq, market, markovian, optimizing, pomdps, principle, puck, reinforcement, respond, reward, tr, tx, ty, unichain, universe, value, vaps, viewpoint, worlds","iteration, optimal, reward, approximation, arbitrary, ascendants, branch, combinations, control, convergent, cycle, dbns, decision, discounted, entropic, evaluating, extension, function, infinity, instantiation, inverse, leq, limit, linear, lq, lqg, markov, mdps, mountain, observable, optimism, partially, phidbn, phimdp, phimdps, policies, policy, reference, respond, rl, sarsa, stochastic, td, tree, unichain, universe, us"
cs,3,2005–2010,2010–2015,2005–2010 → 2010–2015,0.090382,0.909618,"iteration, optimal, reward, approximation, arbitrary, ascendants, branch, combinations, control, convergent, cycle, dbns, decision, discounted, entropic, evaluating, extension, function, infinity, instantiation, inverse, leq, limit, linear, lq, lqg, markov, mdps, mountain, observable, optimism, partially, phidbn, phimdp, phimdps, policies, policy, reference, respond, rl, sarsa, stochastic, td, tree, unichain, universe, us","policy, markov, empowerment, epsilon, iteration, mdps, value, adp, arcade, atari, average, capi, dec, decision, etd, expectation, exploration, fodds, fscs, limit, lsst, optimal, overestimations, policies, pomdps, precondition, processes, ps, psrl, psrs, regret, reinforcement, relational, relaxation, risk, rpvf, spaces, sqrt, stick"
