subject,year_from,year_to,topic_id,words
math,2000,2001,0,"lambda, dom, thickness, 2dom, domatic, ln, steiner, book, tiled, aut"
math,2000,2001,1,"sbd, sobolev, hyperbolicity, fourier, restriction, cusps, biger, verduyn, randolph, lunel"
math,2000,2001,2,"mdma, asthma, jack, jackknife, particulate, meta, variance, air, particulates, demonstrates"
math,2000,2001,4,"artin, aut, vogtmann, subgroup, groups, auter, amongst, maier, tits, frattini"
math,2000,2001,7,"qb, ideal, glicci, rings, liaison, macaulay, ring, intersection, monomial, dim"
math,2000,2001,8,"damascelli, 0lu, pacella, monotonicity, moving, laplace, lu, symmetry, hyperplane, noncharacteristic"
math,2000,2001,9,"surfaces, singularities, k3, threefolds, terminal, curves, enriques, surface, degree, quadrisecant"
math,2000,2001,12,"growth, marked, marking, ratners, periodic, homemorphisms, saddle, diffeomorphisms, tori, maximal"
math,2000,2001,13,"condensates, atomic, wellposedness, interactions, repulsive, bose, airy, 3s, schrodinger, attractive"
math,2000,2001,14,"scaled, self, cones, barrier, barriers, decomposes, symmetric, relaxations, irreducible, algebraic"
math,2000,2001,15,"bbr, potentials, bbc, titchmarsh, dinger, schr, dirac, spectrum, operators, adjoint"
math,2000,2001,16,"tracial, logic, fisher, free, quantum, oscillating, operational, rapidly, summation, metaphysical"
math,2000,2001,17,"permutations, mn3, pattern, patterns, tableau, mn, avoiding, letters, coloured, prod"
math,2000,2001,21,"tail, fkg, gaussian, random, variables, variances, arguments, independent, nn, terms"
math,2000,2001,25,"eisenstein, zeroes, weight, pm14, 13472i, automorphic, quo, heights, series, faltings"
math,2000,2001,27,"enriques, clusters, cl, kleiman, diagram, adjacencies, showing, varieties, stratification, subvarieties"
math,2000,2001,29,"cumulants, distributions, fusion, free, transform, cumulant, matrices, fs, convolution, test"
math,2000,2001,30,"region, pseudodifferential, eigenvalues, modulus, symbol, phase, determinant, deformations, perturbation, ordinary"
math,2000,2001,31,"hohenberg, fertility, swift, reproductive, pattern, perron, yicang, cushing, rate, net"
math,2000,2001,33,"andr, cubes, quillen, operad, little, hochschild, deligne, homology, associative, cochain"
math,2000,2001,34,"ell, gal, genus, jacobian, curves, hyperelliptic, jacobians, galois, group, curve"
math,2000,2001,36,"ol, inversion, om, inverse, conductivity, measurements, inhomogeneities, practically, index, scattering"
math,2000,2001,38,"lienard, patchy, period, arnold, periodic, perturbed, impulsive, systems, 0g, vector"
math,2000,2001,39,"wormholes, rotating, microlocalized, spacetimes, rough, continuation, euclidean, nielsen, fenchel, ads"
math,2000,2001,40,"frak, leibniz, filiform, lie, solvable, algebras, homology, hl, surjection, derivations"
math,2000,2001,42,"hat, subset, setminus, times, kt, bbb, holomorphic, cite, hartogs, intersections"
math,2000,2001,45,"hida, measures, noise, grey, characterization, shall, white, measure, purpose, theorem"
math,2000,2001,47,"fractals, triple, noncommutative, dimension, spectral, trace, hausdorff, dixmier, similar, generalises"
math,2000,2001,48,"andrews, identities, gordon, poised, summation, shukla, garrett, ismail, stanton, psi"
math,2000,2001,49,"saw, avoiding, self, flory, walk, process, collectable, displacement, exponent, point"
math,2000,2001,51,"motzkin, numbers, tangent, catalan, triangles, bernoulli, triangle, means, ways, easily"
math,2000,2001,52,"radiographs, images, invertability, suppose, restoration, object, corrupted, laws, hopelessly, radiography"
