subject,topic_id,window,win_start,win_end,top_words,n_words
math,0,2000–2005,2000,2005,"graph, graphs, matroids, 2dom, aut, book, chromatic, circuit, cn, covered, covering, digraph, distinguishing, dom, domatic, edges, gg, half, hamilton, hedrite, hedrites, hereditary, heterochromatic, hypergraph, imbeddings, lambda, laplacian, lattice, ln, locally, minimalizable, number, polynomial, polynomials, quadrangularity, ranks, rceil, removing, routing, semisymmetric, sets, steiner, theta, thickness, tiled, tournaments, transfinite, tutte, unlabeled, vertex, vertices",51
math,0,2005–2010,2005,2010,"graph, graphs, vertices, edges, vertex, gg, number, chromatic, connected, edge, geq, alliance, bbz, bidirected, cchi, cn, covering, decycling, defensive, digraphs, directed, distinguishing, hereditary, heterochromatic, laplacian, mcc, offensive, paired, rainbow, rb, rceil, semisymmetric",32
math,0,2010–2015,2010,2015,"edge, gg, graph, graphs, number, vertices, edges, vertex, every, chromatic, coloring, connected, degree, directed, if, kk, minimum, rainbow, set",19
math,0,2015–2020,2015,2020,"edge, gg, graph, graphs, number, vertex, vertices, coloring, edges, every, kk, chromatic, connected, geq, if, mathcal",16
math,0,2020–2025,2020,2025,"edge, gg, graph, graphs, number, vertex, vertices, every, kk, coloring, mathcal, cal, chromatic, edges, ell, geq, hh, if",18
math,1,2000–2005,2000,2005,"operators, commuting, dilation, dilations, dunkl, transform, 1h, ast, bergman, biger, bounded, cr, cusps, doubling, f3, fh, fourier, hardy, hermitian, hoelder, hyperbolicity, hyperinvariant, inequality, invariant, lacunary, lunel, maximal, multivariable, operator, paley, pollard, qtext, randolph, restriction, sbd, schwartz, selfadjoint, shifts, sobolev, spaces, subspaces, svep, symbol, theorem, transaloid, tuples, umd, verduyn, weighted, weyl, zr, zygmund",52
math,1,2005–2010,2005,2010,"hardy, operators, spaces, operator, inequalities, functions, inequality, int, weighted, bbk, besov, bmo, const, cr, dunkl, dyadic, fh, generalized, ginf, infty, interpolation, lebesgue, nevanlinna, norm, orlicz, pick, pmb, pollard, riesz, rn, sf, smirnov, sobolev, symbol, transform, trudinger, vec",37
math,1,2010–2015,2010,2015,"hardy, infty, operator, operators, spaces, functions, inequalities, weighted, mathbb, varphi, bergman, besov, bf, bounded, boundedness, carleson, const, dyadic, frac, int, mathsf, orlicz, sobolev, space, tilde, zygmund",26
math,1,2015–2020,2015,2020,"hardy, mathbb, operator, operators, spaces, infty, weighted, inequalities, boundedness, functions, sobolev, space, bar, big, commutators, frac, int, left, mathcal, on, right, varphi",22
math,1,2020–2025,2020,2025,"hardy, infty, mathbb, operator, operators, spaces, weighted, bergman, sobolev, boundedness, frac, inequalities, mathcal, space, bar, varphi",16
math,2,2000–2005,2000,2005,"estimation, estimator, estimators, jackknife, parameter, regression, aggregation, air, asthma, beta, bic, censored, datum, demonstrates, effect, fiducial, gom, guessed, ifs, inference, jack, likelihood, location, mdma, meta, minimax, mmse, model, models, nonparametric, particulate, particulates, pdf, predictive, prior, probabilities, risk, sample, samples, shrinkage, size, treatment, variance, weibull",44
math,2,2005–2010,2005,2010,"estimators, estimation, regression, estimator, likelihood, models, selection, bolds, tests, adaptive, asymptotic, bic, confidence, data, densities, density, distribution, empirical, fdp, fwer, inference, lasso, mathbf, mathit, minimax, model, nonparametric, oracle, parameter, penalized, procedure, procedures, quim, risk, sample, testing",36
math,2,2010–2015,2010,2015,"estimation, estimators, regression, sample, estimator, selection, lasso, likelihood, testing, models, oracle, test, confidence, covariates, data, densities, density, distribution, high, mle, model, nonparametric, penalized, posterior, procedure",25
math,2,2015–2020,2015,2020,"estimation, estimator, estimators, regression, data, sample, test, testing, bayesian, inference, model, selection, tests, distribution, error, lasso, likelihood, minimax, models, nonparametric, posterior",21
math,2,2020–2025,2020,2025,"data, estimation, estimator, estimators, inference, regression, sample, models, causal, test, bayesian, testing, covariates, likelihood, model, treatment",16
math,3,2000–2005,2000,2005,"knot, knots, invariants, link, links, manifold, manifolds, vassiliev, jones, alexander, bbb, branched, casson, concordance, dehn, fibred, fillings, heegaard, homology, hyperbolic, ieie, khovanov, knotted, legendrian, linking, morse, moves, polynomial, pretzel, ropelength, signature, skein, sphere, thurston, triangulation, virtual",36
math,3,2005–2010,2005,2010,"knot, knots, link, heegaard, homology, floer, khovanov, links, alexander, invariants, manifolds, surgery, concordance, fibred, genus, homfly, hyperbolic, ieie, jones, legendrian, manifold, rope, splittings, torus, triangulations, tunnel, vassiliev",27
math,3,2010–2015,2010,2015,"homology, knot, knots, heegaard, invariants, link, floer, links, genus, khovanov, surgery, alexander, bmatrix, concordance, crossing, hyperbolic, invariant, jones, legendrian, moves, seifert, slice, sutured, virtual",24
math,3,2015–2020,2015,2020,"homology, knot, knots, link, links, floer, invariants, crossing, heegaard, khovanov, manifolds, surgery, alexander, colored, concordance, diagrams, invariant, legendrian, linking, manifold, moves, ribbon, seifert, slice, surgeries, virtual",26
math,3,2020–2025,2020,2025,"homology, knot, knots, link, links, floer, invariants, manifolds, alexander, legendrian, alternating, contact, crossing, diagrams, heegaard, hyperbolic, jones, khovanov, ribbon, seifert, skein, slice, spheres, surgery",24
math,4,2000–2005,2000,2005,"groups, group, subgroups, artin, cat, free, solvable, subgroup, tits, amongst, approx0, aut, auter, automorphism, automorphisms, bergman, bestvina, combable, conjugacy, coset, coxeter, decompositions, det, diagram, dimension, fin, finite, finitely, frattini, gamma, generating, gg, jsj, maier, ncc, platonov, poset, precsim, psl, relator, thompson, virtually, vogtmann",43
math,4,2005–2010,2005,2010,"group, groups, subgroups, free, subgroup, finitely, finite, gg, nilpotent, residually, angled, artin, automorphism, baumslag, cat, fic, garside, generated, hyperbolic, jj, ncc, orderings, pl, relatively, solitar, solvable, virtually, word, wr",29
math,4,2010–2015,2010,2015,"gg, group, groups, subgroup, subgroups, finite, finitely, free, aut, generated, hyperbolic, 2p, artin, cat, conjugacy, cyclic, floyd, gam, mathfrak, nilpotent, orderings, word",22
math,4,2015–2020,2015,2020,"finite, gg, group, groups, subgroup, subgroups, aut, finitely, angled, hyperbolic, abelian, artin, bullet, floyd, free, langle, mathbb, mathrm, mathscr, out, pp, rm, virtually, word",24
math,4,2020–2025,2020,2025,"finite, gg, group, groups, subgroup, subgroups, finitely, free, hyperbolic, artin, pp, abelian, aut, conjugacy, generated, mathbb, mathscr, thompson",18
math,5,2000–2005,2000,2005,"control, systems, output, feedback, adaptation, adaptive, attainable, attitude, basic, cart, charactarized, compensators, domination, ellipsoid, engine, estimation, greitzer, inefficient, input, inverted, jet, lambda, laws, linearity, linearization, lyapunov, matching, monotonic, multivariable, nonholonomic, nonlinear, parametrization, pendulum, plus, prospective, regions, regulation, require, semimodules, semiring, shouten, spr, stabilizability, stall, surge, trailers, trajectory, unactuated, wagner",49
math,5,2005–2010,2005,2010,"control, systems, attitude, feedback, lyapunov, stabilization, switched, atlas, begin, bisimilar, cala, champagne, constraints, controllability, controlled, controller, cr, ellipsoid, estimation, filter, gain, inputs, integrator, iss, kyp, linear, lossless, mathfrak, observability, output, parametrical, pdv02, pmatrix, reconfiguration, robust, sliding, spacecraft, stability, stabilizability, state, switching, symbolic, system, trailers, trajectory, underactuation, varying",47
math,5,2010–2015,2010,2015,"control, systems, system, feedback, state, controllability, controller, filter, input, linear, lyapunov, output, stability, stabilization, switching, atlas, attitude, cala, controllers, deflection, differential, hg, hm, iss, lossless, navigation, nonlinear, optimal, quadrotor, rolling, switched, time, underactuation",33
math,5,2015–2020,2015,2020,"control, system, systems, controller, state, input, koopman, time, attitude, controllability, linear, mpc, predictive, constraints, controllers, design, dmd, feedback, lpv, lyapunov, mode, nonlinear, pendulum, proposed, stability, trajectory",26
math,5,2020–2025,2020,2025,"control, controller, mpc, system, systems, state, safety, koopman, nonlinear, based, design, feedback, predictive, time, constraints, input, linear, proposed, trajectory",19
math,6,2000–2005,2000,2005,"algebra, algebras, banach, crossed, completely, cuntz, krieger, unital, von, aa, amenability, ast, automorphisms, betti, ca, cal, cb, cl, flgee, gns, hf, hilbert, idgba, if, imprimitivity, meet, nest, oa, oc, operator, pi, rank, rieffel, rokhlin, rtimes, space, subalgebras, talamanca, tau, tracial, ultragraph",41
math,6,2005–2010,2005,2010,"algebra, algebras, unital, banach, af, amenability, cal, crossed, cuntz, derivations, mathcal, neumann, tracial, von, aa, actions, arens, bbt, big, cc, cl, compact, ell, fa, flgee, if, module, nest, rokhlin, rtimes, subalgebra, tau, tr, tracially, widetilde",35
math,6,2010–2015,2010,2015,"algebra, algebras, unital, von, banach, crossed, neumann, leavitt, aa, ast, cuntz, mathcal, product, actions, amenability, arens, ca, cl, curvearrowright, ell, module, property, rokhlin, rtimes, separable, uhf",26
math,6,2015–2020,2015,2020,"algebra, algebras, mathcal, banach, unital, von, aa, leavitt, ast, cuntz, neumann, product, rtimes, alg, aw, cal, crossed, frak, group, groupoid, gs, if, luc, mathfrak, operator, otimes, ultragraph, varphi",28
math,6,2020–2025,2020,2025,"algebra, algebras, mathcal, unital, von, aa, group, leavitt, mathfrak, mathscr, neumann, nuclear, tracial, varphi, actions, amenable, ann, baer, banach, bf, bolda, crossed, groupoid, lht, mathrm, path, rtimes, tdz, ultragraph",29
math,7,2000–2005,2000,2005,"ideal, ring, ideals, rings, macaulay, cohen, fa, modules, rees, star, artinian, ast, bases, buchsbaum, cap, cl, closure, cohomology, computes, dim, ext, gins, glicci, gorenstein, grobner, intersection, janet, kunz, liaison, longmapsto, module, monomial, multr, noetherian, pommaret, qb, qfqf, rr, scr",39
math,7,2005–2010,2005,2010,"ideal, ring, rings, ideals, monomial, modules, cohen, gorenstein, local, macaulay, rr, stanley, artinian, ass, ast, biss, bner, cl, clean, dim, gfd, gr, graded, levalg, qfqf, quotients, rm, sdepth, star, tor",30
math,7,2010–2015,2010,2015,"cohen, ideal, ideals, macaulay, ring, modules, rings, rr, module, depth, fa, gorenstein, monomial, bner, gr, graded, quasipolar, stanley",18
math,7,2015–2020,2015,2020,"ideal, ideals, ring, rings, rr, modules, gorenstein, module, local, mathfrak, monomial, noetherian, cohen, frak, graded, injective, macaulay, nilary, quasipolar, subseteq, tor, underline",22
math,7,2020–2025,2020,2025,"ideal, ideals, ring, rings, rr, gorenstein, graded, macaulay, modules, monomial, cohen, injective, mathfrak, module, nilary, noetherian, operatorname, primary, prime, reg, rm, subseteq, underline, vartriangleleft",24
math,8,2000–2005,2000,2005,"boundary, 0lu, 2uln, annuli, array, begin, bolle, damascelli, domains, ell, elliptic, equation, ergodic, fouler, ge, hyperplane, jensen, laplace, lemma, lll, lu, minima, monotonicity, moving, noncharacteristic, pacella, partial, pm, principle, problem, quasiconvex, quasiconvexity, regularity, solutions, symmetry, thin, touch, triangledown, unstable",39
math,8,2005–2010,2005,2010,"elliptic, boundary, parabolic, solutions, equations, nabla, partial, problems, regularity, semilinear, blow, cdot, cer, dirichlet, domains, ell, eqnarray, equation, free, ge, geq, goursat, growth, gw, infty, laplacian, lemma, mountain, nonlinear, posedness, principle, prt, quad, solution, textrm, triangledown, uniqueness, unstable, up, vert",40
math,8,2010–2015,2010,2015,"elliptic, solutions, boundary, parabolic, equations, partial, regularity, array, begin, end, equation, nonlinear, quad, quasilinear, changing, critical, dirichlet, fl, frac, gk, growth, infty, laplacian, mydirac, nabla, om, semilinear, sign, sq, uniqueness, vert",31
math,8,2015–2020,2015,2020,"elliptic, quad, solutions, begin, boundary, partial, mbox, regularity, end, equation, existence, frac, laplacian, nabla, array, fractional, mathbb, parabolic, text",19
math,8,2020–2025,2020,2025,"elliptic, nabla, regularity, solutions, equation, begin, quad, frac, partial, boundary, end, text, div, du, equations, fractional, int, laplacian, mathbb, mathtt, mbox, nonlocal, parabolic",23
math,9,2000–2005,2000,2005,"surfaces, k3, moduli, curves, degree, birational, bundles, curve, enriques, genus, kodaira, singularities, surface, terminal, bundle, cc, corti, degeneration, dominable, fano, fat, fibration, fibre, general, hilb, kbm, nef, noether, pezzo, projective, quadrisecant, stable, supersingular, tautological, threefolds, varieties, varities",37
math,9,2005–2010,2005,2010,"moduli, surfaces, k3, curves, fano, surface, genus, bundles, curve, projective, stable, bbz, bf, birational, bundle, canonical, epw, gizatullin, hilb, k3k3, mhu, pezzo, rational, sextics, sheaves, singularities, smooth, space, supersingular, tbinom, threefolds",31
math,9,2010–2015,2010,2015,"k3, projective, moduli, surfaces, curves, fano, surface, bundles, rational, sheaves, stable, birational, bois, brill, bundle, canonical, curve, del, enriques, genus, gizatullin, mhu, pezzo, picard, semistable, singularities, smooth, space, supersingular, threefolds, varieties",31
math,9,2015–2020,2015,2020,"surfaces, curves, fano, moduli, k3, projective, varieties, cubic, smooth, bundles, canonical, surface, threefolds, birational, characteristic, check, degree, fourfolds, genus, log, mathbb, nef, rational, sheaves, singularities, variety",26
math,9,2020–2025,2020,2025,"fano, moduli, surfaces, varieties, curves, k3, projective, mathbb, smooth, canonical, cubic, surface, bundles, curve, enriques, mathcal, singularities, stability, threefolds, variety, xx",21
math,10,2000–2005,2000,2005,"stokes, incompressible, navier, 2d, equations, euler, solutions, averaged, averaging, blow, breakdown, clopeau, couette, critical, dyadic, ergodicity, flow, friction, geostrophic, homoclinic, hyperviscosity, id, instability, isospectral, lax, mikeli, motion, motions, nabla, obstacle, orr, oseledets, pavlovic, profile, quasi, resolvent, solid, sommerfeld, stability, tge, threshold, vortices",42
math,10,2005–2010,2005,2010,"navier, stokes, equations, solutions, incompressible, euler, vortex, vorticity, fluid, initial, vortices, bbb, blowup, bom, boundary, du, eps, equation, flow, fluids, frac32k, instability, kinematic, ml, obstacle, regularity, shell, shock, stability, tge",30
math,10,2010–2015,2010,2015,"equations, navier, stokes, incompressible, solutions, compressible, initial, euler, velocity, fluid, fluids, vacuum, vorticity, bom, dot, equation, global, palinstrophy, shear, solution, viscosity, viscous, vortex",23
math,10,2015–2020,2015,2020,"compressible, equations, euler, incompressible, navier, solutions, stokes, fluid, initial, vorticity, velocity, bbb, infty, pm, solution, time, vacuum, vortex",18
math,10,2020–2025,2020,2025,"compressible, equations, euler, initial, navier, solutions, stokes, fluid, incompressible, vortex, boundary, frac, posedness, ve, velocity, viscosity, vorticity, weak",18
math,11,2000–2005,2000,2005,"manifolds, metric, metrics, ricci, curvature, einstein, flow, hler, kahler, compatible, kaehler, bisectional, bundle, cal, compact, hkt, hyperk, hyperkaehler, lie, osserman, pseudo, qkt, quaternionic, riemannian, sasakian, scalar, scriptstyle, wbf",28
math,11,2005–2010,2005,2010,"metrics, ricci, curvature, einstein, hler, manifolds, metric, manifold, almost, flow, riemannian, compact, connection, hermitian, hm, invariant, iso, kahler, sasaki, sasakian, structures, tensor, varsigma, wbf",24
math,11,2010–2015,2010,2015,"curvature, einstein, hler, manifolds, metric, metrics, ricci, manifold, riemannian, finsler, kahler, almost, flat, flow, invariant, kenmotsu, soliton",17
