subject,topic_id,year_from,year_to,cosine_sim,drift
physics,0,2000,2001,0.153833,0.846167
physics,2,2000,2001,0.137122,0.862878
physics,3,2000,2001,0.149061,0.850939
physics,4,2000,2001,0.085644,0.914356
physics,7,2000,2001,0.099074,0.900926
physics,8,2000,2001,0.111746,0.888254
physics,10,2000,2001,0.157836,0.842164
physics,11,2000,2001,0.036864,0.963136
physics,12,2000,2001,0.144074,0.855926
physics,14,2000,2001,0.090416,0.909584
physics,15,2000,2001,0.150052,0.849948
physics,16,2000,2001,0.0,1.0
physics,18,2000,2001,0.0,1.0
physics,19,2000,2001,0.063416,0.936584
physics,21,2000,2001,0.094291,0.905709
physics,22,2000,2001,0.135416,0.864584
physics,23,2000,2001,0.0,1.0
physics,25,2000,2001,0.014636,0.985364
physics,26,2000,2001,0.147948,0.852052
physics,28,2000,2001,0.0,1.0
physics,29,2000,2001,0.068484,0.931516
physics,33,2000,2001,0.0,1.0
physics,36,2000,2001,0.045191,0.954809
physics,37,2000,2001,0.032069,0.967931
physics,40,2000,2001,0.0,1.0
physics,42,2000,2001,0.135416,0.864584
physics,45,2000,2001,0.0,1.0
physics,46,2000,2001,0.022228,0.977772
physics,47,2000,2001,0.144074,0.855926
physics,51,2000,2001,0.008657,0.991343
physics,52,2000,2001,0.167486,0.832514
physics,53,2000,2001,0.053849,0.946151
physics,55,2000,2001,0.348061,0.651939
physics,63,2000,2001,0.158709,0.841291
physics,64,2000,2001,0.012531,0.987469
physics,65,2000,2001,0.267486,0.732514
physics,70,2000,2001,0.09936,0.90064
physics,72,2000,2001,0.27228,0.72772
physics,77,2000,2001,0.032069,0.967931
physics,79,2000,2001,0.235416,0.764584
physics,80,2000,2001,0.235416,0.764584
physics,82,2000,2001,0.063416,0.936584
physics,83,2000,2001,0.0,1.0
physics,85,2000,2001,0.0,1.0
physics,89,2000,2001,0.298833,0.701167
physics,92,2000,2001,0.0,1.0
physics,93,2000,2001,0.0,1.0
physics,94,2000,2001,0.0,1.0
physics,96,2000,2001,0.0,1.0
physics,99,2000,2001,0.244074,0.755926
physics,101,2000,2001,0.0,1.0
physics,104,2000,2001,0.0,1.0
physics,106,2000,2001,0.244074,0.755926
physics,107,2000,2001,0.0,1.0
physics,108,2000,2001,0.0,1.0
physics,109,2000,2001,0.040727,0.959273
physics,116,2000,2001,0.077261,0.922739
physics,119,2000,2001,0.068484,0.931516
physics,120,2000,2001,0.225833,0.774167
physics,121,2000,2001,0.322126,0.677874
physics,126,2000,2001,0.0,1.0
physics,127,2000,2001,0.032069,0.967931
physics,130,2000,2001,0.139291,0.860709
physics,133,2000,2001,0.055362,0.944638
physics,134,2000,2001,0.0,1.0
physics,140,2000,2001,0.330902,0.669098
physics,141,2000,2001,0.0,1.0
physics,145,2000,2001,0.182313,0.817687
physics,146,2000,2001,0.235416,0.764584
physics,149,2000,2001,0.0,1.0
physics,151,2000,2001,0.0,1.0
physics,154,2000,2001,0.032069,0.967931
physics,155,2000,2001,0.0,1.0
physics,162,2000,2001,0.014636,0.985364
physics,164,2000,2001,0.022228,0.977772
physics,165,2000,2001,0.0,1.0
physics,171,2000,2001,0.0,1.0
physics,175,2000,2001,0.01851,0.98149
physics,187,2000,2001,0.008657,0.991343
physics,191,2000,2001,0.0,1.0
physics,194,2000,2001,0.0,1.0
physics,199,2000,2001,0.0,1.0
physics,212,2000,2001,0.0,1.0
physics,0,2001,2002,0.0,1.0
physics,1,2001,2002,0.0,1.0
physics,2,2001,2002,0.126833,0.873167
physics,3,2001,2002,0.095486,0.904514
physics,4,2001,2002,0.135416,0.864584
physics,7,2001,2002,0.078052,0.921948
physics,8,2001,2002,0.27136,0.72864
physics,10,2001,2002,0.09936,0.90064
physics,11,2001,2002,0.033146,0.966854
physics,12,2001,2002,0.063416,0.936584
physics,13,2001,2002,0.090416,0.909584
physics,14,2001,2002,0.090416,0.909584
physics,15,2001,2002,0.167486,0.832514
physics,16,2001,2002,0.032069,0.967931
physics,18,2001,2002,0.0,1.0
physics,19,2001,2002,0.0,1.0
physics,21,2001,2002,0.157801,0.842199
physics,22,2001,2002,0.139291,0.860709
physics,23,2001,2002,0.003874,0.996126
physics,24,2001,2002,0.0,1.0
physics,25,2001,2002,0.0,1.0
physics,26,2001,2002,0.135416,0.864584
physics,27,2001,2002,0.252731,0.747269
physics,28,2001,2002,0.014636,0.985364
physics,29,2001,2002,0.346988,0.653012
physics,32,2001,2002,0.108608,0.891392
physics,33,2001,2002,0.0,1.0
physics,36,2001,2002,0.059827,0.940173
physics,37,2001,2002,0.135416,0.864584
physics,40,2001,2002,0.0,1.0
physics,41,2001,2002,0.0,1.0
physics,42,2001,2002,0.167486,0.832514
physics,45,2001,2002,0.0,1.0
physics,46,2001,2002,0.0,1.0
physics,47,2001,2002,0.026102,0.973898
physics,51,2001,2002,0.289265,0.710735
physics,52,2001,2002,0.498579,0.501421
physics,53,2001,2002,0.229707,0.770293
physics,55,2001,2002,0.032069,0.967931
physics,58,2001,2002,0.090416,0.909584
physics,60,2001,2002,0.045191,0.954809
physics,63,2001,2002,0.244074,0.755926
physics,64,2001,2002,0.247948,0.752052
physics,65,2001,2002,0.035944,0.964056
physics,69,2001,2002,0.0,1.0
physics,70,2001,2002,0.0,1.0
physics,71,2001,2002,0.045191,0.954809
physics,72,2001,2002,0.438477,0.561523
physics,77,2001,2002,0.014636,0.985364
