subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
physics,2000,2001,108,114,0,95,0,0,13,0,114,0.0,87.96,0.0,0.0,12.04
physics,2001,2002,114,128,3,93,0,0,18,0,125,2.63,81.58,0.0,0.0,15.79
physics,2002,2003,128,125,0,114,0,0,14,0,125,0.0,89.06,0.0,0.0,10.94
physics,2003,2004,125,158,4,106,0,0,15,0,154,3.2,84.8,0.0,0.0,12.0
physics,2004,2005,158,157,0,146,0,0,12,0,157,0.0,92.41,0.0,0.0,7.59
physics,2005,2006,157,174,7,141,0,0,9,0,167,4.46,89.81,0.0,0.0,5.73
physics,2006,2007,174,182,7,154,0,0,13,0,175,4.02,88.51,0.0,0.0,7.47
physics,2007,2008,182,191,10,157,0,0,15,0,181,5.49,86.26,0.0,0.0,8.24
physics,2008,2009,191,196,11,166,0,0,14,0,185,5.76,86.91,0.0,0.0,7.33
physics,2009,2010,196,209,14,169,0,0,13,0,195,7.14,86.22,0.0,0.0,6.63
physics,2010,2011,209,219,23,183,0,0,3,0,196,11.0,87.56,0.0,0.0,1.44
physics,2011,2012,219,223,22,191,0,0,6,0,201,10.05,87.21,0.0,0.0,2.74
physics,2012,2013,223,222,41,178,0,0,4,0,181,18.39,79.82,0.0,0.0,1.79
physics,2013,2014,222,221,46,170,0,0,6,0,175,20.72,76.58,0.0,0.0,2.7
physics,2014,2015,221,224,49,165,0,0,7,0,175,22.17,74.66,0.0,0.0,3.17
physics,2015,2016,224,228,51,171,0,1,1,0,176,22.77,76.34,0.0,0.45,0.45
physics,2016,2017,228,231,56,169,0,0,3,0,175,24.56,74.12,0.0,0.0,1.32
physics,2017,2018,231,231,59,167,0,0,5,0,172,25.54,72.29,0.0,0.0,2.16
physics,2018,2019,231,232,60,170,0,0,1,0,172,25.97,73.59,0.0,0.0,0.43
physics,2019,2020,232,231,65,163,0,0,4,0,166,28.02,70.26,0.0,0.0,1.72
physics,2020,2021,231,232,83,145,1,1,1,1,148,35.93,62.77,0.43,0.43,0.43
physics,2021,2022,232,232,74,156,0,0,2,0,158,31.9,67.24,0.0,0.0,0.86
physics,2022,2023,232,231,72,159,0,0,1,0,159,31.03,68.53,0.0,0.0,0.43
physics,2023,2024,231,231,78,152,0,0,1,0,153,33.77,65.8,0.0,0.0,0.43
physics,2024,2025,231,232,87,142,0,0,2,0,145,37.66,61.47,0.0,0.0,0.87
