subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
cs,2000,2001,36,0.346568,0.872856,0.469269
cs,2001,2002,39,0.382936,0.859671,0.505345
cs,2002,2003,40,0.37011,0.857319,0.482796
cs,2003,2004,50,0.34594,0.875509,0.474962
cs,2004,2005,56,0.376799,0.874247,0.507344
cs,2005,2006,54,0.381453,0.854235,0.494396
cs,2006,2007,59,0.382464,0.857529,0.500931
cs,2007,2008,62,0.382314,0.843636,0.495819
cs,2008,2009,72,0.381543,0.8545,0.497157
cs,2009,2010,79,0.39795,0.825961,0.511778
cs,2010,2011,97,0.38746,0.838982,0.502858
cs,2011,2012,125,0.387982,0.820054,0.494919
cs,2012,2013,147,0.403676,0.801919,0.506464
cs,2013,2014,162,0.40912,0.789875,0.51132
cs,2014,2015,168,0.408063,0.772679,0.501231
cs,2015,2016,191,0.411886,0.771707,0.502801
cs,2016,2017,219,0.438183,0.742859,0.516471
cs,2017,2018,237,0.465645,0.67988,0.514992
cs,2018,2019,249,0.484968,0.621747,0.501116
cs,2019,2020,255,0.514639,0.560013,0.4903
cs,2020,2021,256,0.536057,0.505461,0.471067
cs,2021,2022,258,0.543243,0.491067,0.471378
cs,2022,2023,260,0.543754,0.489674,0.46763
cs,2023,2024,261,0.557527,0.456682,0.460392
cs,2024,2025,260,0.576049,0.417065,0.440727
