subject,year_from,year_to,topic_id,ttc,tts,ttq
math,2000,2001,0,0.478916,0.2,0.282165
math,2000,2001,1,0.395234,0.1,0.159615
math,2000,2001,3,0.44337,0.6,0.509928
math,2000,2001,4,0.440293,0.5,0.468251
math,2000,2001,5,0.548969,0.3,0.387978
math,2000,2001,6,0.312478,0.4,0.350863
math,2000,2001,7,0.446424,0.5,0.471696
math,2000,2001,9,0.414932,0.5,0.453512
math,2000,2001,10,0.297775,0.5,0.373257
math,2000,2001,11,0.633,0.7,0.664816
math,2000,2001,12,0.620717,0.3,0.4045
math,2000,2001,13,0.444819,0.2,0.275934
math,2000,2001,15,0.368697,0.5,0.424425
math,2000,2001,16,0.61755,0.1,0.172127
math,2000,2001,17,0.322914,0.2,0.247011
math,2000,2001,20,0.346509,0.2,0.253616
math,2000,2001,21,0.47872,0.0,0.0
math,2000,2001,23,0.415324,0.3,0.348366
math,2000,2001,25,0.353999,0.5,0.41452
math,2000,2001,27,0.507618,0.0,0.0
math,2000,2001,28,0.19389,0.3,0.235547
math,2000,2001,29,0.46023,0.2,0.27883
math,2000,2001,30,0.290727,0.1,0.148813
math,2000,2001,31,0.257868,0.0,0.0
math,2000,2001,33,0.333196,0.0,0.0
math,2000,2001,34,0.446569,0.2,0.27627
math,2000,2001,35,0.722873,0.6,0.65573
math,2000,2001,36,0.307116,0.3,0.303516
math,2000,2001,38,0.570311,0.2,0.296146
math,2000,2001,39,0.365298,0.3,0.329445
math,2000,2001,40,0.424301,0.4,0.411792
math,2000,2001,41,0.483193,0.2,0.282903
math,2000,2001,42,0.406531,0.0,0.0
math,2000,2001,43,0.445888,0.5,0.471396
math,2000,2001,44,0.463024,0.8,0.586559
math,2000,2001,45,0.507434,0.0,0.0
math,2000,2001,47,0.412219,0.3,0.347269
math,2000,2001,48,0.34597,0.5,0.408963
math,2000,2001,49,0.459221,0.3,0.362915
math,2000,2001,51,0.450863,0.1,0.163693
math,2000,2001,55,0.35713,0.8,0.493815
math,2000,2001,57,0.362002,0.3,0.328098
math,2000,2001,60,0.424908,0.3,0.351693
math,2000,2001,61,0.519123,0.1,0.167696
math,2000,2001,62,0.06523,0.0,0.0
math,2000,2001,63,0.201285,0.1,0.133618
math,2000,2001,64,0.349945,0.6,0.442062
math,2000,2001,67,0.365137,0.2,0.258441
math,2000,2001,68,0.364217,0.3,0.329004
math,2000,2001,69,0.462561,0.3,0.363953
math,2000,2001,70,0.192706,0.2,0.196285
math,2000,2001,73,0.068191,0.0,0.0
math,2000,2001,75,0.035387,0.0,0.0
math,2000,2001,78,0.231755,0.4,0.293474
math,2000,2001,83,0.267164,0.2,0.228754
math,2000,2001,88,0.382763,0.6,0.467372
math,2000,2001,91,0.513642,0.3,0.378772
math,2000,2001,93,0.441367,0.5,0.468857
math,2000,2001,97,0.280314,0.0,0.0
math,2000,2001,100,0.376145,0.0,0.0
math,2000,2001,101,0.585643,0.0,0.0
math,2000,2001,108,0.368649,0.3,0.3308
math,2000,2001,109,0.326398,0.4,0.35947
math,2000,2001,111,0.499219,0.1,0.166623
math,2000,2001,116,0.339215,0.3,0.318405
math,2000,2001,117,0.360908,0.0,0.0
math,2000,2001,119,0.469221,0.3,0.365997
math,2000,2001,128,0.324282,0.4,0.358183
math,2000,2001,131,0.267447,0.3,0.28279
math,2000,2001,133,0.252386,0.3,0.274141
math,2000,2001,136,0.270726,0.0,0.0
math,2000,2001,137,0.381966,0.3,0.336057
math,2000,2001,138,0.519404,0.7,0.596329
math,2000,2001,139,0.406282,0.4,0.403116
math,2000,2001,140,0.382761,0.2,0.262722
math,2000,2001,141,0.348357,0.3,0.322375
math,2000,2001,142,0.293182,0.2,0.237788
math,2000,2001,144,0.297886,0.6,0.398117
math,2000,2001,145,0.215772,0.2,0.207587
math,2000,2001,146,0.357646,0.1,0.156298
math,2001,2002,0,0.340221,0.2,0.251913
math,2001,2002,1,0.410038,0.1,0.160787
math,2001,2002,2,0.236173,0.0,0.0
math,2001,2002,3,0.602888,0.6,0.60144
math,2001,2002,4,0.350698,0.5,0.412247
math,2001,2002,5,0.446657,0.2,0.276287
math,2001,2002,6,0.343499,0.4,0.369603
math,2001,2002,7,0.910382,0.6,0.7233
math,2001,2002,9,0.247608,0.5,0.331201
math,2001,2002,10,0.358622,0.5,0.417672
math,2001,2002,11,0.450039,0.7,0.547855
math,2001,2002,12,0.392816,0.3,0.340191
math,2001,2002,13,0.399441,0.3,0.342652
math,2001,2002,14,0.41378,0.0,0.0
math,2001,2002,15,0.353621,0.5,0.41426
math,2001,2002,16,0.395852,0.1,0.159665
math,2001,2002,17,0.418113,0.5,0.455405
math,2001,2002,20,0.296133,0.2,0.238753
math,2001,2002,21,0.382744,0.3,0.336358
math,2001,2002,23,0.423334,0.3,0.351152
math,2001,2002,25,0.289331,0.2,0.236511
math,2001,2002,27,0.523273,0.1,0.167911
math,2001,2002,28,0.321001,0.3,0.310146
math,2001,2002,29,0.366538,0.4,0.382539
math,2001,2002,30,0.608615,0.2,0.301065
math,2001,2002,33,0.28959,0.3,0.294703
math,2001,2002,34,0.493042,0.5,0.496496
math,2001,2002,35,0.248986,0.0,0.0
math,2001,2002,36,0.343669,0.2,0.252852
math,2001,2002,38,0.284912,0.1,0.14804
math,2001,2002,39,0.416177,0.3,0.348665
math,2001,2002,40,0.381099,0.4,0.390321
math,2001,2002,41,0.454428,0.2,0.277756
math,2001,2002,42,0.420873,0.1,0.161603
math,2001,2002,43,0.350695,0.5,0.412245
math,2001,2002,44,0.689817,0.8,0.740834
math,2001,2002,47,0.449798,0.4,0.42344
math,2001,2002,48,0.243455,0.3,0.268786
math,2001,2002,49,0.442921,0.1,0.163162
math,2001,2002,55,0.49908,0.7,0.582707
math,2001,2002,56,0.450355,0.1,0.16366
math,2001,2002,57,0.350179,0.4,0.373435
math,2001,2002,59,0.42165,0.1,0.16166
math,2001,2002,60,0.337721,0.4,0.366232
math,2001,2002,61,0.374504,0.5,0.428247
math,2001,2002,62,0.371251,0.0,0.0
math,2001,2002,63,0.320454,0.0,0.0
math,2001,2002,64,0.387018,0.3,0.337998
math,2001,2002,67,0.297758,0.3,0.298875
math,2001,2002,68,0.315763,0.3,0.30768
math,2001,2002,69,0.413047,0.4,0.406419
math,2001,2002,70,0.248651,0.3,0.271923
math,2001,2002,73,0.261356,0.0,0.0
math,2001,2002,78,0.357715,0.3,0.326325
math,2001,2002,81,0.305591,0.0,0.0
math,2001,2002,84,0.229396,0.0,0.0
math,2001,2002,85,0.380457,0.2,0.262178
math,2001,2002,88,0.524996,0.6,0.559998
math,2001,2002,91,0.338539,0.3,0.318106
math,2001,2002,93,0.293424,0.7,0.413513
math,2001,2002,95,0.285108,0.1,0.148067
math,2001,2002,97,0.322875,0.2,0.247
math,2001,2002,100,0.559769,0.1,0.169686
math,2001,2002,101,0.398979,0.1,0.159918
math,2001,2002,105,0.262072,0.1,0.144762
math,2001,2002,109,0.336367,0.2,0.250848
math,2001,2002,116,0.363456,0.2,0.258019
math,2001,2002,117,0.378241,0.2,0.261649
math,2001,2002,119,0.265565,0.4,0.319205
math,2001,2002,122,0.330211,0.0,0.0
math,2001,2002,128,0.373521,0.2,0.260511
math,2001,2002,131,0.221513,0.2,0.210207
math,2001,2002,133,0.341445,0.2,0.252247
math,2001,2002,136,0.465783,0.0,0.0
math,2001,2002,137,0.348174,0.1,0.155374
math,2001,2002,138,0.365115,0.4,0.381762
math,2001,2002,141,0.447119,0.2,0.276375
math,2001,2002,142,0.295744,0.2,0.238626
math,2001,2002,144,0.298836,0.5,0.37409
math,2001,2002,145,0.499067,0.2,0.285562
math,2001,2002,146,0.318604,0.3,0.309022
math,2001,2002,148,0.390772,0.3,0.339422
math,2002,2003,0,0.378579,0.5,0.430899
math,2002,2003,1,0.404603,0.4,0.402289
