subject,year_from,year_to,topic_id,ttc,tts,ttq
physics,2000,2001,0,0.525187,0.4,0.454124
physics,2000,2001,2,0.344556,0.3,0.320738
physics,2000,2001,3,0.400284,0.3,0.342961
physics,2000,2001,4,0.409482,0.3,0.346294
physics,2000,2001,7,0.274476,0.4,0.325558
physics,2000,2001,8,0.597432,0.4,0.479176
physics,2000,2001,10,0.289133,0.4,0.335648
physics,2000,2001,11,0.374365,0.2,0.260716
physics,2000,2001,12,0.435232,0.2,0.274062
physics,2000,2001,14,0.355927,0.4,0.376679
physics,2000,2001,15,0.408151,0.4,0.404034
physics,2000,2001,16,0.177896,0.3,0.223349
physics,2000,2001,18,0.279778,0.0,0.0
physics,2000,2001,19,0.287788,0.2,0.235994
physics,2000,2001,21,0.275117,0.3,0.28702
physics,2000,2001,22,0.358384,0.2,0.256729
physics,2000,2001,23,0.454598,0.0,0.0
physics,2000,2001,25,0.439827,0.3,0.3567
physics,2000,2001,26,0.653035,0.5,0.566362
physics,2000,2001,28,0.377746,0.2,0.261531
physics,2000,2001,29,0.414929,0.5,0.45351
physics,2000,2001,33,0.292733,0.1,0.149075
physics,2000,2001,36,0.375892,0.2,0.261085
physics,2000,2001,37,0.536612,0.1,0.168584
physics,2000,2001,40,0.464306,0.3,0.364492
physics,2000,2001,42,0.348656,0.3,0.322503
physics,2000,2001,45,0.224852,0.2,0.211699
physics,2000,2001,46,0.406666,0.2,0.268132
physics,2000,2001,47,0.371082,0.2,0.259915
physics,2000,2001,51,0.434827,0.2,0.273981
physics,2000,2001,52,0.261274,0.5,0.343206
physics,2000,2001,53,0.318526,0.3,0.308986
physics,2000,2001,55,0.302835,0.4,0.344701
physics,2000,2001,63,0.415716,0.3,0.348504
physics,2000,2001,64,0.372185,0.2,0.260185
physics,2000,2001,65,0.620598,0.6,0.610125
physics,2000,2001,70,0.325841,0.4,0.359132
physics,2000,2001,72,0.376951,0.4,0.388134
physics,2000,2001,77,0.419143,0.2,0.270789
physics,2000,2001,79,0.406706,0.2,0.26814
physics,2000,2001,80,0.264589,0.2,0.227805
physics,2000,2001,82,0.363372,0.3,0.328659
physics,2000,2001,83,0.462534,0.2,0.279251
physics,2000,2001,85,0.366863,0.2,0.258873
physics,2000,2001,89,0.386333,0.4,0.393048
physics,2000,2001,92,0.360066,0.1,0.156528
physics,2000,2001,93,0.445774,0.2,0.276118
physics,2000,2001,94,0.402,0.0,0.0
physics,2000,2001,96,0.459598,0.1,0.16426
physics,2000,2001,99,0.455708,0.4,0.426041
physics,2000,2001,101,0.233107,0.0,0.0
physics,2000,2001,104,0.147209,0.1,0.119097
physics,2000,2001,106,0.333272,0.2,0.249983
physics,2000,2001,107,0.489398,0.0,0.0
physics,2000,2001,108,0.379808,0.1,0.158317
physics,2000,2001,109,0.331514,0.2,0.249487
physics,2000,2001,116,0.338119,0.4,0.366466
physics,2000,2001,119,0.355316,0.6,0.446323
physics,2000,2001,120,0.327325,0.2,0.248291
physics,2000,2001,121,0.263065,0.6,0.365764
physics,2000,2001,126,0.316799,0.3,0.308171
physics,2000,2001,127,0.368125,0.1,0.157276
physics,2000,2001,130,0.339842,0.3,0.31868
physics,2000,2001,133,0.395055,0.3,0.341028
physics,2000,2001,134,0.412461,0.3,0.347355
physics,2000,2001,140,0.421231,0.4,0.410341
physics,2000,2001,141,0.39596,0.1,0.159674
physics,2000,2001,145,0.503136,0.6,0.547315
physics,2000,2001,146,0.34903,0.1,0.15546
physics,2000,2001,149,0.249509,0.0,0.0
physics,2000,2001,151,0.421722,0.1,0.161665
physics,2000,2001,154,0.417129,0.1,0.161325
physics,2000,2001,155,0.2293,0.0,0.0
physics,2000,2001,162,0.33374,0.1,0.153889
physics,2000,2001,164,0.332713,0.2,0.249825
physics,2000,2001,165,0.436764,0.0,0.0
physics,2000,2001,171,0.31409,0.1,0.151701
physics,2000,2001,175,0.495137,0.3,0.373624
physics,2000,2001,187,0.317411,0.2,0.245384
physics,2000,2001,191,0.341543,0.0,0.0
physics,2000,2001,194,0.334241,0.1,0.153943
physics,2000,2001,199,0.444279,0.2,0.27583
physics,2000,2001,212,0.338706,0.3,0.31818
physics,2001,2002,0,0.231155,0.1,0.139605
physics,2001,2002,1,0.057216,0.0,0.0
physics,2001,2002,2,0.539131,0.2,0.291765
physics,2001,2002,3,0.323682,0.2,0.247235
physics,2001,2002,4,0.240374,0.2,0.218336
physics,2001,2002,7,0.294729,0.3,0.297341
physics,2001,2002,8,0.369525,0.5,0.424973
physics,2001,2002,10,0.232931,0.3,0.262245
physics,2001,2002,11,0.352854,0.2,0.255296
physics,2001,2002,12,0.494222,0.3,0.373363
physics,2001,2002,13,0.424131,0.1,0.161842
physics,2001,2002,14,0.319093,0.4,0.354995
physics,2001,2002,15,0.468907,0.5,0.483955
physics,2001,2002,16,0.405504,0.3,0.344863
physics,2001,2002,18,0.420687,0.0,0.0
physics,2001,2002,19,0.396971,0.0,0.0
physics,2001,2002,21,0.485264,0.4,0.438526
physics,2001,2002,22,0.44104,0.3,0.357098
physics,2001,2002,23,0.393,0.1,0.159432
physics,2001,2002,24,0.368693,0.0,0.0
physics,2001,2002,25,0.467282,0.1,0.164744
physics,2001,2002,26,0.29866,0.6,0.398807
physics,2001,2002,27,0.336724,0.3,0.317303
physics,2001,2002,28,0.421858,0.1,0.161675
physics,2001,2002,29,0.660408,0.9,0.76181
physics,2001,2002,32,0.300609,0.2,0.240195
physics,2001,2002,33,0.398294,0.1,0.159863
physics,2001,2002,36,0.436801,0.5,0.466269
physics,2001,2002,37,0.333748,0.2,0.250117
physics,2001,2002,40,0.50555,0.3,0.37655
physics,2001,2002,41,0.309377,0.0,0.0
physics,2001,2002,42,0.340086,0.2,0.251875
physics,2001,2002,45,0.436059,0.2,0.274225
physics,2001,2002,46,0.359293,0.0,0.0
physics,2001,2002,47,0.39215,0.3,0.339941
physics,2001,2002,51,0.411385,0.4,0.405613
physics,2001,2002,52,0.402789,0.9,0.556514
physics,2001,2002,53,0.452515,0.3,0.360802
physics,2001,2002,55,0.302694,0.2,0.240858
physics,2001,2002,58,0.306048,0.4,0.346773
physics,2001,2002,60,0.455431,0.1,0.163992
physics,2001,2002,63,0.329561,0.2,0.248931
physics,2001,2002,64,0.64994,0.3,0.410514
physics,2001,2002,65,0.531783,0.4,0.456573
physics,2001,2002,69,0.377868,0.0,0.0
physics,2001,2002,70,0.320986,0.1,0.152493
physics,2001,2002,71,0.21561,0.2,0.207512
physics,2001,2002,72,0.366947,0.5,0.423263
physics,2001,2002,77,0.176873,0.1,0.127765
physics,2001,2002,79,0.481801,0.4,0.437107
physics,2001,2002,82,0.422731,0.4,0.411051
physics,2001,2002,84,0.398487,0.2,0.266329
physics,2001,2002,85,0.44056,0.2,0.275109
physics,2001,2002,89,0.420177,0.6,0.49424
physics,2001,2002,92,0.292836,0.0,0.0
physics,2001,2002,93,0.949506,0.3,0.455943
physics,2001,2002,94,0.303949,0.4,0.345422
physics,2001,2002,96,0.417502,0.5,0.455042
physics,2001,2002,99,0.399289,0.3,0.342596
physics,2001,2002,100,0.339243,0.1,0.154467
physics,2001,2002,104,0.278029,0.2,0.232646
physics,2001,2002,106,0.320945,0.2,0.246433
physics,2001,2002,107,0.466656,0.0,0.0
physics,2001,2002,109,0.38251,0.1,0.15855
physics,2001,2002,116,0.291874,0.2,0.237357
physics,2001,2002,119,0.249651,0.4,0.307428
physics,2001,2002,120,0.404109,0.0,0.0
physics,2001,2002,121,0.379546,0.4,0.389505
physics,2001,2002,126,0.446865,0.4,0.422136
physics,2001,2002,127,0.493617,0.4,0.441905
physics,2001,2002,133,0.358327,0.4,0.378018
physics,2001,2002,134,0.495122,0.6,0.542539
physics,2001,2002,136,0.415138,0.1,0.161175
physics,2001,2002,140,0.315,0.3,0.307317
physics,2001,2002,141,0.220865,0.3,0.254421
