subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
cs,2000,211,261,47,0.734625,0.999428,0.846808
cs,2001,224,261,63,0.763667,0.999681,0.865879
cs,2002,306,261,65,0.725845,0.999664,0.841028
cs,2003,384,261,74,0.746619,0.999727,0.854831
cs,2004,436,261,95,0.738745,0.999691,0.849634
cs,2005,495,261,87,0.765679,0.99955,0.867122
cs,2006,501,261,88,0.721949,0.999532,0.838361
cs,2007,503,261,82,0.673997,0.999506,0.805095
cs,2008,508,261,100,0.715678,0.999532,0.834117
cs,2009,528,261,108,0.71743,0.999644,0.835345
cs,2010,703,261,126,0.680384,0.999666,0.809686
cs,2011,854,261,144,0.693271,0.999607,0.818722
cs,2012,1217,261,161,0.691652,0.999624,0.817598
cs,2013,1413,261,178,0.646181,0.999556,0.78493
cs,2014,1563,261,185,0.669309,0.99948,0.801732
cs,2015,1852,261,198,0.637896,0.999425,0.778747
cs,2016,2470,261,225,0.630397,0.999467,0.773146
cs,2017,3132,261,239,0.640797,0.99946,0.780915
cs,2018,4348,261,251,0.670716,0.999305,0.802684
cs,2019,5772,261,255,0.683602,0.999208,0.811809
cs,2020,7666,261,257,0.71971,0.999235,0.836745
cs,2021,8762,261,258,0.730578,0.999176,0.844023
cs,2022,9375,261,260,0.73467,0.999176,0.846747
cs,2023,10912,261,261,0.729657,0.999198,0.843416
cs,2024,14323,261,261,0.754678,0.99912,0.859864
cs,2025,20076,261,260,0.759186,0.999096,0.862773
