subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
math,2000,435,150,92,0.4714,0.999048,0.640554
math,2001,477,150,101,0.485613,0.999239,0.653592
math,2002,516,150,90,0.463064,0.999256,0.632856
math,2003,671,150,115,0.471686,0.998831,0.640774
math,2004,853,150,118,0.457649,0.999262,0.627782
math,2005,1010,150,121,0.461785,0.998935,0.631597
math,2006,1229,150,133,0.475735,0.999068,0.64455
math,2007,1476,150,138,0.498447,0.998773,0.665013
math,2008,1642,150,141,0.477044,0.999052,0.645746
math,2009,1829,150,139,0.470335,0.998863,0.639533
math,2010,2152,150,141,0.498644,0.998787,0.665191
math,2011,2563,150,146,0.493531,0.998824,0.660634
math,2012,2940,150,148,0.533198,0.998803,0.695247
math,2013,3359,150,150,0.512123,0.99853,0.677019
math,2014,3570,150,150,0.515266,0.998671,0.679792
math,2015,4013,150,149,0.552867,0.998509,0.711682
math,2016,4267,150,150,0.537517,0.998318,0.69879
math,2017,4487,150,150,0.556347,0.998243,0.71449
math,2018,4831,150,150,0.55156,0.998263,0.710535
math,2019,5133,150,150,0.565102,0.997936,0.721589
math,2020,5677,150,150,0.589958,0.998163,0.741599
math,2021,5791,150,150,0.581567,0.997973,0.734883
math,2022,5724,150,150,0.590761,0.997996,0.742187
math,2023,6038,150,150,0.572991,0.998243,0.72807
math,2024,7217,150,150,0.606316,0.997775,0.75428
math,2025,9238,150,150,0.625227,0.997734,0.768731
