subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
physics,2000,504,232,108,0.486426,0.999258,0.654332
physics,2001,456,232,114,0.489233,0.999462,0.656911
physics,2002,477,232,128,0.469569,0.999537,0.638962
physics,2003,521,232,125,0.505252,0.99955,0.671217
physics,2004,666,232,158,0.493094,0.999515,0.660394
physics,2005,845,232,157,0.493482,0.999487,0.660736
physics,2006,1017,232,174,0.501643,0.999477,0.668009
physics,2007,1138,232,182,0.505929,0.999519,0.671807
physics,2008,1251,232,191,0.501894,0.999485,0.668233
physics,2009,1477,232,196,0.490494,0.999495,0.658053
physics,2010,1845,232,209,0.511422,0.999311,0.676585
physics,2011,2273,232,219,0.528578,0.999237,0.691412
physics,2012,2720,232,223,0.533154,0.999336,0.695339
physics,2013,2958,232,222,0.530351,0.9992,0.692918
physics,2014,3091,232,221,0.537131,0.999023,0.698636
physics,2015,3324,232,224,0.539652,0.999129,0.700791
physics,2016,3691,232,228,0.531313,0.999083,0.69371
physics,2017,3903,232,231,0.544003,0.998978,0.704412
physics,2018,4465,232,231,0.55244,0.998941,0.711437
physics,2019,5155,232,232,0.569171,0.998833,0.725134
physics,2020,6235,232,231,0.587564,0.998567,0.739815
physics,2021,5776,232,232,0.577673,0.998659,0.73195
physics,2022,5611,232,232,0.570668,0.998778,0.726334
physics,2023,6009,232,231,0.569075,0.998716,0.725026
physics,2024,6547,232,231,0.574297,0.998777,0.729266
physics,2025,8078,232,232,0.607541,0.998603,0.755464
