subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,mathbb,emerging,17,19,2009,26,73.1,110,5.79,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 2, 5, 8, 7, 11, 9, 9, 8, 11, 6, 8, 10, 9]",·█····█··█████████████████
math,mathcal,emerging,15,22,2011,26,84.6,104,4.73,"[1, 0, 1, 0, 0, 3, 3, 1, 1, 3, 0, 2, 2, 3, 3, 4, 5, 4, 6, 6, 10, 7, 11, 8, 9, 11]",█·█··█████·███████████████
math,mathrm,emerging,12,13,2014,26,50.0,24,1.85,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 4, 2, 2, 4, 2]",··█···········████████████
math,optimization,emerging,19,21,2007,26,80.8,58,2.76,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 5, 5]",···█·█·███████████████████
math,method,emerging,16,19,2010,26,73.1,88,4.63,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 3, 3, 6, 5, 6, 7, 6, 8, 8, 6, 4, 5, 4, 5, 6]",··█·█··█··████████████████
math,numerical,emerging,16,20,2010,26,76.9,98,4.9,"[0, 0, 0, 0, 1, 0, 1, 1, 4, 0, 3, 2, 7, 4, 5, 5, 6, 5, 7, 5, 7, 6, 8, 6, 7, 8]",····█·███·████████████████
math,control,emerging,26,26,2000,26,100.0,97,3.73,"[1, 1, 1, 2, 2, 3, 3, 2, 2, 4, 4, 4, 5, 4, 6, 4, 5, 4, 7, 7, 4, 4, 4, 5, 4, 5]",██████████████████████████
math,frac,emerging,14,22,2012,26,84.6,61,2.77,"[0, 0, 1, 1, 3, 1, 1, 0, 2, 2, 2, 0, 1, 2, 3, 3, 3, 5, 5, 4, 2, 3, 5, 3, 6, 3]",··█████·███·██████████████
math,data,emerging,22,22,2004,26,84.6,55,2.5,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 5, 2, 3, 4, 4, 4, 4, 4, 4, 3, 2]",····██████████████████████
math,optimal,emerging,21,21,2005,26,80.8,58,2.76,"[0, 0, 0, 0, 0, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4]",·····█████████████████████
math,convergence,emerging,15,19,2011,26,73.1,46,2.42,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 3, 2, 3, 1, 3, 3, 3, 5, 3, 4, 3, 3, 4]",··█···███··███████████████
math,time,emerging,22,24,2004,26,92.3,76,3.17,"[0, 1, 1, 0, 1, 3, 3, 2, 2, 1, 3, 3, 5, 4, 3, 5, 6, 3, 3, 4, 5, 5, 2, 3, 4, 4]",·██·██████████████████████
math,learning,emerging,10,13,2016,26,50.0,33,2.54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 3, 4, 3, 4, 4, 4, 3]",···········█·██·██████████
math,graphs,emerging,26,26,2000,26,100.0,46,1.77,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3]",██████████████████████████
math,stochastic,emerging,23,23,2003,26,88.5,67,2.91,"[0, 0, 0, 1, 1, 2, 4, 2, 3, 2, 2, 2, 3, 4, 5, 2, 2, 3, 4, 3, 3, 4, 3, 3, 5, 4]",···███████████████████████
math,varepsilon,emerging,17,18,2009,26,69.2,33,1.83,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 2, 5, 3, 2, 2, 2, 2, 1, 2]",█········█████████████████
math,based,emerging,1,1,2022,26,3.8,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",······················█···
math,problems,emerging,21,21,2005,26,80.8,45,2.14,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 3, 2, 4, 3, 3, 2, 2, 4, 1, 1, 3, 3, 1, 3, 2]",·····█████████████████████
math,graph,emerging,26,26,2000,26,100.0,66,2.54,"[1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4]",██████████████████████████
math,algorithm,emerging,20,21,2006,26,80.8,86,4.1,"[0, 0, 0, 0, 1, 0, 2, 1, 2, 1, 3, 4, 3, 7, 5, 4, 4, 5, 5, 6, 5, 4, 7, 7, 4, 6]",····█·████████████████████
math,function,stable,23,23,2003,26,88.5,45,1.96,"[0, 0, 0, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1]",···███████████████████████
math,results,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
