subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,learning,emerging,15,18,2011,26,69.2,90,5.0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 2, 2, 5, 7, 10, 10, 11, 8, 10, 8, 9]",····██··█··███████████████
physics,imaging,emerging,23,24,2003,26,92.3,65,2.71,"[0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 3, 3, 3, 5, 3, 5, 3, 4, 5, 5, 5, 3]",·█·███████████████████████
physics,neural,emerging,16,24,2010,26,92.3,87,3.62,"[1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 3, 5, 8, 8, 8, 9, 8, 8, 7, 6]",████·████·████████████████
physics,based,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,network,emerging,21,22,2005,26,84.6,117,5.32,"[0, 0, 0, 1, 0, 2, 2, 3, 4, 4, 6, 4, 5, 5, 8, 6, 7, 7, 8, 10, 7, 4, 5, 7, 6, 6]",···█·█████████████████████
physics,high,emerging,16,18,2010,26,69.2,19,1.06,"[0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",·█·····█··████████████████
physics,materials,emerging,9,13,2017,26,50.0,19,1.46,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 2, 2, 4]",····███··█·······█████████
physics,demonstrate,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,performance,emerging,15,15,2011,26,57.7,15,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",···········███████████████
physics,networks,emerging,23,23,2003,26,88.5,138,6.0,"[0, 0, 0, 1, 1, 3, 6, 5, 6, 5, 7, 7, 6, 8, 6, 7, 7, 7, 8, 7, 6, 6, 7, 6, 8, 8]",···███████████████████████
physics,machine,emerging,12,13,2014,26,50.0,27,2.08,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 3, 2]",···········█··████████████
physics,models,emerging,9,14,2017,26,53.8,23,1.64,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 3, 2, 2, 2, 3]",····█···██·██····█████████
physics,optical,emerging,26,26,2000,26,100.0,150,5.77,"[1, 1, 2, 1, 1, 2, 4, 3, 2, 3, 6, 8, 6, 6, 8, 8, 8, 8, 7, 10, 10, 8, 10, 9, 8, 10]",██████████████████████████
physics,deep,emerging,9,9,2017,26,34.6,37,4.11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 5, 8, 6, 3, 3, 3, 1]",·················█████████
physics,mathrm,emerging,4,13,2014,26,50.0,21,1.62,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 2, 0, 2, 2, 3, 0, 1, 1, 3]",··█·██········████·███·███
physics,topological,emerging,16,20,2010,26,76.9,20,1.0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",·██···█·█·████████████████
physics,work,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,data,emerging,17,21,2009,26,80.8,69,3.29,"[0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 2, 2, 3, 2, 2, 3, 3, 5, 5, 6, 6, 4, 5, 5, 6, 4]",·█·██··█·█████████████████
physics,quantum,emerging,26,26,2000,26,100.0,184,7.08,"[3, 4, 2, 1, 4, 4, 6, 4, 4, 4, 6, 9, 9, 7, 8, 7, 9, 8, 10, 8, 10, 11, 12, 11, 11, 12]",██████████████████████████
physics,flow,emerging,26,26,2000,26,100.0,144,5.54,"[3, 3, 1, 3, 2, 2, 4, 4, 6, 5, 2, 4, 4, 7, 5, 9, 7, 7, 9, 9, 7, 7, 7, 10, 8, 9]",██████████████████████████
physics,energy,stable,20,23,2006,26,88.5,60,2.61,"[1, 0, 0, 1, 1, 0, 2, 1, 3, 3, 1, 2, 3, 2, 4, 3, 5, 3, 3, 4, 3, 4, 3, 2, 2, 4]",█··██·████████████████████
physics,results,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,magnetic,stable,26,26,2000,26,100.0,149,5.73,"[3, 2, 3, 4, 3, 3, 4, 4, 4, 6, 6, 6, 5, 5, 5, 6, 7, 7, 10, 7, 9, 8, 8, 8, 8, 8]",██████████████████████████
physics,time,stable,17,21,2009,26,80.8,39,1.86,"[1, 0, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 4, 3, 3, 4, 3, 1, 3]",█··█·█·█·█████████████████
physics,model,stable,9,17,2012,26,65.4,28,1.65,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 3, 2, 1, 2, 1, 1, 3, 3, 2, 0, 1, 1, 1, 2]",······██·██·█████████·████
physics,particle,stable,20,23,2006,26,88.5,67,2.91,"[1, 2, 0, 3, 0, 0, 1, 2, 1, 2, 2, 2, 5, 2, 4, 3, 3, 5, 4, 2, 4, 4, 3, 3, 4, 5]",██·█··████████████████████
physics,analysis,stable,1,3,2012,26,11.5,3,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",············█·········█·█·
