subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
cs,2000,2001,50,50,4,0,46,0,46,8.0,0.0,92.0
cs,2001,2002,50,50,0,0,50,0,50,0.0,0.0,100.0
cs,2002,2003,50,50,0,0,50,0,50,0.0,0.0,100.0
cs,2003,2004,50,50,3,6,41,1,46,6.0,12.0,82.0
cs,2004,2005,50,50,2,5,43,2,46,4.0,10.0,86.0
cs,2005,2006,50,50,10,9,31,4,36,20.0,18.0,62.0
cs,2006,2007,50,50,10,9,31,3,37,20.0,18.0,62.0
cs,2007,2008,50,50,0,0,50,0,50,0.0,0.0,100.0
cs,2008,2009,50,50,3,0,47,0,47,6.0,0.0,94.0
cs,2009,2010,50,50,1,0,49,0,49,2.0,0.0,98.0
cs,2010,2011,50,50,0,0,50,0,50,0.0,0.0,100.0
cs,2011,2012,50,50,1,0,49,0,49,2.0,0.0,98.0
cs,2012,2013,50,50,1,0,49,0,49,2.0,0.0,98.0
cs,2013,2014,50,50,1,0,49,0,49,2.0,0.0,98.0
cs,2014,2015,50,50,1,0,49,0,49,2.0,0.0,98.0
cs,2015,2016,50,50,3,0,47,0,47,6.0,0.0,94.0
cs,2016,2017,50,50,4,0,46,0,46,8.0,0.0,92.0
cs,2017,2018,50,50,13,0,37,0,37,26.0,0.0,74.0
cs,2018,2019,50,50,18,0,32,0,32,36.0,0.0,64.0
cs,2019,2020,50,50,24,0,26,0,26,48.0,0.0,52.0
cs,2020,2021,50,50,20,0,30,0,30,40.0,0.0,60.0
cs,2021,2022,50,50,7,0,43,0,43,14.0,0.0,86.0
cs,2022,2023,50,50,9,0,41,0,41,18.0,0.0,82.0
cs,2023,2024,50,50,15,0,35,0,35,30.0,0.0,70.0
cs,2024,2025,50,50,20,0,30,0,30,40.0,0.0,60.0
