subject,topic_id,year_from,year_to,cosine_sim,drift
cs,0,2000,2001,0.417281,0.582719
cs,1,2000,2001,0.50142,0.49858
cs,2,2000,2001,0.408112,0.591888
cs,3,2000,2001,0.282828,0.717172
cs,4,2000,2001,0.270626,0.729374
cs,5,2000,2001,0.33025,0.66975
cs,6,2000,2001,0.342346,0.657654
cs,7,2000,2001,0.28525,0.71475
cs,8,2000,2001,0.213809,0.786191
cs,9,2000,2001,0.350343,0.649657
cs,10,2000,2001,0.314151,0.685849
cs,11,2000,2001,0.39591,0.60409
cs,12,2000,2001,0.352664,0.647336
cs,13,2000,2001,0.376884,0.623116
cs,14,2000,2001,0.280664,0.719336
cs,15,2000,2001,0.544773,0.455227
cs,16,2000,2001,0.396189,0.603811
cs,17,2000,2001,0.364126,0.635874
cs,18,2000,2001,0.330168,0.669832
cs,19,2000,2001,0.131771,0.868229
cs,20,2000,2001,0.268568,0.731432
cs,21,2000,2001,0.275964,0.724036
cs,22,2000,2001,0.246072,0.753928
cs,23,2000,2001,0.350343,0.649657
cs,24,2000,2001,0.370905,0.629095
cs,25,2000,2001,0.55909,0.44091
cs,26,2000,2001,0.382307,0.617693
cs,27,2000,2001,0.173537,0.826463
cs,28,2000,2001,0.219788,0.780212
cs,29,2000,2001,0.325664,0.674336
cs,30,2000,2001,0.141809,0.858191
cs,31,2000,2001,0.245281,0.754719
cs,32,2000,2001,0.294317,0.705683
cs,33,2000,2001,0.294317,0.705683
cs,34,2000,2001,0.504779,0.495221
cs,35,2000,2001,0.250568,0.749432
cs,36,2000,2001,0.471801,0.528199
cs,37,2000,2001,0.415565,0.584435
cs,38,2000,2001,0.396185,0.603815
cs,39,2000,2001,0.165221,0.834779
cs,40,2000,2001,0.459315,0.540685
cs,41,2000,2001,0.564153,0.435847
cs,42,2000,2001,0.123584,0.876416
cs,43,2000,2001,0.418072,0.581928
cs,44,2000,2001,0.50312,0.49688
cs,45,2000,2001,0.213809,0.786191
cs,46,2000,2001,0.225401,0.774599
cs,47,2000,2001,0.52388,0.47612
cs,48,2000,2001,0.412009,0.587991
cs,49,2000,2001,0.274489,0.725511
cs,0,2001,2002,0.289086,0.710914
cs,1,2001,2002,0.48737,0.51263
cs,2,2001,2002,0.329248,0.670752
cs,3,2001,2002,0.356023,0.643977
cs,4,2001,2002,0.192221,0.807779
cs,5,2001,2002,0.33025,0.66975
cs,6,2001,2002,0.318072,0.681928
cs,7,2001,2002,0.509502,0.490498
cs,8,2001,2002,0.213809,0.786191
cs,9,2001,2002,0.309026,0.690974
cs,10,2001,2002,0.320409,0.679591
cs,11,2001,2002,0.225905,0.774095
cs,12,2001,2002,0.441881,0.558119
cs,13,2001,2002,0.333979,0.666021
cs,14,2001,2002,0.347601,0.652399
cs,15,2001,2002,0.245281,0.754719
cs,16,2001,2002,0.25853,0.74147
cs,17,2001,2002,0.293869,0.706131
cs,18,2001,2002,0.43379,0.56621
cs,19,2001,2002,0.266589,0.733411
