subject,year_from,year_to,avg_sim,avg_drift,n_topics
cs,2000,2001,0.33918956,0.6608104400000001,50
cs,2001,2002,0.31750084,0.68249916,50
cs,2002,2003,0.36539797999999996,0.63460202,50
cs,2003,2004,0.38938536,0.61061464,50
cs,2004,2005,0.41719881999999997,0.58280118,50
cs,2005,2006,0.52217086,0.47782914,50
cs,2006,2007,0.45152368000000004,0.54847632,50
cs,2007,2008,0.30374870000000004,0.6962513,50
cs,2008,2009,0.34006352,0.6599364799999999,50
cs,2009,2010,0.32524354,0.67475646,50
cs,2010,2011,0.25860832,0.74139168,50
cs,2011,2012,0.33858866,0.6614113399999999,50
cs,2012,2013,0.3728167,0.6271833,50
cs,2013,2014,0.35736794000000005,0.64263206,50
cs,2014,2015,0.35623552,0.64376448,50
cs,2015,2016,0.43779328,0.56220672,50
cs,2016,2017,0.44940364000000005,0.55059636,50
cs,2017,2018,0.5774393400000001,0.42256066000000003,50
cs,2018,2019,0.67023792,0.32976208,50
cs,2019,2020,0.7281422000000001,0.27185780000000004,50
cs,2020,2021,0.7317940799999999,0.26820592,50
cs,2021,2022,0.6755251800000001,0.32447482,50
cs,2022,2023,0.6585038400000001,0.34149616,50
cs,2023,2024,0.73547982,0.26452018,50
cs,2024,2025,0.739636,0.260364,50
