subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
cs,0,0.26329748,0.059092,0.73670252,0.940908
cs,1,0.35416443999999997,0.046705,0.64583556,0.953295
cs,2,0.28921784,0.076076,0.7107821599999999,0.923924
cs,3,0.32487160000000004,0.032069,0.6751284,0.967931
cs,4,0.30874216,0.0,0.69125784,1.0
cs,5,0.29520172,0.035944,0.70479828,0.964056
cs,6,0.32530612,0.090416,0.67469388,0.909584
cs,7,0.27976168,0.071294,0.72023832,0.928706
cs,8,0.28579868,0.031041,0.7142013199999999,0.968959
cs,9,0.31096956,0.046705,0.6890304399999999,0.953295
cs,10,0.29245732,0.058172,0.70754268,0.941828
cs,11,0.26349116,0.0,0.73650884,1.0
cs,12,0.28827072000000004,0.095486,0.71172928,0.904514
cs,13,0.33207232,0.012531,0.6679276799999999,0.987469
cs,14,0.27408,0.07759,0.72592,0.92241
cs,15,0.32682988,0.014636,0.6731701200000001,0.985364
cs,16,0.30187408,0.012531,0.69812592,0.987469
cs,17,0.40236812,0.158902,0.59763188,0.841098
cs,18,0.28506764,0.022228,0.7149323599999999,0.977772
cs,19,0.30118272,0.027167,0.69881728,0.972833
cs,20,0.272032,0.049066,0.7279680000000001,0.950934
cs,21,0.35856812,0.012531,0.64143188,0.987469
cs,22,0.30739952000000004,0.067291,0.69260048,0.932709
cs,23,0.2694846,0.032069,0.7305154,0.967931
cs,24,0.30279659999999997,0.10933,0.6972033999999999,0.89067
cs,25,0.30459084000000003,0.036864,0.69540916,0.963136
cs,26,0.2684674,0.046705,0.7315326,0.953295
cs,27,0.31642308,0.068933,0.68357692,0.931067
cs,28,0.26097808,0.059827,0.73902192,0.940173
cs,29,0.29416532,0.040738,0.7058346799999999,0.959262
cs,30,0.30354376,0.01851,0.69645624,0.98149
cs,31,0.30659268,0.061341,0.69340732,0.938659
cs,32,0.24312372,0.0,0.7568762800000001,1.0
cs,33,0.27497172,0.068933,0.72502828,0.931067
cs,34,0.2935026,0.014636,0.7064973999999999,0.985364
cs,35,0.28502976,0.094291,0.71497024,0.905709
cs,36,0.28325364000000003,0.049395,0.71674636,0.950605
cs,37,0.32395643999999996,0.023293,0.67604356,0.976707
cs,38,0.25215308000000003,0.026102,0.7478469200000001,0.973898
cs,39,0.30286728,0.054297,0.69713272,0.945703
cs,40,0.30523408,0.081135,0.6947659199999999,0.918865
cs,41,0.3545048,0.039542,0.6454952,0.960458
cs,42,0.37875052000000003,0.053849,0.6212494799999999,0.946151
cs,43,0.322988,0.090241,0.677012,0.909759
cs,44,0.33718324000000005,0.003874,0.66281676,0.996126
cs,45,0.31462448000000004,0.063416,0.68537552,0.936584
cs,46,0.26732248,0.085929,0.73267752,0.914071
cs,47,0.27463484,0.031041,0.7253651600000001,0.968959
cs,48,0.29879543999999997,0.076076,0.7012045600000001,0.923924
cs,49,0.28082916,0.062954,0.71917084,0.937046
