subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
math,2000,2001,0,3,"[1, 11, 36]","[0.6, 0.6, 0.7]","function, space, group, algebra, theory, dimensional, field, structure, dimension, term"
math,2000,2001,3,4,"[2, 6, 17, 21]","[0.6, 0.7, 0.7, 0.6]","space, algebra, structure, group, theory, manifold, dimensional, proof, construction, invariant"
math,2000,2001,2,4,"[3, 32, 33, 46]","[0.7, 0.8, 0.7, 0.8]","algebra, type, point, space, function, non, curve, theory, manifold, class"
math,2000,2001,8,6,"[4, 9, 13, 37, 38, 41]","[0.6, 0.7, 0.7, 0.7, 0.7, 0.7]","space, algebra, certain, function, theory, manifold, structure, group, dimensional, theorem"
math,2000,2001,33,3,"[5, 15, 43]","[0.8, 0.8, 0.7]","group, theorem, algebra, theory, manifold, space, function, class, finite, type"
math,2000,2001,25,6,"[7, 8, 22, 26, 35, 42]","[0.8, 0.7, 0.8, 0.7, 0.8, 0.8]","group, function, non, space, algebra, theory, invariant, point, manifold, field"
math,2000,2001,16,7,"[10, 14, 20, 23, 25, 27, 40]","[0.7, 0.8, 0.7, 0.7, 0.7, 0.6, 0.8]","space, function, type, group, algebra, theory, operator, non, manifold, structure"
math,2000,2001,41,2,"[12, 49]","[0.6, 0.8]","group, function, class, field, algebraic, space, algebra, structure, theory, relation"
math,2000,2001,1,2,"[16, 44]","[0.9, 0.6]","theory, group, finite, space, function, matrix, algebra, manifold, dimensional, polynomial"
math,2000,2001,49,4,"[19, 45, 47, 48]","[0.7, 0.8, 0.6, 0.8]","group, theory, algebra, function, manifold, class, geometry, space, operator, dimensional"
math,2000,2001,11,2,"[34, 39]","[0.7, 0.6]","group, function, field, theory, theorem, dimensional, algebra, structure, class, set"
math,2001,2002,1,7,"[0, 4, 11, 25, 35, 41, 47]","[0.7, 0.6, 0.6, 0.8, 0.6, 0.7, 0.6]","algebra, structure, manifold, group, theory, space, field, function, polynomial, invariant"
math,2001,2002,39,2,"[1, 29]","[0.8, 0.8]","group, space, algebra, manifold, function, finite, dimensional, form, matrix, order"
math,2001,2002,2,2,"[2, 43]","[0.7, 0.7]","space, theory, algebra, type, point, theorem, form, function, structure, class"
math,2001,2002,4,4,"[5, 9, 42, 48]","[0.7, 0.7, 0.6, 0.8]","algebra, group, structure, point, space, theory, manifold, finite, field, representation"
math,2001,2002,15,2,"[6, 26]","[0.7, 0.6]","algebra, space, set, group, polynomial, matrix, function, theory, operator, structure"
