subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_disappear
math,2000,2001,50,50,15,1,34,0,11,23,30.0,2.0,68.0,0.0
math,2001,2002,50,50,11,0,39,0,13,26,22.0,0.0,78.0,0.0
math,2002,2003,50,50,9,1,40,0,6,34,18.0,2.0,80.0,0.0
math,2003,2004,50,50,10,4,36,0,13,23,20.0,8.0,72.0,0.0
math,2004,2005,50,50,6,3,41,0,9,32,12.0,6.0,82.0,0.0
math,2005,2006,50,50,8,8,34,0,15,19,16.0,16.0,68.0,0.0
math,2006,2007,50,50,11,0,39,0,15,24,22.0,0.0,78.0,0.0
math,2007,2008,50,50,10,1,39,0,13,26,20.0,2.0,78.0,0.0
math,2008,2009,50,50,10,8,32,0,11,21,20.0,16.0,64.0,0.0
math,2009,2010,50,50,15,7,28,0,12,16,30.0,14.0,56.0,0.0
math,2010,2011,50,50,8,8,34,0,13,21,16.0,16.0,68.0,0.0
math,2011,2012,50,50,19,8,23,0,10,13,38.0,16.0,46.0,0.0
math,2012,2013,50,50,21,7,22,0,10,12,42.0,14.0,44.0,0.0
math,2013,2014,50,50,33,7,10,0,5,5,66.0,14.0,20.0,0.0
math,2014,2015,50,50,35,9,6,0,3,3,70.0,18.0,12.0,0.0
math,2015,2016,50,50,36,10,4,0,2,2,72.0,20.0,8.0,0.0
math,2016,2017,50,50,38,6,6,0,3,3,76.0,12.0,12.0,0.0
math,2017,2018,50,50,45,5,0,0,0,0,90.0,10.0,0.0,0.0
math,2018,2019,50,50,45,5,0,0,0,0,90.0,10.0,0.0,0.0
math,2019,2020,50,50,48,2,0,0,0,0,96.0,4.0,0.0,0.0
math,2020,2021,50,50,48,2,0,0,0,0,96.0,4.0,0.0,0.0
math,2021,2022,50,50,45,3,2,0,1,1,90.0,6.0,4.0,0.0
math,2022,2023,50,50,47,3,0,0,0,0,94.0,6.0,0.0,0.0
math,2023,2024,50,50,50,0,0,0,0,0,100.0,0.0,0.0,0.0
math,2024,2025,50,50,50,0,0,0,0,0,100.0,0.0,0.0,0.0
