subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
math,0,2000–2005,2020–2025,0.162859,0.837141,31,23,6,25,17,19.35,"function, space, theorem, class, dimensional, finite, group, theory, algebra, free, invariant, non, polynomial, property, representation, type, arbitrary, category, certain, condition, conjecture, curve, dimension, field, formula, manifold, operator, point, proof, set, way","classical, class, measure, non, geometry, group, term, conjecture, real, regularity, continuous, local, log, multi, scheme, arbitrary, family, length, network, open, particular, point, respect","arbitrary, class, conjecture, group, non, point","classical, continuous, family, geometry, length, local, log, measure, multi, network, open, particular, real, regularity, respect, scheme, term","algebra, category, certain, condition, curve, dimension, dimensional, field, finite, formula, free, function, invariant, manifold, operator, polynomial, proof, property, representation, set"
math,1,2000–2005,2020–2025,0.02681,0.97319,32,23,4,28,19,12.5,"theory, algebra, space, class, finite, function, group, manifold, type, form, proof, property, representation, set, structure, algebras, cohomology, condition, curve, dimension, field, formula, graph, invariant, map, non, operator, point, quantum, sum, term, theorem","dimensional, frac, geometric, graph, size, set, element, free, particular, respect, formula, optimal, positive, theoretical, variable, classification, existence, extension, kernel, leq, quadratic, stable, structure","formula, graph, set, structure","classification, dimensional, element, existence, extension, frac, free, geometric, kernel, leq, optimal, particular, positive, quadratic, respect, size, stable, theoretical, variable","algebra, algebras, class, cohomology, condition, curve, dimension, field, finite, form, function, group, invariant, manifold, map, non, operator, point, proof, property"
math,2,2000–2005,2020–2025,0.053779,0.946221,23,23,2,21,21,8.7,"algebra, theory, structure, finite, function, invariant, manifold, space, class, group, theorem, matrix, type, classical, construction, dimension, map, metric, operator, point, polynomial, property, surface","flow, particular, random, certain, sum, convergence, finite, prime, compact, family, order, path, proof, stable, constant, construction, degree, estimator, existence, frac, positive, rank, way","construction, finite","certain, compact, constant, convergence, degree, estimator, existence, family, flow, frac, order, particular, path, positive, prime, proof, random, rank, stable, sum","algebra, class, classical, dimension, function, group, invariant, manifold, map, matrix, metric, operator, point, polynomial, property, space, structure, surface, theorem, theory"
math,3,2000–2005,2020–2025,0.237366,0.762634,30,21,5,25,16,16.67,"algebra, space, function, class, group, structure, theorem, theory, dimension, field, finite, invariant, operator, point, type, boundary, classical, condition, conjecture, construction, curve, dimensional, family, homology, manifold, map, polynomial, property, representation, set","mathbb, space, structure, condition, optimal, scheme, mathrm, point, regular, variable, flow, mean, category, degree, dimensional, matrix, module, quadratic, rate, rational, term","condition, dimensional, point, space, structure","category, degree, flow, mathbb, mathrm, matrix, mean, module, optimal, quadratic, rate, rational, regular, scheme, term, variable","algebra, boundary, class, classical, conjecture, construction, curve, dimension, family, field, finite, function, group, homology, invariant, manifold, map, operator, polynomial, property"
math,4,2000–2005,2020–2025,0.087592,0.912408,25,22,4,21,18,16.0,"algebra, function, space, manifold, class, finite, group, polynomial, quantum, structure, theory, type, dimensional, field, set, algebraic, curve, free, invariant, non, operator, point, representation, surface, theorem","bound, estimate, finite, dimension, edge, graph, mathcal_mathcal, minimal, nonlinear, numerical, scheme, vertex, algebra, curve, existence, flow, function, independent, inverse, norm, partial, probability","algebra, curve, finite, function","bound, dimension, edge, estimate, existence, flow, graph, independent, inverse, mathcal_mathcal, minimal, nonlinear, norm, numerical, partial, probability, scheme, vertex","algebraic, class, dimensional, field, free, group, invariant, manifold, non, operator, point, polynomial, quantum, representation, set, space, structure, surface, theorem, theory"
math,5,2000–2005,2020–2025,0.035614,0.964386,23,25,3,20,22,13.04,"field, function, space, theory, algebra, invariant, manifold, polynomial, finite, group, point, class, operator, type, category, compact, condition, dimensional, form, matrix, structure, surface, term","coefficient, group, rate, infty, stable, distribution, element, optimal, particular, strategy, bound, power, probability, series, term, constant, gradient, local, mathcal, matrix, potential, random, respect, vertex, weak","group, matrix, term","bound, coefficient, constant, distribution, element, gradient, infty, local, mathcal, optimal, particular, potential, power, probability, random, rate, respect, series, stable, strategy","algebra, category, class, compact, condition, dimensional, field, finite, form, function, invariant, manifold, operator, point, polynomial, space, structure, surface, theory, type"
math,6,2000–2005,2020–2025,0.052769,0.947231,23,23,4,19,19,17.39,"non, space, structure, algebra, class, manifold, theory, type, function, group, operator, theorem, dimensional, proof, action, compact, field, graph, point, polynomial, property, representation, spectral","compact, inequality, real, operator, random, algorithm, dimension, element, gradient, graph, mathcal_mathcal, norm, size, class, curve, partial, accuracy, coefficient, frac, global, local, optimal, vertex","class, compact, graph, operator","accuracy, algorithm, coefficient, curve, dimension, element, frac, global, gradient, inequality, local, mathcal_mathcal, norm, optimal, partial, random, real, size, vertex","action, algebra, dimensional, field, function, group, manifold, non, point, polynomial, proof, property, representation, space, spectral, structure, theorem, theory, type"
math,7,2000–2005,2020–2025,0.0,1.0,27,27,0,27,27,0.0,"algebra, manifold, space, class, function, non, operator, structure, theory, curve, field, finite, group, point, set, surface, theorem, category, classical, cohomology, dimension, metric, property, representation, sequence, sum, type","mathbb_mathbb, constant, scheme, assumption, element, nonlinear, term, wave, continuous, extension, flow, form, frac, open, rational, bound, compact, condition, constraint, construction, linear, module, optimal, probability, random, real, variable",,"assumption, bound, compact, condition, constant, constraint, construction, continuous, element, extension, flow, form, frac, linear, mathbb_mathbb, module, nonlinear, open, optimal, probability","algebra, category, class, classical, cohomology, curve, dimension, field, finite, function, group, manifold, metric, non, operator, point, property, representation, sequence, set"
math,8,2000–2005,2020–2025,0.060244,0.939756,26,28,4,22,24,15.38,"group, algebra, function, space, theory, class, structure, certain, finite, manifold, operator, polynomial, quantum, theorem, algebras, characteristic, classical, condition, conjecture, field, invariant, map, non, set, surface, type","algorithm, convex, scheme, order, complete, element, operator, property, surface, class, datum, dimensional, mathbb_mathbb, mathcal, space, stochastic, construction, distribution, existence, formulation, frac_frac, generalized, global, infty, point, rational, real, stable","class, operator, space, surface","algorithm, complete, construction, convex, datum, dimensional, distribution, element, existence, formulation, frac_frac, generalized, global, infty, mathbb_mathbb, mathcal, order, point, property, rational","algebra, algebras, certain, characteristic, classical, condition, conjecture, field, finite, function, group, invariant, manifold, map, non, polynomial, quantum, set, structure, theorem"
math,9,2000–2005,2020–2025,0.022418,0.977582,31,26,5,26,21,16.13,"class, function, algebra, space, finite, group, operator, theorem, curve, dimension, manifold, property, quantum, term, theory, classical, dimensional, family, field, form, free, local, measure, metric, non, point, product, proof, structure, surface, type","explicit, local, assumption, non, rate, inequality, network, quasi, weak, asymptotic, basis, dimensional, efficient, map, degree, flow, frac, minimal, order, power, product, property, second, series, special, vertex","dimensional, local, non, product, property","assumption, asymptotic, basis, degree, efficient, explicit, flow, frac, inequality, map, minimal, network, order, power, quasi, rate, second, series, special, vertex","algebra, class, classical, curve, dimension, family, field, finite, form, free, function, group, manifold, measure, metric, operator, point, proof, quantum, space"
