subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
math,0,2000,2025,26,0.270284,0.729716,"algebra, group, space, theory, operator, quantum, representation, dimension, sequence, theorem","algebra, positive, geometry, particular, construction, path, topological, series, right, class"
math,1,2000,2025,26,0.043525,0.956475,"group, manifold, space, dimension, algebra, representation, theory, field, cohomology, class","variety, quadratic, element, square, prime, mathbb, wave, error, theory, question"
math,2,2000,2025,26,0.0,1.0,"space, algebra, group, manifold, class, quantum, product, boundary, theory, structure","wave, classification, exponential, sample, ideal, way, decomposition, lattice, kernel, family"
math,3,2000,2025,26,0.0,1.0,"manifold, space, non, group, algebra, function, operator, class, point, matrix","inequality, integer, assumption, structure, series, open, cost, variable, partial, article"
math,4,2000,2025,26,0.0,1.0,"space, theory, group, quantum, function, operator, dimensional, certain, set, form","mathbb_mathbb, order, finite, scheme, nonlinear, fundamental, scale, inverse, prime, surface"
math,5,2000,2025,26,0.0,1.0,"group, algebra, class, theory, function, manifold, invariant, theorem, structure, finite","edge, vertex, periodic, lattice, log, local, affine, dimension, partition, geq"
math,6,2000,2025,26,0.250343,0.749657,"group, operator, vector, space, invariant, manifold, structure, proof, boundary, algebra","operator, theorem, invariant, product, real, finite, special, series, ideal, existence"
math,7,2000,2025,26,0.0,1.0,"algebra, operator, theory, invariant, group, space, point, property, field, non","domain, constant, prime, independent, open, exponential, rational, mathrm, question, way"
math,8,2000,2025,26,0.0,1.0,"space, group, algebra, invariant, finite, field, manifold, structure, point, polynomial","class, surface, size, gradient, module, quasi, exponential, rate, inverse, generalization"
math,9,2000,2025,26,0.0,1.0,"group, function, theory, structure, manifold, theorem, set, space, class, invariant","boundary, property, mathcal, weight, regularity, assumption, connection, special, estimator, article"
math,10,2000,2025,26,0.038742,0.961258,"type, finite, function, representation, invariant, space, theory, manifold, algebra, structure","level, action, hyperbolic, energy, distance, eigenvalue, assumption, connection, linear, function"
math,11,2000,2025,26,0.0,1.0,"group, algebra, manifold, geometry, structure, finite, theory, module, field, dimensional","setting, theoretical, regularity, way, distribution, maximal, previous, term, matrix, text"
math,12,2000,2025,26,0.066937,0.933063,"function, class, algebra, term, theory, field, invariant, polynomial, algebraic, free","structure, form, explicit, coefficient, numerical, function, rank, topological, generalization, lattice"
math,13,2000,2025,26,0.0,1.0,"manifold, invariant, group, algebra, dimension, space, ring, function, theory, theorem","proof, stochastic, mathcal_mathcal, regularity, wave, vector, standard, path, construction, ell"
math,14,2000,2025,26,0.0,1.0,"group, algebra, space, function, poisson, operator, type, theory, manifold, class","non, symmetric, differential, gaussian, estimation, vertex, construction, distance, path, geometry"
math,15,2000,2025,26,0.0,1.0,"operator, space, function, class, algebra, theory, manifold, proof, group, finite","measure, exact, mean, equivalent, compact, decomposition, lattice, quasi, ell, combinatorial"
math,16,2000,2025,26,0.098284,0.901716,"group, algebra, dimensional, space, manifold, type, finite, function, theory, polynomial","dynamic, generalized, gaussian, space, algorithm, linear, uniform, field, topological, pair"
math,17,2000,2025,26,0.0,1.0,"algebra, space, group, structure, operator, finite, action, theory, manifold, invariant","global, stable, prime, text, strategy, connection, vertex, noise, approximation, dynamical"
math,18,2000,2025,26,0.0,1.0,"group, algebra, space, matrix, invariant, cohomology, function, type, dimensional, quantum","algorithm, linear, free, representation, sequence, algebraic, accuracy, kernel, decomposition, operator"
math,19,2000,2025,26,0.0,1.0,"algebra, invariant, class, group, space, function, manifold, form, operator, integral","point, infty, behavior, functional, special, text, regularity, non, complexity, geq"
math,20,2000,2025,26,0.049504,0.950496,"space, function, type, representation, set, form, group, algebra, theory, operator","version, numerical, weight, dependent, question, independent, bound, space, sharp, derivative"
math,21,2000,2025,26,0.0,1.0,"group, manifold, invariant, space, class, matrix, structure, term, relation, algebra","graph, dimension, local, regular, critical, distance, factor, vertex, frac_frac, article"
math,22,2000,2025,26,0.043525,0.956475,"group, theory, function, field, space, algebra, invariant, point, metric, structure","classical, flow, vertex, pair, multi, potential, quantum, complexity, function, action"
math,23,2000,2025,26,0.066937,0.933063,"group, algebra, manifold, space, function, theory, operator, algebraic, dimension, surface","type, conjecture, particular, element, existence, group, partial, equivalent, prime, index"
math,24,2000,2025,26,0.098284,0.901716,"group, algebra, dimensional, surface, theory, representation, product, manifold, structure, operator","datum, variable, lattice, surface, vector, design, action, weight, index, probability"
math,25,2000,2025,26,0.15538,0.84462,"group, function, theory, manifold, algebra, operator, field, invariant, type, module","space, field, manifold, quantum, infinite, second, diffusion, weight, quasi, datum"
math,26,2000,2025,26,0.270284,0.729716,"group, space, function, manifold, type, dimensional, map, algebra, field, invariant","group, subset, mathrm, characteristic, characterization, subgroup, eigenvalue, previous, topological, independent"
math,27,2000,2025,26,0.098284,0.901716,"algebra, function, structure, theory, manifold, operator, field, quantum, property, algebraic","bound, step, local, structure, map, previous, family, construction, notion, connection"
math,28,2000,2025,26,0.0,1.0,"group, theory, invariant, space, field, set, algebra, finite, property, operator","mathcal, spectral, right, information, ell, existence, estimator, smooth, estimation, way"
math,29,2000,2025,26,0.0,1.0,"group, algebra, theorem, space, dimensional, quantum, operator, structure, non, polynomial","numerical, metric, asymptotic, norm, compact, graph, lattice, log, series, complexity"
math,30,2000,2025,26,0.0,1.0,"group, field, theory, algebra, space, function, manifold, algebraic, surface, quantum","dimensional, path, distribution, vector, series, variety, wave, sample, classical, closed"
math,31,2000,2025,26,0.0,1.0,"group, manifold, invariant, set, quantum, quotient, function, operator, field, dimension","stability, estimate, notion, order, text, existence, diffusion, class, weight, estimator"
math,32,2000,2025,26,0.0,1.0,"function, theory, manifold, algebra, type, structure, non, space, point, polynomial","probability, arbitrary, conjecture, mathbb_mathbb, second, existence, text, dynamical, multi, open"
math,33,2000,2025,26,0.0,1.0,"theory, algebra, function, class, quantum, non, representation, dimension, space, manifold","property, frac, integral, tree, strategy, standard, particular, leq, log, sample"
math,34,2000,2025,26,0.0,1.0,"group, space, function, algebra, theory, class, field, theorem, quantum, non","control, complete, existence, vector, game, topological, article, question, constant, complexity"
math,35,2000,2025,26,0.0,1.0,"function, group, invariant, space, algebra, theory, non, formula, manifold, class","condition, tensor, existence, structure, distance, connection, critical, inverse, key, subset"
math,36,2000,2025,26,0.038742,0.961258,"group, space, field, representation, manifold, structure, surface, algebra, function, theory","theory, discrete, continuous, potential, prime, topological, decomposition, relation, generalization, notion"
math,37,2000,2025,26,0.098284,0.901716,"group, space, set, theory, algebra, manifold, structure, invariant, quantum, theorem","random, formula, type, set, key, basis, potential, sum, path, distance"
math,38,2000,2025,26,0.0,1.0,"space, group, function, cohomology, algebra, manifold, field, theorem, set, structure","category, map, error, extension, assumption, critical, sum, regularity, inverse, kernel"
math,39,2000,2025,26,0.0,1.0,"group, algebra, class, operator, theory, non, dimensional, field, quantum, surface","family, limit, uniform, finite, eigenvalue, particular, standard, conjecture, existence, rational"
math,40,2000,2025,26,0.0,1.0,"space, group, algebra, function, manifold, point, non, structure, operator, field","mathbb, sum, density, gradient, compact, open, quasi, classification, lattice, mathcal_mathcal"
math,41,2000,2025,26,0.080059,0.919941,"group, algebra, function, field, theory, invariant, certain, manifold, class, theorem","constraint, power, theory, relation, closed, difference, distribution, factor, functional, series"
math,42,2000,2025,26,0.049504,0.950496,"field, group, algebra, theory, manifold, function, invariant, surface, particular, space","set, term, ring, singular, minimal, series, spectral, algebra, eigenvalue, generalization"
math,43,2000,2025,26,0.066937,0.933063,"space, group, algebra, operator, local, function, manifold, finite, theorem, quantum","function, polynomial, degree, smooth, mean, efficient, estimation, distance, relation, standard"
math,44,2000,2025,26,0.0,1.0,"group, space, algebra, function, manifold, class, field, set, matrix, energy","partial, polynomial, distance, rational, dynamic, efficient, rate, differential, network, category"
math,45,2000,2025,26,0.0,1.0,"algebra, space, group, class, dimensional, operator, map, theory, manifold, finite","certain, respect, previous, particular, dimension, article, kernel, leq, text, distance"
math,46,2000,2025,26,0.0,1.0,"algebra, theory, proof, function, manifold, class, point, space, group, non","convergence, energy, network, right, integer, scheme, formulation, ell, construction, initial"
math,47,2000,2025,26,0.0,1.0,"group, algebra, space, manifold, field, certain, class, operator, family, order","distribution, approximation, convex, curve, strong, rate, natural, compact, notion, series"
math,48,2000,2025,26,0.110462,0.889538,"theory, algebra, operator, invariant, group, function, manifold, class, dimensional, dimension","optimization, optimal, geometric, weak, robust, function, noise, topological, theory, estimation"
math,49,2000,2025,26,0.0,1.0,"algebra, space, function, field, theory, structure, operator, geometry, group, class","matrix, rank, construction, eigenvalue, connection, set, complexity, objective, log, vector"
