subject,year,avg_sim,avg_drift,n_topics
math,2000,1.0,0.0,50
math,2001,0.43673554000000003,0.56326446,50
math,2002,0.46453764,0.53546236,50
math,2003,0.34081992,0.6591800800000001,50
math,2004,0.32381790000000005,0.6761821,50
math,2005,0.31495304,0.68504696,50
math,2006,0.23986176,0.76013824,50
math,2007,0.20964194,0.79035806,50
math,2008,0.17792924,0.82207076,50
math,2009,0.14121734,0.8587826599999999,50
math,2010,0.13051014,0.8694898600000001,50
math,2011,0.11257016,0.8874298399999999,50
math,2012,0.11494605999999999,0.8850539399999999,50
math,2013,0.0995405,0.9004595000000001,50
math,2014,0.08806226,0.91193774,50
math,2015,0.058836240000000005,0.94116376,50
math,2016,0.05126068,0.9487393199999999,50
math,2017,0.05035372,0.9496462800000001,50
math,2018,0.0625213,0.9374787000000001,50
math,2019,0.06684968,0.93315032,50
math,2020,0.06554686,0.93445314,50
math,2021,0.059823259999999996,0.94017674,50
math,2022,0.06253614,0.93746386,50
math,2023,0.06721628,0.9327837200000001,50
math,2024,0.04874592,0.9512540799999999,50
math,2025,0.03988602,0.96011398,50
