subject,topic_id,year_from,year_to,cosine_sim,drift
math,0,2000,2001,0.298098,0.701902
math,1,2000,2001,0.257924,0.742076
math,2,2000,2001,0.220021,0.779979
math,3,2000,2001,0.276094,0.723906
math,4,2000,2001,0.356668,0.643332
math,5,2000,2001,0.235982,0.764018
math,6,2000,2001,0.288351,0.711649
math,7,2000,2001,0.155313,0.844687
math,8,2000,2001,0.377332,0.622668
math,9,2000,2001,0.339844,0.660156
math,10,2000,2001,0.062954,0.937046
math,11,2000,2001,0.307039,0.692961
math,12,2000,2001,0.157707,0.842293
math,13,2000,2001,0.117584,0.882416
math,14,2000,2001,0.062966,0.937034
math,15,2000,2001,0.189786,0.810214
math,16,2000,2001,0.236044,0.763956
math,17,2000,2001,0.316416,0.683584
math,18,2000,2001,0.330003,0.669997
math,19,2000,2001,0.149334,0.850666
math,20,2000,2001,0.292661,0.707339
math,21,2000,2001,0.166779,0.833221
math,22,2000,2001,0.293139,0.706861
math,23,2000,2001,0.311315,0.688685
math,24,2000,2001,0.113996,0.886004
math,25,2000,2001,0.475261,0.524739
math,26,2000,2001,0.393123,0.606877
math,27,2000,2001,0.289249,0.710751
math,28,2000,2001,0.299113,0.700887
math,29,2000,2001,0.35313,0.64687
math,30,2000,2001,0.343562,0.656438
math,31,2000,2001,0.257644,0.742356
math,32,2000,2001,0.177126,0.822874
math,33,2000,2001,0.203228,0.796772
math,34,2000,2001,0.547959,0.452041
math,35,2000,2001,0.262441,0.737559
math,36,2000,2001,0.294653,0.705347
math,37,2000,2001,0.247948,0.752052
math,38,2000,2001,0.321604,0.678396
math,39,2000,2001,0.46048,0.53952
math,40,2000,2001,0.322126,0.677874
math,41,2000,2001,0.428791,0.571209
math,42,2000,2001,0.157801,0.842199
math,43,2000,2001,0.289714,0.710286
math,44,2000,2001,0.357004,0.642996
math,45,2000,2001,0.229898,0.770102
math,46,2000,2001,0.122367,0.877633
math,47,2000,2001,0.284482,0.715518
math,48,2000,2001,0.256684,0.743316
math,49,2000,2001,0.249485,0.750515
math,0,2001,2002,0.231094,0.768906
math,1,2001,2002,0.196051,0.803949
