subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
math,0,0.31144444,0.122782,0.6885555600000001,0.877218
math,1,0.29657616000000003,0.058172,0.7034238399999999,0.941828
math,2,0.26518192,0.063416,0.73481808,0.936584
math,3,0.27893856,0.01851,0.72106144,0.98149
math,4,0.3470258,0.032069,0.6529742000000001,0.967931
math,5,0.32404064,0.077261,0.6759593599999999,0.922739
math,6,0.27473616,0.060157,0.7252638399999999,0.939843
math,7,0.32339964000000004,0.10028,0.67660036,0.89972
math,8,0.39070152,0.112812,0.60929848,0.887188
math,9,0.350533,0.059237,0.649467,0.940763
math,10,0.3086002,0.062954,0.6913997999999999,0.937046
math,11,0.31404556,0.054297,0.68595444,0.945703
math,12,0.28323052,0.090584,0.71676948,0.909416
math,13,0.35618167999999994,0.036864,0.64381832,0.963136
math,14,0.28834924,0.055362,0.7116507599999999,0.944638
math,15,0.31618316,0.049395,0.68381684,0.950605
math,16,0.33169136,0.022384,0.66830864,0.977616
math,17,0.34140736000000005,0.099074,0.65859264,0.900926
math,18,0.40737808000000003,0.20749,0.59262192,0.79251
math,19,0.31290032,0.045521,0.68709968,0.954479
math,20,0.33718736,0.079822,0.6628126400000001,0.920178
math,21,0.31251840000000003,0.044601,0.6874816,0.955399
math,22,0.34529632,0.078052,0.6547036799999999,0.921948
math,23,0.31945784,0.067419,0.68054216,0.932581
math,24,0.32572968,0.082055,0.67427032,0.917945
math,25,0.30823408,0.071294,0.69176592,0.928706
math,26,0.34881672,0.113709,0.65118328,0.886291
math,27,0.31307196000000004,0.118779,0.68692804,0.881221
math,28,0.33553427999999996,0.090584,0.66446572,0.909416
math,29,0.37241515999999997,0.139493,0.62758484,0.860507
math,30,0.38241552,0.121588,0.61758448,0.878412
math,31,0.31801976,0.081926,0.68198024,0.918074
math,32,0.33343572,0.079822,0.66656428,0.920178
math,33,0.35654443999999996,0.117714,0.64345556,0.882286
math,34,0.39964616,0.195244,0.60035384,0.804756
math,35,0.31102512,0.112644,0.68897488,0.887356
math,36,0.30413060000000003,0.063701,0.6958694,0.936299
math,37,0.34848480000000004,0.094458,0.6515152000000001,0.905542
math,38,0.37120063999999997,0.131558,0.62879936,0.868442
math,39,0.34601596,0.108937,0.65398404,0.891063
math,40,0.38034848,0.122653,0.61965152,0.877347
math,41,0.30287648,0.068933,0.69712352,0.931067
math,42,0.303532,0.069998,0.696468,0.930002
math,43,0.35165436,0.090584,0.6483456400000001,0.909416
math,44,0.31968736,0.077261,0.6803126399999999,0.922739
math,45,0.3042832,0.081465,0.6957168,0.918535
math,46,0.28338424,0.044601,0.7166157599999999,0.955399
math,47,0.34150612,0.063416,0.6584938800000001,0.936584
math,48,0.3455476,0.068933,0.6544523999999999,0.931067
math,49,0.36368308,0.113709,0.6363169200000001,0.886291
