subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
math,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.367574,0.632426,"function, space, theorem, class, dimensional, finite, group, theory, algebra, free, invariant, non, polynomial, property, representation, type, arbitrary, category, certain, condition, conjecture, curve, dimension, field, formula, manifold, operator, point, proof, set, way","algebra, theory, class, dimensional, finite, manifold, point, polynomial, theorem, condition, existence, field, function, linear, non, operator, order, set, structure, type, form, invariant, local, map, particular, proof, random, term"
math,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.412545,0.587455,"algebra, theory, class, dimensional, finite, manifold, point, polynomial, theorem, condition, existence, field, function, linear, non, operator, order, set, structure, type, form, invariant, local, map, particular, proof, random, term","algebra, dimension, random, existence, manifold, proof, term, representation, conjecture, field, function, local, particular, algorithm, category, compact, dimensional, distribution, form, invariant, linear, non, operator, order, point, series, sum, surface"
math,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.295135,0.704865,"algebra, dimension, random, existence, manifold, proof, term, representation, conjecture, field, function, local, particular, algorithm, category, compact, dimensional, distribution, form, invariant, linear, non, operator, order, point, series, sum, surface","point, term, conjecture, dimension, existence, real, dynamic, family, group, manifold, operator, category, classical, network, nonlinear, algebra, construction, continuous, formula, local, proof, rank, representation"
math,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.189743,0.810257,"point, term, conjecture, dimension, existence, real, dynamic, family, group, manifold, operator, category, classical, network, nonlinear, algebra, construction, continuous, formula, local, proof, rank, representation","classical, class, measure, non, geometry, group, term, conjecture, real, regularity, continuous, local, log, multi, scheme, arbitrary, family, length, network, open, particular, point, respect"
math,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.341435,0.658565,"theory, algebra, space, class, finite, function, group, manifold, type, form, proof, property, representation, set, structure, algebras, cohomology, condition, curve, dimension, field, formula, graph, invariant, map, non, operator, point, quantum, sum, term, theorem","class, condition, set, structure, theory, algebra, non, type, category, dimensional, field, finite, graph, manifold, polynomial, property, representation, curve, discrete, form, free, infty, local, map, point, relation, surface, term, theorem"
math,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.4356,0.5644,"class, condition, set, structure, theory, algebra, non, type, category, dimensional, field, finite, graph, manifold, polynomial, property, representation, curve, discrete, form, free, infty, local, map, point, relation, surface, term, theorem","class, non, proof, random, representation, structure, condition, conjecture, free, certain, local, map, compact, datum, dimension, domain, estimate, existence, form, formula, infty, integral, manifold, mathcal_mathcal, polynomial, positive, product, subset, surface, term, theory"
math,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.228745,0.771255,"class, non, proof, random, representation, structure, condition, conjecture, free, certain, local, map, compact, datum, dimension, domain, estimate, existence, form, formula, infty, integral, manifold, mathcal_mathcal, polynomial, positive, product, subset, surface, term, theory","existence, structure, set, free, positive, random, extension, graph, particular, sequence, class, formula, map, algebra, conjecture, datum, dimensional, integral, invariant, network, non, polynomial, product, proof, real, subset"
math,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.219304,0.780696,"existence, structure, set, free, positive, random, extension, graph, particular, sequence, class, formula, map, algebra, conjecture, datum, dimensional, integral, invariant, network, non, polynomial, product, proof, real, subset","dimensional, frac, geometric, graph, size, set, element, free, particular, respect, formula, optimal, positive, theoretical, variable, classification, existence, extension, kernel, leq, quadratic, stable, structure"
math,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.393691,0.606309,"algebra, theory, structure, finite, function, invariant, manifold, space, class, group, theorem, matrix, type, classical, construction, dimension, map, metric, operator, point, polynomial, property, surface","structure, dimensional, point, theorem, algebra, class, finite, manifold, operator, surface, theory, invariant, map, non, property, type, algebraic, condition, curve, form, graph, order, particular, polynomial, proof, representation"
math,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.227787,0.772213,"structure, dimensional, point, theorem, algebra, class, finite, manifold, operator, surface, theory, invariant, map, non, property, type, algebraic, condition, curve, form, graph, order, particular, polynomial, proof, representation","invariant, non, finite, point, random, map, representation, surface, conjecture, distribution, family, sum, certain, constant, construction, convex, dimensional, form, free, function, integral, manifold, measure, metric, particular, proof, sequence, structure, term"
