subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
physics,2000,2001,28,7,"[0, 3, 14, 25, 30, 39, 44]","[0.7, 0.6, 0.7, 0.7, 0.7, 0.7, 0.5]","theory, field, energy, beam, effect, electron, function, phase, structure, dynamic"
physics,2000,2001,26,13,"[1, 2, 10, 15, 20, 26, 27, 31, 45, 46, 50, 56, 59]","[0.5, 0.7, 0.6, 0.6, 0.8, 0.8, 0.7, 0.6, 0.7, 0.7, 0.6, 0.7, 0.6]","phase, beam, theory, wave, electron, energy, effect, dynamic, frequency, field"
physics,2000,2001,5,6,"[4, 8, 16, 21, 33, 34]","[0.7, 0.6, 0.7, 0.5, 0.6, 0.7]","energy, effect, field, beam, wave, quantum, distribution, term, theory, dynamic"
physics,2000,2001,34,3,"[5, 29, 43]","[0.6, 0.7, 0.7]","field, quantum, energy, effect, structure, dynamic, non, gravitational, beam, particle"
physics,2000,2001,13,2,"[6, 51]","[0.6, 0.7]","particle, field, theory, wave, energy, dynamic, transition, control, beam, interaction"
physics,2000,2001,47,2,"[7, 12]","[0.7, 0.6]","interaction, theory, electron, quantum, particle, dynamic, energy, field, atom, datum"
physics,2000,2001,50,8,"[9, 18, 19, 24, 32, 36, 40, 55]","[0.7, 0.7, 0.8, 0.8, 0.7, 0.6, 0.7, 0.6]","quantum, dynamic, energy, field, theory, structure, electron, atom, effect, beam"
physics,2000,2001,32,3,"[11, 52, 54]","[0.6, 0.7, 0.6]","theory, energy, beam, electron, structure, datum, particle, wave, quantum, distribution"
physics,2000,2001,12,4,"[13, 22, 38, 49]","[0.7, 0.6, 0.6, 0.5]","quantum, effect, property, calculation, energy, field, beam, wave, atom, function"
physics,2000,2001,19,2,"[42, 47]","[0.6, 0.6]","energy, field, function, interaction, non, theory, electron, atom, laser, rate"
physics,2001,2002,1,10,"[0, 9, 13, 40, 42, 43, 44, 47, 48, 53]","[0.6, 0.5, 0.6, 0.7, 0.7, 0.6, 0.6, 0.7, 0.6, 0.5]","energy, wave, field, quantum, theory, electron, structure, transition, atom, interaction"
physics,2001,2002,2,2,"[1, 27]","[0.6, 0.5]","energy, effect, phase, structure, datum, fluid, quantum, distribution, fluctuation, wave"
physics,2001,2002,25,2,"[2, 57]","[0.6, 0.6]","electron, wave, effect, beam, potential, non, level, geometry, configuration, energy"
physics,2001,2002,9,3,"[4, 34, 58]","[0.5, 0.7, 0.7]","energy, particle, field, structure, quantum, distribution, beam, dynamic, datum, property"
physics,2001,2002,5,2,"[5, 36]","[0.7, 0.5]","dynamic, energy, field, quantum, distribution, theory, wave, electron, resonance, condition"
physics,2001,2002,43,7,"[6, 7, 26, 30, 50, 54, 55]","[0.6, 0.6, 0.8, 0.8, 0.8, 0.6, 0.6]","energy, wave, electron, quantum, frequency, theory, field, beam, structure, effect"
physics,2001,2002,14,2,"[8, 11]","[0.5, 0.5]","atom, phase, theory, particle, function, energy, beam, electron, datum, transition"
physics,2001,2002,3,3,"[10, 17, 28]","[0.6, 0.5, 0.8]","field, energy, non, effect, theory, velocity, structure, function, dynamic, phase"
physics,2001,2002,27,2,"[12, 49]","[0.7, 0.7]","field, energy, wave, quantum, effect, dynamic, type, local, atom, function"
physics,2001,2002,51,4,"[18, 23, 51, 52]","[0.6, 0.6, 0.9, 0.7]","field, quantum, energy, calculation, theory, wave, structure, electron, particle, dynamic"
physics,2001,2002,0,4,"[19, 29, 35, 45]","[0.6, 0.5, 0.6, 0.6]","field, energy, theory, structure, non, dimensional, condition, beam, atom, function"
physics,2001,2002,42,2,"[20, 24]","[0.5, 0.6]","field, particle, atom, phase, effect, quantum, datum, rate, energy, structure"
physics,2001,2002,6,3,"[31, 39, 59]","[0.6, 0.5, 0.5]","energy, theory, potential, field, effect, noise, wave, particle, previous, quantum"
physics,2002,2003,21,2,"[0, 52]","[0.6, 0.7]","dynamic, energy, theory, particle, beam, function, scale, field, space, structure"
physics,2002,2003,5,11,"[1, 6, 7, 21, 24, 30, 38, 49, 50, 55, 56]","[0.7, 0.7, 0.7, 0.8, 0.5, 0.7, 0.6, 0.6, 0.6, 0.7, 0.7]","particle, field, theory, atom, potential, energy, wave, structure, effect, interaction"
physics,2002,2003,45,2,"[2, 4]","[0.6, 0.6]","energy, wave, quantum, function, distribution, effect, electron, atom, velocity, phase"
physics,2002,2003,25,2,"[3, 53]","[0.7, 0.6]","field, energy, effect, function, non, theory, wave, particle, interaction, phase"
physics,2002,2003,4,3,"[8, 35, 40]","[0.6, 0.7, 0.8]","energy, structure, phase, atom, frequency, behavior, theory, wave, effect, dynamic"
physics,2002,2003,26,2,"[9, 15]","[0.7, 0.5]","energy, dynamic, optical, calculation, field, electron, particle, structure, distribution, property"
physics,2002,2003,50,3,"[10, 46, 57]","[0.6, 0.5, 0.6]","beam, molecule, energy, effect, interaction, transition, dimension, field, electron, function"
physics,2002,2003,19,2,"[12, 31]","[0.5, 0.6]","particle, energy, theory, effect, electron, datum, field, level, physics, gas"
physics,2002,2003,30,4,"[13, 27, 42, 45]","[0.7, 0.6, 0.7, 0.7]","energy, beam, wave, structure, phase, field, effect, dynamic, atom, particle"
physics,2002,2003,17,2,"[16, 39]","[0.6, 0.6]","energy, field, particle, dynamic, potential, effect, atom, electron, interaction, property"
physics,2002,2003,32,4,"[18, 43, 51, 58]","[0.5, 0.7, 0.8, 0.6]","energy, wave, particle, field, theory, structure, electron, quantum, temperature, force"
physics,2002,2003,27,2,"[19, 44]","[0.6, 0.6]","atom, field, energy, effect, structure, function, optical, property, order, atomic"
physics,2002,2003,6,2,"[20, 48]","[0.6, 0.5]","energy, wave, atom, particle, beam, optical, plasma, detector, theory, structure"
physics,2002,2003,0,2,"[25, 41]","[0.5, 0.5]","dynamic, wave, flow, energy, beam, datum, non, experimental, nonlinear, electron"
physics,2003,2004,20,3,"[0, 12, 55]","[0.6, 0.7, 0.7]","energy, field, wave, particle, electron, distribution, beam, scale, nonlinear, dynamic"
physics,2003,2004,0,2,"[1, 10]","[0.5, 0.5]","energy, field, particle, structure, distribution, density, beam, plasma, transition, radiation"
physics,2003,2004,29,2,"[3, 58]","[0.6, 0.7]","field, energy, plasma, particle, electron, datum, wave, function, space, beam"
physics,2003,2004,3,9,"[5, 14, 16, 17, 20, 23, 24, 47, 49]","[0.7, 0.5, 0.6, 0.6, 0.5, 0.6, 0.7, 0.5, 0.5]","electron, atom, field, theory, particle, transition, function, potential, energy, wave"
physics,2003,2004,12,3,"[6, 31, 32]","[0.6, 0.7, 0.7]","structure, calculation, wave, particle, field, plasma, atomic, theory, electron, energy"
physics,2003,2004,2,3,"[11, 19, 35]","[0.5, 0.7, 0.6]","electron, effect, flow, line, particle, datum, level, field, theory, dynamic"
physics,2003,2004,9,2,"[15, 42]","[0.5, 0.6]","particle, energy, theory, plasma, field, frequency, wave, fluid, function, datum"
physics,2003,2004,26,3,"[21, 25, 30]","[0.7, 0.7, 0.7]","wave, energy, theory, particle, field, effect, dynamic, function, beam, radiation"
physics,2003,2004,21,2,"[34, 39]","[0.6, 0.6]","structure, electron, energy, theory, interaction, plasma, particular, field, particle, effect"
physics,2003,2004,5,2,"[37, 48]","[0.6, 0.6]","theory, wave, energy, particle, mode, relativistic, field, electron, effect, space"
physics,2003,2004,10,4,"[40, 51, 52, 59]","[0.5, 0.6, 0.6, 0.6]","energy, particle, beam, property, theory, wave, quantum, density, single, field"
physics,2003,2004,4,2,"[43, 50]","[0.5, 0.6]","energy, theory, particle, electron, field, frequency, effect, plasma, transition, beam"
physics,2003,2004,55,2,"[44, 54]","[0.5, 0.7]","energy, field, wave, theory, interaction, order, particle, ion, relativistic, local"
physics,2004,2005,21,3,"[1, 4, 17]","[0.6, 0.7, 0.7]","energy, atom, field, effect, particle, theory, electron, beam, force, dynamic"
physics,2004,2005,3,9,"[2, 7, 13, 21, 31, 35, 39, 41, 49]","[0.6, 0.5, 0.6, 0.7, 0.6, 0.7, 0.6, 0.6, 0.5]","energy, effect, theory, electron, optical, laser, structure, particle, field, dynamic"
