subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
physics,2000,2001,50,50,0,0,7,43,0,7,0,0.0,0.0,14.0,86.0,0.0
physics,2001,2002,50,50,0,0,14,36,0,14,0,0.0,0.0,28.0,72.0,0.0
physics,2002,2003,50,50,0,0,12,38,0,12,0,0.0,0.0,24.0,76.0,0.0
physics,2003,2004,50,50,0,0,13,37,0,13,0,0.0,0.0,26.0,74.0,0.0
physics,2004,2005,50,50,0,0,13,37,0,13,0,0.0,0.0,26.0,74.0,0.0
physics,2005,2006,50,50,0,0,14,36,0,14,0,0.0,0.0,28.0,72.0,0.0
physics,2006,2007,50,50,1,0,11,38,0,11,0,2.0,0.0,22.0,76.0,0.0
physics,2007,2008,50,50,1,1,12,36,0,12,0,2.0,2.0,24.0,72.0,0.0
physics,2008,2009,50,50,0,6,12,32,0,12,0,0.0,12.0,24.0,64.0,0.0
physics,2009,2010,50,50,0,10,10,30,0,10,0,0.0,20.0,20.0,60.0,0.0
physics,2010,2011,50,50,5,16,9,20,0,9,0,10.0,32.0,18.0,40.0,0.0
physics,2011,2012,50,50,10,13,9,18,0,9,0,20.0,26.0,18.0,36.0,0.0
physics,2012,2013,50,50,18,16,5,11,0,5,0,36.0,32.0,10.0,22.0,0.0
physics,2013,2014,50,50,15,25,4,6,0,4,0,30.0,50.0,8.0,12.0,0.0
physics,2014,2015,50,50,21,23,3,3,0,3,0,42.0,46.0,6.0,6.0,0.0
physics,2015,2016,50,50,22,26,1,1,0,1,0,44.0,52.0,2.0,2.0,0.0
physics,2016,2017,50,50,24,26,0,0,0,0,0,48.0,52.0,0.0,0.0,0.0
physics,2017,2018,50,50,33,15,1,1,0,1,0,66.0,30.0,2.0,2.0,0.0
physics,2018,2019,50,50,38,12,0,0,0,0,0,76.0,24.0,0.0,0.0,0.0
physics,2019,2020,50,50,39,9,1,1,0,1,0,78.0,18.0,2.0,2.0,0.0
physics,2020,2021,50,50,30,20,0,0,0,0,0,60.0,40.0,0.0,0.0,0.0
physics,2021,2022,50,50,22,28,0,0,0,0,0,44.0,56.0,0.0,0.0,0.0
physics,2022,2023,50,50,23,27,0,0,0,0,0,46.0,54.0,0.0,0.0,0.0
physics,2023,2024,50,50,41,9,0,0,0,0,0,82.0,18.0,0.0,0.0,0.0
physics,2024,2025,50,50,46,4,0,0,0,0,0,92.0,8.0,0.0,0.0,0.0
