subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
physics,0,2000–2005,2020–2025,0.071989,0.928011,34,25,5,29,20,14.71,"energy, field, structure, beam, electron, density, distribution, dynamic, effect, non, particle, theory, transition, wave, atom, condition, datum, dimensional, experimental, flow, function, interaction, ion, measurement, nonlinear, order, phase, plasma, property, radiation, rate, scale, surface, weak","domain, optimization, prediction, fluid, atom, datum, distribution, frequency, point, power, rate, capability, dimensional, fast, noise, range, technology, change, correlation, coupling, diffusion, pattern, quality, spectra, spectral","atom, datum, dimensional, distribution, rate","capability, change, correlation, coupling, diffusion, domain, fast, fluid, frequency, noise, optimization, pattern, point, power, prediction, quality, range, spectra, spectral, technology","beam, condition, density, dynamic, effect, electron, energy, experimental, field, flow, function, interaction, ion, measurement, non, nonlinear, order, particle, phase, plasma"
physics,1,2000–2005,2020–2025,0.035332,0.964668,32,29,4,28,25,12.5,"energy, theory, wave, structure, atom, effect, field, quantum, beam, electron, interaction, phase, transition, control, datum, distribution, dynamic, experimental, local, measurement, mode, motion, optical, particle, physical, physics, principle, radiation, source, space, surface, temperature","gas, interaction, point, network, order, size, dimensional, environment, event, evolution, fundamental, laser, level, physics, standard, atom, boundary, channel, coherent, effective, force, liquid, magnetic_field, mean, pattern, physical, pressure, test, water","atom, interaction, physical, physics","boundary, channel, coherent, dimensional, effective, environment, event, evolution, force, fundamental, gas, laser, level, liquid, magnetic_field, mean, network, order, pattern, point","beam, control, datum, distribution, dynamic, effect, electron, energy, experimental, field, local, measurement, mode, motion, optical, particle, phase, principle, quantum, radiation"
physics,2,2000–2005,2020–2025,0.01909,0.98091,32,34,4,28,30,12.5,"energy, datum, field, effect, structure, theory, wave, beam, distribution, electron, ion, level, non, optical, particle, phase, transition, dimensional, dynamic, flow, fluctuation, fluid, frequency, line, matrix, measurement, motion, multi, physics, quantum, relativistic, type","liquid, dimensional, atomic, factor, formation, layer, noise, quantum, standard, algorithm, capability, point, signal, speed, accurate, atom, band, effective, electron, electronic, energy, function, information, loss, material, photon, possible, prediction, pulse, role, step, temporal, thermal, way","dimensional, electron, energy, quantum","accurate, algorithm, atom, atomic, band, capability, effective, electronic, factor, formation, function, information, layer, liquid, loss, material, noise, photon, point, possible","beam, datum, distribution, dynamic, effect, field, flow, fluctuation, fluid, frequency, ion, level, line, matrix, measurement, motion, multi, non, optical, particle"
physics,3,2000–2005,2020–2025,0.034508,0.965492,27,21,3,24,18,11.11,"energy, field, electron, effect, function, particle, phase, space, structure, theory, wave, atom, dynamic, laser, potential, transition, beam, control, datum, linear, mass, motion, non, optical, rate, scheme, velocity","point, frequency, pattern, regime, pressure, rate, spectral, calculation, force, space, tool, change, efficiency, light, mass, stability, effective, growth, mechanism, neural_network, signal","mass, rate, space","calculation, change, effective, efficiency, force, frequency, growth, light, mechanism, neural_network, pattern, point, pressure, regime, signal, spectral, stability, tool","atom, beam, control, datum, dynamic, effect, electron, energy, field, function, laser, linear, motion, non, optical, particle, phase, potential, scheme, structure"
physics,4,2000–2005,2020–2025,0.049759,0.950241,31,28,5,26,23,16.13,"energy, field, beam, dynamic, effect, electron, phase, quantum, structure, theory, wave, atom, frequency, particle, term, behavior, dimensional, distribution, epic, function, gas, interaction, light, mode, network, plasma, property, rate, scale, space, transition","calculation, classical, detector, function, spin, algorithm, channel, interaction, quantum, chemical, emission, information, insight, pressure, signal, theoretical, atom, band, contrast, dependent, electromagnetic, force, formation, magnetic_field, mechanism, pattern, structure, target","atom, function, interaction, quantum, structure","algorithm, band, calculation, channel, chemical, classical, contrast, dependent, detector, electromagnetic, emission, force, formation, information, insight, magnetic_field, mechanism, pattern, pressure, signal","beam, behavior, dimensional, distribution, dynamic, effect, electron, energy, epic, field, frequency, gas, light, mode, network, particle, phase, plasma, property, rate"
physics,5,2000–2005,2020–2025,0.011294,0.988706,29,31,2,27,29,6.9,"energy, field, theory, wave, effect, dynamic, electron, quantum, beam, distribution, particle, structure, atom, condition, density, frequency, function, interaction, light, magnetic_field, mode, nonlinear, optical, order, potential, relativistic, resonance, space, term","control, charge, frequency, change, interface, level, term, force, mechanical, mechanism, phenomenon, prediction, size, accurate, detector, development, efficiency, emission, environment, factor, formation, individual, line, phase, principle, ratio, resolution, response, scheme, speed, traditional","frequency, term","accurate, change, charge, control, detector, development, efficiency, emission, environment, factor, force, formation, individual, interface, level, line, mechanical, mechanism, phase, phenomenon","atom, beam, condition, density, distribution, dynamic, effect, electron, energy, field, function, interaction, light, magnetic_field, mode, nonlinear, optical, order, particle, potential"
physics,6,2000–2005,2020–2025,0.065557,0.934443,30,26,4,26,22,13.33,"theory, energy, wave, beam, effect, particle, field, atom, frequency, optical, quantum, space, structure, atomic, behavior, control, detector, distribution, dynamic, interaction, linac, measurement, medium, noise, numerical, phase, plasma, potential, previous, temperature","force, space, velocity, dynamic, interaction, design, electron, particle, point, boundary, calculation, nonlinear, pressure, ratio, source, turbulent, amplitude, band, channel, evolution, order, physical, resolution, resonance, speed, theoretical","dynamic, interaction, particle, space","amplitude, band, boundary, calculation, channel, design, electron, evolution, force, nonlinear, order, physical, point, pressure, ratio, resolution, resonance, source, speed, theoretical","atom, atomic, beam, behavior, control, detector, distribution, effect, energy, field, frequency, linac, measurement, medium, noise, numerical, optical, phase, plasma, potential"
physics,7,2000–2005,2020–2025,0.057717,0.942283,34,25,3,31,22,8.82,"field, theory, particle, wave, beam, dynamic, effect, energy, atom, datum, electron, structure, calculation, cavity, dimensional, experimental, flow, frequency, function, interaction, level, light, mass, network, optical, physics, potential, power, property, quantum, range, space, transition, velocity","event, change, linear, point, scheme, structure, active, dynamic, information, local, signal, specific, capability, evolution, mechanism, radiation, behavior, electronic, formation, mass, principle, size, technology, term, transport","dynamic, mass, structure","active, behavior, capability, change, electronic, event, evolution, formation, information, linear, local, mechanism, point, principle, radiation, scheme, signal, size, specific, technology","atom, beam, calculation, cavity, datum, dimensional, effect, electron, energy, experimental, field, flow, frequency, function, interaction, level, light, network, optical, particle"
physics,8,2000–2005,2020–2025,0.056501,0.943499,29,29,2,27,27,6.9,"electron, energy, field, function, theory, atom, dynamic, wave, beam, distribution, frequency, particle, phase, quantum, structure, classical, control, experimental, flow, ion, light, non, optical, plasma, potential, property, scale, single, space","image, imaging, direction, emission, possible, atom, optical, cavity, coupling, development, measurement, noise, pressure, resonance, response, edge, essential, growth, mass, phenomenon, power, ray, self, spatial, speed, term, thermal, training, variable","atom, optical","cavity, coupling, development, direction, edge, emission, essential, growth, image, imaging, mass, measurement, noise, phenomenon, possible, power, pressure, ray, resonance, response","beam, classical, control, distribution, dynamic, electron, energy, experimental, field, flow, frequency, function, ion, light, non, particle, phase, plasma, potential, property"
physics,9,2000–2005,2020–2025,0.154941,0.845059,30,25,8,22,17,26.67,"energy, field, particle, theory, beam, effect, electron, structure, wave, atom, datum, density, distribution, function, interaction, control, correlation, dynamic, fluid, frequency, light, molecule, non, optical, order, plasma, property, quantum, single, size","physics, design, local, electron, quantum, theory, algorithm, control, energy, imaging, pattern, formation, molecular, transport, calculation, coupling, datum, kinetic, light, limit, matrix, multi, order, radiation, robust","control, datum, electron, energy, light, order, quantum, theory","algorithm, calculation, coupling, design, formation, imaging, kinetic, limit, local, matrix, molecular, multi, pattern, physics, radiation, robust, transport","atom, beam, correlation, density, distribution, dynamic, effect, field, fluid, frequency, function, interaction, molecule, non, optical, particle, plasma, property, single, size"
