subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
physics,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.400133,0.599867,"energy, field, structure, beam, electron, density, distribution, dynamic, effect, non, particle, theory, transition, wave, atom, condition, datum, dimensional, experimental, flow, function, interaction, ion, measurement, nonlinear, order, phase, plasma, property, radiation, rate, scale, surface, weak","structure, dynamic, effect, electron, laser, particle, wave, energy, field, flow, interaction, network, non, order, potential, surface, temperature, datum, density, distribution, experimental, frequency, function, growth, light, mode, phase, property, rate, scale, space, theory, velocity"
physics,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.177457,0.822543,"structure, dynamic, effect, electron, laser, particle, wave, energy, field, flow, interaction, network, non, order, potential, surface, temperature, datum, density, distribution, experimental, frequency, function, growth, light, mode, phase, property, rate, scale, space, theory, velocity","flow, numerical, space, laser, plasma, rate, single, surface, density, fluid, frequency, interaction, light, non, order, potential, scale, theory, calculation, free, function, information, ion, level, medium, phase, possible, range, temperature, transition, velocity"
physics,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.127983,0.872017,"flow, numerical, space, laser, plasma, rate, single, surface, density, fluid, frequency, interaction, light, non, order, potential, scale, theory, calculation, free, function, information, ion, level, medium, phase, possible, range, temperature, transition, velocity","fluid, frequency, distribution, calculation, coupling, flow, noise, power, change, correlation, information, level, range, region, source, atom, charge, efficient, free, molecule, motion, numerical, physical, plasma, point, response, spectral, theoretical, velocity"
physics,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.244872,0.755128,"fluid, frequency, distribution, calculation, coupling, flow, noise, power, change, correlation, information, level, range, region, source, atom, charge, efficient, free, molecule, motion, numerical, physical, plasma, point, response, spectral, theoretical, velocity","domain, optimization, prediction, fluid, atom, datum, distribution, frequency, point, power, rate, capability, dimensional, fast, noise, range, technology, change, correlation, coupling, diffusion, pattern, quality, spectra, spectral"
physics,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.507447,0.492553,"energy, theory, wave, structure, atom, effect, field, quantum, beam, electron, interaction, phase, transition, control, datum, distribution, dynamic, experimental, local, measurement, mode, motion, optical, particle, physical, physics, principle, radiation, source, space, surface, temperature","wave, theory, atom, distribution, effect, function, datum, density, dynamic, field, frequency, interaction, property, space, structure, transition, beam, electron, energy, formation, free, ion, linear, medium, mode, motion, network, non, numerical, phase, potential, quantum, scale, surface, velocity"
physics,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.117012,0.882988,"wave, theory, atom, distribution, effect, function, datum, density, dynamic, field, frequency, interaction, property, space, structure, transition, beam, electron, energy, formation, free, ion, linear, medium, mode, motion, network, non, numerical, phase, potential, quantum, scale, surface, velocity","energy, dimensional, experimental, frequency, numerical, plasma, potential, temperature, distribution, laser, linear, non, transition, wave, atom, behavior, cavity, correlation, datum, density, flow, force, function, information, layer, magnetic_field, medium, molecular, molecule, order, rate, scale, source, space, surface, theory, velocity"
physics,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.207286,0.792714,"energy, dimensional, experimental, frequency, numerical, plasma, potential, temperature, distribution, laser, linear, non, transition, wave, atom, behavior, cavity, correlation, datum, density, flow, force, function, information, layer, magnetic_field, medium, molecular, molecule, order, rate, scale, source, space, surface, theory, velocity","dimensional, force, physics, physical, correlation, effective, gas, multi, source, free, interaction, signal, atom, behavior, control, energy, information, layer, level, molecular, molecule, nonlinear, point, power, pressure, range, regime, response, term, theoretical, transport"
physics,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.153864,0.846136,"dimensional, force, physics, physical, correlation, effective, gas, multi, source, free, interaction, signal, atom, behavior, control, energy, information, layer, level, molecular, molecule, nonlinear, point, power, pressure, range, regime, response, term, theoretical, transport","gas, interaction, point, network, order, size, dimensional, environment, event, evolution, fundamental, laser, level, physics, standard, atom, boundary, channel, coherent, effective, force, liquid, magnetic_field, mean, pattern, physical, pressure, test, water"
physics,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.403684,0.596316,"energy, datum, field, effect, structure, theory, wave, beam, distribution, electron, ion, level, non, optical, particle, phase, transition, dimensional, dynamic, flow, fluctuation, fluid, frequency, line, matrix, measurement, motion, multi, physics, quantum, relativistic, type","structure, theory, field, interaction, distribution, light, dynamic, effect, electron, energy, flow, measurement, motion, network, particle, property, wave, atom, datum, dimensional, force, frequency, ion, mode, non, optical, plasma, potential, quantum, space, surface"
physics,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.153502,0.846498,"structure, theory, field, interaction, distribution, light, dynamic, effect, electron, energy, flow, measurement, motion, network, particle, property, wave, atom, datum, dimensional, force, frequency, ion, mode, non, optical, plasma, potential, quantum, space, surface","atom, flow, frequency, nonlinear, property, transition, distribution, interaction, material, numerical, temperature, effective, energy, experimental, fluid, information, laser, level, magnetic, measurement, molecular, motion, non, plasma, potential, range, rate, regime, single, size, space, strong, surface, term, theory, type, velocity"
physics,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.203659,0.796341,"atom, flow, frequency, nonlinear, property, transition, distribution, interaction, material, numerical, temperature, effective, energy, experimental, fluid, information, laser, level, magnetic, measurement, molecular, motion, non, plasma, potential, range, rate, regime, single, size, space, strong, surface, term, theory, type, velocity","energy, material, layer, frequency, photon, spin, electronic, information, noise, nonlinear, quantum, region, signal, atom, behavior, coupling, design, electron, flow, fluid, laser, molecular, pulse, radiation, rate, regime, size, source, strong, term, transition, transport, velocity"
physics,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.152658,0.847342,"energy, material, layer, frequency, photon, spin, electronic, information, noise, nonlinear, quantum, region, signal, atom, behavior, coupling, design, electron, flow, fluid, laser, molecular, pulse, radiation, rate, regime, size, source, strong, term, transition, transport, velocity","liquid, dimensional, atomic, factor, formation, layer, noise, quantum, standard, algorithm, capability, point, signal, speed, accurate, atom, band, effective, electron, electronic, energy, function, information, loss, material, photon, possible, prediction, pulse, role, step, temporal, thermal, way"
physics,3,2000–2005,2005–2010,2000–2005 → 2005–2010,0.395007,0.604993,"energy, field, electron, effect, function, particle, phase, space, structure, theory, wave, atom, dynamic, laser, potential, transition, beam, control, datum, linear, mass, motion, non, optical, rate, scheme, velocity","theory, field, dynamic, property, wave, datum, effect, electron, energy, experimental, flow, frequency, function, non, optical, particle, phase, quantum, atom, density, interaction, ion, laser, linear, mass, network, numerical, potential, scale, space, structure, temperature, transition, velocity"
physics,3,2005–2010,2010–2015,2005–2010 → 2010–2015,0.168012,0.831988,"theory, field, dynamic, property, wave, datum, effect, electron, energy, experimental, flow, frequency, function, non, optical, particle, phase, quantum, atom, density, interaction, ion, laser, linear, mass, network, numerical, potential, scale, space, structure, temperature, transition, velocity","transition, order, scale, experimental, property, space, flow, force, frequency, function, numerical, physics, rate, scheme, atom, cell, correlation, density, dimensional, evolution, free, ion, level, light, line, mean, measurement, molecular, non, particle, signal, social, source, strong, surface, temperature"
physics,3,2010–2015,2015–2020,2010–2015 → 2015–2020,0.173188,0.826812,"transition, order, scale, experimental, property, space, flow, force, frequency, function, numerical, physics, rate, scheme, atom, cell, correlation, density, dimensional, evolution, free, ion, level, light, line, mean, measurement, molecular, non, particle, signal, social, source, strong, surface, temperature","rate, force, efficiency, numerical, space, mass, type, free, mean, mechanism, point, pressure, transition, calculation, cell, correlation, effective, linear, magnetic, molecular, motion, pattern, physics, polarization, possible, power, resolution, scheme, signal, source, strong, velocity"
