subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
cs,2000,2001,8,2,"[7, 15]","[0.5813, 0.6127]","language, set, logic, code, function, structure, policy, operator, graph, program"
cs,2000,2001,25,2,"[20, 28]","[0.551, 0.5174]","set, program, constraint, service, language, property, resource, internet, theory, quantum"
cs,2000,2001,11,2,"[12, 22]","[0.6058, 0.5782]","logic, quantum, function, program, order, constraint, distribution, programming, dynamic, factor"
cs,2000,2001,20,8,"[1, 3, 4, 29, 35, 40, 42, 47]","[0.5412, 0.5336, 0.5103, 0.5808, 0.5022, 0.5024, 0.5336, 0.5127]","logic, language, computer, semantic, design, theory, quantum, constraint, error, knowledge"
cs,2001,2002,26,2,"[0, 33]","[0.5239, 0.5555]","set, logic, semantic, theory, code, complexity, property, way, software, computation"
cs,2002,2003,48,2,"[34, 36]","[0.5426, 0.5777]","logic, program, structure, linear, semantic, query, software, agent, memory, message"
cs,2002,2003,34,2,"[19, 41]","[0.5057, 0.5701]","logic, way, quantum, set, class, linear, constraint, service, source, tool"
cs,2002,2003,4,2,"[6, 28]","[0.5959, 0.5178]","program, theory, set, space, particular, code, function, protocol, efficient, software"
cs,2003,2004,36,2,"[0, 15]","[0.5431, 0.5206]","program, constraint, rule, computation, set, logic, efficient, programming, dynamic, optimal"
cs,2003,2004,39,2,"[32, 35]","[0.5821, 0.5239]","function, language, set, logic, quantum, control, theory, service, size, tree"
cs,2005,2006,33,2,"[28, 38]","[0.5228, 0.5349]","channel, class, type, knowledge, programming, bound, set, resource, scheme, complexity"
cs,2005,2006,18,4,"[9, 15, 16, 29]","[0.5776, 0.5012, 0.6545, 0.5361]","channel, order, quantum, tree, logic, source, input, local, random, scheme"
cs,2007,2008,26,2,"[5, 7]","[0.5139, 0.5615]","order, channel, power, length, measure, complexity, polynomial, parallel, spreadsheet, specific"
cs,2008,2009,44,2,"[7, 48]","[0.6165, 0.5075]","channel, scheme, random, maximum, matrix, term, polynomial, capacity, machine, property"
cs,2009,2010,49,4,"[20, 22, 33, 44]","[0.5104, 0.5228, 0.5309, 0.5579]","channel, matrix, random, signal, bound, form, vector, construction, scheme, property"
