subject,year_from,year_to,topic_id,ttc,tts,ttq
cs,2000,2001,0,0.531738,0.711194,0.608511
cs,2000,2001,1,0.5316,0.682719,0.597757
cs,2000,2001,2,0.538399,0.524832,0.531529
cs,2000,2001,3,0.51522,0.862845,0.645188
cs,2000,2001,4,0.507011,0.899379,0.648462
cs,2000,2001,5,0.51323,0.729716,0.60262
cs,2000,2001,6,0.523631,0.919941,0.667385
cs,2000,2001,7,0.529325,0.642666,0.580515
cs,2000,2001,8,0.524531,0.579147,0.550488
cs,2000,2001,9,0.523842,0.906971,0.664112
cs,2000,2001,10,0.520372,0.754719,0.61601
cs,2000,2001,11,0.507978,0.662779,0.575144
cs,2000,2001,12,0.52995,0.647336,0.582791
cs,2000,2001,13,0.523304,0.422405,0.467472
cs,2000,2001,14,0.531327,0.834779,0.64935
cs,2000,2001,15,0.529755,0.713275,0.607967
cs,2000,2001,16,0.530958,0.643752,0.58194
cs,2000,2001,17,0.524472,0.795116,0.63204
cs,2000,2001,18,0.543484,0.76255,0.634645
cs,2000,2001,19,0.523373,0.772153,0.623876
cs,2000,2001,20,0.533328,0.791253,0.637179
cs,2000,2001,21,0.521408,0.754719,0.616736
cs,2000,2001,22,0.523328,0.870437,0.65366
cs,2000,2001,23,0.538472,0.466682,0.500013
cs,2000,2001,24,0.499295,1.0,0.666039
cs,2000,2001,25,0.526765,0.764253,0.623666
cs,2000,2001,26,0.46535,0.917733,0.617558
cs,2000,2001,27,0.532408,0.512654,0.522344
cs,2000,2001,28,0.528018,0.876416,0.659003
cs,2000,2001,29,0.527029,0.759906,0.622398
cs,2000,2001,30,0.515409,0.919941,0.660669
cs,2000,2001,31,0.534069,0.609928,0.569483
cs,2000,2001,32,0.52378,0.862845,0.651857
cs,2000,2001,33,0.531362,0.647336,0.583644
cs,2000,2001,34,0.522754,0.900993,0.661631
cs,2000,2001,35,0.518051,0.875967,0.651061
cs,2000,2001,36,0.519228,0.917733,0.663223
cs,2000,2001,37,0.519727,0.686191,0.59147
cs,2000,2001,38,0.535015,0.675811,0.597227
cs,2000,2001,39,0.517368,0.774095,0.620214
cs,2000,2001,40,0.514533,0.933063,0.663295
cs,2000,2001,41,0.523181,0.680511,0.591564
cs,2000,2001,42,0.538658,0.791253,0.640968
cs,2000,2001,43,0.526039,0.737689,0.614141
cs,2000,2001,44,0.541423,0.717632,0.617197
cs,2000,2001,45,0.540106,0.535594,0.537841
cs,2000,2001,46,0.514672,0.919941,0.660064
cs,2000,2001,47,0.52412,0.77262,0.624559
cs,2000,2001,48,0.533851,0.610914,0.569789
cs,2000,2001,49,0.528296,0.732906,0.614004
cs,2001,2002,0,0.530579,0.862974,0.657134
cs,2001,2002,1,0.532854,0.572661,0.552041
cs,2001,2002,2,0.521978,0.700153,0.598077
cs,2001,2002,3,0.519492,0.883559,0.654291
cs,2001,2002,4,0.51153,0.77262,0.615533
cs,2001,2002,5,0.527398,0.836305,0.646864
cs,2001,2002,6,0.537676,0.582719,0.559292
cs,2001,2002,7,0.523759,0.826912,0.641314
cs,2001,2002,8,0.529617,0.665689,0.589908
cs,2001,2002,9,0.526262,0.797232,0.634008
cs,2001,2002,10,0.521908,0.8035,0.632791
cs,2001,2002,11,0.528755,0.762779,0.624564
cs,2001,2002,12,0.526668,0.840034,0.647425
cs,2001,2002,13,0.523905,0.44063,0.478673
cs,2001,2002,14,0.525699,0.762779,0.622427
cs,2001,2002,15,0.522263,0.862974,0.650718
cs,2001,2002,16,0.521194,0.737689,0.610826
cs,2001,2002,17,0.512931,0.956475,0.667761
cs,2001,2002,18,0.533543,0.772153,0.631046
cs,2001,2002,19,0.518219,0.933063,0.66635
cs,2001,2002,20,0.522622,0.758275,0.618771
cs,2001,2002,21,0.519796,0.794657,0.628488
cs,2001,2002,22,0.512961,0.901716,0.653924
cs,2001,2002,23,0.519276,0.633878,0.570882
cs,2001,2002,24,0.505195,0.919941,0.652218
cs,2001,2002,25,0.522304,0.821657,0.638641
cs,2001,2002,26,0.464127,1.0,0.633998
cs,2001,2002,27,0.529138,0.551372,0.540026
cs,2001,2002,28,0.531662,0.876416,0.661834
cs,2001,2002,29,0.529902,0.84462,0.651231
cs,2001,2002,30,0.506451,1.0,0.672377
cs,2001,2002,31,0.531977,0.738812,0.618562
cs,2001,2002,32,0.524803,0.745153,0.615862
cs,2001,2002,33,0.537357,0.623416,0.577196
cs,2001,2002,34,0.517895,0.807779,0.631142
cs,2001,2002,35,0.516279,0.901716,0.656613
cs,2001,2002,36,0.505181,0.790974,0.61657
cs,2001,2002,37,0.534627,0.668864,0.59426
cs,2001,2002,38,0.515571,0.942904,0.666634
cs,2001,2002,39,0.521849,0.719336,0.604881
cs,2001,2002,40,0.508695,1.0,0.674351
cs,2001,2002,41,0.521196,0.837674,0.642582
cs,2001,2002,42,0.521495,0.631432,0.571222
cs,2001,2002,43,0.534405,0.755914,0.626146
cs,2001,2002,44,0.521505,0.835974,0.642315
cs,2001,2002,45,0.53974,0.450303,0.490982
cs,2001,2002,46,0.516497,0.881199,0.651267
cs,2001,2002,47,0.514133,0.950496,0.667311
cs,2001,2002,48,0.536189,0.712389,0.611856
cs,2001,2002,49,0.527683,0.826463,0.644112
cs,2002,2003,0,0.532757,0.780212,0.633166
cs,2002,2003,1,0.524172,0.554928,0.539112
cs,2002,2003,2,0.534076,0.751131,0.624275
