subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
cs,2000,2001,50,0.522362,0.787729,0.625928
cs,2001,2002,50,0.520563,0.798958,0.628495
cs,2002,2003,50,0.522709,0.769889,0.618671
cs,2003,2004,50,0.522463,0.759849,0.615816
cs,2004,2005,50,0.524869,0.729246,0.607776
cs,2005,2006,50,0.535727,0.658445,0.587843
cs,2006,2007,50,0.534845,0.715842,0.609351
cs,2007,2008,50,0.530111,0.819683,0.64157
cs,2008,2009,50,0.530147,0.79104,0.631621
cs,2009,2010,50,0.530923,0.794702,0.632293
cs,2010,2011,50,0.530412,0.845298,0.648962
cs,2011,2012,50,0.534067,0.789725,0.633483
cs,2012,2013,50,0.536147,0.760378,0.624739
cs,2013,2014,50,0.53613,0.763972,0.62523
cs,2014,2015,50,0.533483,0.763012,0.62288
cs,2015,2016,50,0.531865,0.698191,0.597431
cs,2016,2017,50,0.52605,0.691462,0.591389
cs,2017,2018,50,0.526529,0.589229,0.550131
cs,2018,2019,50,0.533193,0.543851,0.533799
cs,2019,2020,50,0.539393,0.524998,0.528357
cs,2020,2021,50,0.541797,0.535294,0.534662
cs,2021,2022,50,0.543503,0.595747,0.565052
cs,2022,2023,50,0.5446,0.619742,0.573535
cs,2023,2024,50,0.546625,0.556713,0.547446
cs,2024,2025,50,0.548832,0.565109,0.551958
