subject,year_from,year_to,topic_id,ttc,tts,ttq
math,2000,2001,0,0.539082,0.657961,0.592619
math,2000,2001,1,0.55226,0.534871,0.543426
math,2000,2001,2,0.556158,0.552423,0.554284
math,2000,2001,3,0.533474,0.564494,0.548546
math,2000,2001,4,0.545511,0.247214,0.340238
math,2000,2001,5,0.561336,0.534254,0.54746
math,2000,2001,6,0.561745,0.424555,0.483609
math,2000,2001,7,0.5464,0.525003,0.535488
math,2000,2001,8,0.535187,0.680594,0.599195
math,2000,2001,9,0.539575,0.391956,0.454069
math,2000,2001,10,0.537004,0.723116,0.616317
math,2000,2001,11,0.540829,0.670752,0.598824
math,2000,2001,12,0.544774,0.517886,0.53099
math,2000,2001,13,0.547946,0.563126,0.555432
math,2000,2001,14,0.547899,0.342346,0.421392
math,2000,2001,15,0.539715,0.643977,0.587254
math,2000,2001,16,0.549796,0.316726,0.401916
math,2000,2001,17,0.543347,0.590564,0.565972
math,2000,2001,18,0.541662,0.56001,0.550683
math,2000,2001,19,0.548506,0.573912,0.560922
math,2000,2001,20,0.542322,0.643977,0.588794
math,2000,2001,21,0.543615,0.478752,0.509126
math,2000,2001,22,0.552073,0.401719,0.465045
math,2000,2001,23,0.543009,0.400339,0.460886
math,2000,2001,24,0.539634,0.473468,0.504391
math,2000,2001,25,0.539474,0.623416,0.578415
math,2000,2001,26,0.550783,0.659991,0.600462
math,2000,2001,27,0.537031,0.692336,0.604874
math,2000,2001,28,0.536746,0.609845,0.570965
math,2000,2001,29,0.545692,0.448969,0.492628
math,2000,2001,30,0.555359,0.541189,0.548183
math,2000,2001,31,0.542634,0.670752,0.599929
math,2000,2001,32,0.536989,0.579591,0.557477
math,2000,2001,33,0.547459,0.546715,0.547087
math,2000,2001,34,0.546568,0.413119,0.470565
math,2000,2001,35,0.538001,0.681928,0.601474
math,2000,2001,36,0.542853,0.568656,0.555455
math,2000,2001,37,0.532371,0.737561,0.618389
math,2000,2001,38,0.551533,0.309647,0.39662
math,2000,2001,39,0.547191,0.58609,0.565973
math,2000,2001,40,0.550642,0.583422,0.566558
math,2000,2001,41,0.544739,0.500339,0.521596
math,2000,2001,42,0.5427,0.576052,0.558879
math,2000,2001,43,0.549915,0.478157,0.511532
math,2000,2001,44,0.54867,0.411589,0.470345
math,2000,2001,45,0.545632,0.536986,0.541275
math,2000,2001,46,0.548721,0.731994,0.627244
math,2000,2001,47,0.533639,0.651372,0.586657
math,2000,2001,48,0.541172,0.601478,0.569734
math,2000,2001,49,0.549846,0.458138,0.49982
math,2001,2002,0,0.530972,0.781687,0.632386
math,2001,2002,1,0.549354,0.553819,0.551578
math,2001,2002,2,0.552126,0.380242,0.450341
math,2001,2002,3,0.539526,0.765505,0.63295
math,2001,2002,4,0.539429,0.534931,0.537171
math,2001,2002,5,0.552451,0.515845,0.533521
math,2001,2002,6,0.539121,0.399466,0.458903
math,2001,2002,7,0.549061,0.554811,0.551921
math,2001,2002,8,0.54663,0.586881,0.566041
math,2001,2002,9,0.531788,0.484435,0.507008
math,2001,2002,10,0.546146,0.42558,0.478383
math,2001,2002,11,0.543698,0.581874,0.562139
math,2001,2002,12,0.547104,0.454307,0.496406
math,2001,2002,13,0.545306,0.427661,0.479371
math,2001,2002,14,0.548578,0.509563,0.528351
math,2001,2002,15,0.537286,0.637494,0.583116
math,2001,2002,16,0.534973,0.566941,0.550493
math,2001,2002,17,0.547312,0.431194,0.482363
math,2001,2002,18,0.548488,0.476419,0.50992
math,2001,2002,19,0.53722,0.653819,0.589812
math,2001,2002,20,0.543052,0.667389,0.598835
math,2001,2002,21,0.550298,0.505723,0.52707
math,2001,2002,22,0.539179,0.477444,0.506437
math,2001,2002,23,0.543471,0.607399,0.573659
math,2001,2002,24,0.531582,0.690353,0.600653
math,2001,2002,25,0.53136,0.479372,0.504029
math,2001,2002,26,0.543224,0.589773,0.565542
math,2001,2002,27,0.551079,0.319406,0.404414
math,2001,2002,28,0.533076,0.567277,0.549645
math,2001,2002,29,0.554279,0.353131,0.431411
math,2001,2002,30,0.53844,0.514991,0.526454
math,2001,2002,31,0.535129,0.697945,0.605788
math,2001,2002,32,0.551105,0.493628,0.520785
math,2001,2002,33,0.540545,0.712389,0.614683
math,2001,2002,34,0.533676,0.736687,0.61896
math,2001,2002,35,0.550992,0.403328,0.465736
math,2001,2002,36,0.541193,0.485895,0.512055
math,2001,2002,37,0.538022,0.764758,0.63166
math,2001,2002,38,0.548411,0.416899,0.473697
math,2001,2002,39,0.543202,0.544773,0.543986
math,2001,2002,40,0.536815,0.653819,0.589568
math,2001,2002,41,0.549097,0.347601,0.42571
math,2001,2002,42,0.537363,0.507847,0.522188
math,2001,2002,43,0.549954,0.41437,0.47263
math,2001,2002,44,0.547919,0.564153,0.555917
math,2001,2002,45,0.541079,0.578498,0.559163
math,2001,2002,46,0.536743,0.525624,0.531125
math,2001,2002,47,0.531741,0.696372,0.603022
math,2001,2002,48,0.528148,0.827383,0.644737
math,2001,2002,49,0.533972,0.592689,0.561801
math,2002,2003,0,0.532413,0.759975,0.626159
math,2002,2003,1,0.524839,0.731432,0.611148
math,2002,2003,2,0.554576,0.477079,0.512917
math,2002,2003,3,0.537614,0.654845,0.590467
math,2002,2003,4,0.55215,0.362506,0.437667
math,2002,2003,5,0.542779,0.555227,0.548933
math,2002,2003,6,0.540125,0.582099,0.560327
math,2002,2003,7,0.540965,0.442991,0.4871
math,2002,2003,8,0.55147,0.393853,0.459521
math,2002,2003,9,0.522429,0.875967,0.654507
math,2002,2003,10,0.539185,0.737053,0.62278
math,2002,2003,11,0.540684,0.614991,0.575449
math,2002,2003,12,0.535443,0.729374,0.617541
math,2002,2003,13,0.531953,0.712389,0.609089
math,2002,2003,14,0.536985,0.679399,0.599855
math,2002,2003,15,0.530799,0.790974,0.63528
math,2002,2003,16,0.527918,0.844817,0.649789
math,2002,2003,17,0.544334,0.483814,0.512293
math,2002,2003,18,0.542584,0.627099,0.581788
math,2002,2003,19,0.53748,0.79053,0.639896
math,2002,2003,20,0.546574,0.348935,0.425945
math,2002,2003,21,0.525555,0.870437,0.655394
math,2002,2003,22,0.548505,0.60907,0.577203
math,2002,2003,23,0.535557,0.711941,0.611279
math,2002,2003,24,0.541092,0.708858,0.613717
math,2002,2003,25,0.553762,0.489046,0.519396
math,2002,2003,26,0.534727,0.751131,0.62472
math,2002,2003,27,0.535137,0.603811,0.567404
math,2002,2003,28,0.536423,0.51263,0.524257
math,2002,2003,29,0.550322,0.519153,0.534283
math,2002,2003,30,0.537476,0.759183,0.629375
math,2002,2003,31,0.529938,0.873012,0.659528
math,2002,2003,32,0.550182,0.340009,0.420285
math,2002,2003,33,0.529217,0.727719,0.612794
math,2002,2003,34,0.536501,0.507847,0.521781
math,2002,2003,35,0.528324,0.592689,0.558659
math,2002,2003,36,0.532444,0.736687,0.618131
math,2002,2003,37,0.532379,0.77788,0.63213
math,2002,2003,38,0.532218,0.780212,0.632785
math,2002,2003,39,0.540587,0.593553,0.565833
math,2002,2003,40,0.538136,0.643057,0.585937
math,2002,2003,41,0.536507,0.667389,0.594834
math,2002,2003,42,0.531717,0.840034,0.651227
math,2002,2003,43,0.545666,0.644257,0.590877
math,2002,2003,44,0.533443,0.654928,0.587976
math,2002,2003,45,0.542682,0.463958,0.500242
math,2002,2003,46,0.531506,0.502336,0.516509
math,2002,2003,47,0.530281,0.512502,0.52124
math,2002,2003,48,0.531472,0.922516,0.674409
math,2002,2003,49,0.521867,0.662779,0.583942
math,2003,2004,0,0.529915,0.643977,0.581405
math,2003,2004,1,0.524175,0.762779,0.621358
math,2003,2004,2,0.547038,0.622948,0.582531
math,2003,2004,3,0.526463,0.602336,0.561849
math,2003,2004,4,0.532746,0.651372,0.586117
math,2003,2004,5,0.537321,0.627227,0.578804
