subject,year_from,year_to,topic_id,ttc,tts,ttq
physics,2000,2001,0,0.387281,0.3,0.338098
physics,2000,2001,1,0.325873,0.3,0.312402
physics,2000,2001,2,0.397084,0.4,0.398537
physics,2000,2001,3,0.424033,0.2,0.271802
physics,2000,2001,4,0.454294,0.3,0.361366
physics,2000,2001,5,0.434727,0.5,0.465085
physics,2000,2001,6,0.396779,0.4,0.398383
physics,2000,2001,7,0.371773,0.2,0.260084
physics,2000,2001,8,0.482907,0.4,0.437561
physics,2000,2001,9,0.412604,0.4,0.406204
physics,2000,2001,10,0.400284,0.5,0.44462
physics,2000,2001,11,0.38318,0.3,0.336526
physics,2000,2001,12,0.489865,0.4,0.440395
physics,2000,2001,13,0.478246,0.4,0.435637
physics,2000,2001,14,0.459211,0.6,0.520249
physics,2000,2001,15,0.43417,0.4,0.416385
physics,2000,2001,16,0.393388,0.4,0.396666
physics,2000,2001,17,0.418081,0.4,0.408841
physics,2000,2001,18,0.412882,0.3,0.347504
physics,2000,2001,19,0.438977,0.3,0.35642
physics,2000,2001,20,0.464138,0.3,0.36444
physics,2000,2001,21,0.396356,0.3,0.341511
physics,2000,2001,22,0.456667,0.1,0.164072
physics,2000,2001,23,0.339752,0.3,0.318641
physics,2000,2001,24,0.439007,0.5,0.467523
physics,2000,2001,25,0.405482,0.2,0.267874
physics,2000,2001,26,0.469306,0.8,0.591575
physics,2000,2001,27,0.453218,0.3,0.361025
physics,2000,2001,28,0.489621,0.5,0.494756
physics,2000,2001,29,0.405569,0.6,0.483988
physics,2000,2001,30,0.371934,0.3,0.332117
physics,2000,2001,31,0.399383,0.4,0.399691
physics,2000,2001,32,0.48503,0.5,0.492401
physics,2000,2001,33,0.41003,0.5,0.450568
physics,2000,2001,34,0.433673,0.6,0.503455
physics,2000,2001,35,0.344541,0.4,0.370205
physics,2000,2001,36,0.382458,0.4,0.391032
physics,2000,2001,37,0.457999,0.3,0.362533
physics,2000,2001,38,0.424736,0.5,0.459305
physics,2000,2001,39,0.378122,0.5,0.430603
physics,2000,2001,40,0.417104,0.5,0.454805
physics,2000,2001,41,0.465505,0.2,0.279791
physics,2000,2001,42,0.39912,0.5,0.443901
physics,2000,2001,43,0.440789,0.4,0.419405
physics,2000,2001,44,0.367963,0.3,0.330524
physics,2000,2001,45,0.395035,0.4,0.397502
physics,2000,2001,46,0.363225,0.3,0.328599
physics,2000,2001,47,0.387915,0.5,0.436883
physics,2000,2001,48,0.430628,0.5,0.462728
physics,2000,2001,49,0.403525,0.4,0.401755
physics,2000,2001,50,0.360212,0.4,0.379065
physics,2000,2001,51,0.371387,0.7,0.485298
physics,2000,2001,52,0.389867,0.3,0.33908
physics,2000,2001,53,0.425907,0.4,0.412547
physics,2000,2001,54,0.427581,0.2,0.272526
physics,2000,2001,55,0.401022,0.5,0.445075
physics,2000,2001,56,0.472861,0.3,0.367099
physics,2000,2001,57,0.282431,0.3,0.290951
physics,2000,2001,58,0.339447,0.5,0.40437
physics,2000,2001,59,0.394841,0.3,0.340948
physics,2001,2002,0,0.384589,0.2,0.263152
physics,2001,2002,1,0.335476,0.5,0.401539
physics,2001,2002,2,0.447298,0.4,0.422329
physics,2001,2002,3,0.296823,0.2,0.238977
physics,2001,2002,4,0.431674,0.3,0.353989
physics,2001,2002,5,0.41878,0.7,0.524046
physics,2001,2002,6,0.324039,0.5,0.393233
physics,2001,2002,7,0.422113,0.3,0.350732
physics,2001,2002,8,0.335206,0.3,0.316627
physics,2001,2002,9,0.383439,0.1,0.15863
physics,2001,2002,10,0.325423,0.3,0.312195
physics,2001,2002,11,0.291214,0.5,0.368059
physics,2001,2002,12,0.468945,0.3,0.365913
physics,2001,2002,13,0.348448,0.4,0.372449
physics,2001,2002,14,0.468605,0.4,0.431593
physics,2001,2002,15,0.371193,0.3,0.331821
physics,2001,2002,16,0.402692,0.4,0.401342
physics,2001,2002,17,0.333312,0.4,0.363624
physics,2001,2002,18,0.304803,0.2,0.241522
physics,2001,2002,19,0.385755,0.3,0.337516
physics,2001,2002,20,0.28757,0.1,0.148396
physics,2001,2002,21,0.320077,0.3,0.309714
physics,2001,2002,22,0.344697,0.2,0.253129
physics,2001,2002,23,0.335526,0.5,0.401575
physics,2001,2002,24,0.400719,0.2,0.266826
physics,2001,2002,25,0.380228,0.2,0.262123
physics,2001,2002,26,0.410336,0.5,0.450752
physics,2001,2002,27,0.329598,0.4,0.361402
physics,2001,2002,28,0.396903,0.4,0.398446
physics,2001,2002,29,0.420618,0.3,0.350214
physics,2001,2002,30,0.410792,0.3,0.346761
physics,2001,2002,31,0.416414,0.3,0.348749
physics,2001,2002,32,0.366651,0.6,0.455161
physics,2001,2002,33,0.36449,0.2,0.258279
physics,2001,2002,34,0.370421,0.5,0.425565
physics,2001,2002,35,0.359064,0.5,0.417971
physics,2001,2002,36,0.3131,0.3,0.30641
physics,2001,2002,37,0.32422,0.3,0.31164
physics,2001,2002,38,0.330484,0.4,0.361934
physics,2001,2002,39,0.372068,0.1,0.157633
physics,2001,2002,40,0.466584,0.7,0.559941
physics,2001,2002,41,0.27983,0.2,0.233274
physics,2001,2002,42,0.38763,0.5,0.436702
physics,2001,2002,43,0.401414,0.6,0.481017
physics,2001,2002,44,0.428385,0.5,0.46143
physics,2001,2002,45,0.326299,0.3,0.312597
physics,2001,2002,46,0.269985,0.1,0.145944
physics,2001,2002,47,0.402856,0.7,0.511398
