subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
physics,2000,2001,60,0.53399,0.681692,0.593632
physics,2001,2002,60,0.532029,0.699143,0.597599
physics,2002,2003,60,0.532741,0.673351,0.589789
physics,2003,2004,60,0.533076,0.700789,0.599484
physics,2004,2005,60,0.531709,0.695634,0.594947
physics,2005,2006,60,0.531532,0.638563,0.573481
physics,2006,2007,60,0.525806,0.696153,0.593218
physics,2007,2008,60,0.527234,0.678232,0.586419
physics,2008,2009,60,0.52596,0.748894,0.613719
physics,2009,2010,60,0.526843,0.65433,0.575098
physics,2010,2011,60,0.527407,0.654285,0.576326
physics,2011,2012,60,0.530669,0.591603,0.547522
physics,2012,2013,60,0.53395,0.495585,0.50021
physics,2013,2014,60,0.532733,0.506141,0.507991
physics,2014,2015,60,0.529648,0.506564,0.50694
physics,2015,2016,60,0.529439,0.514245,0.509264
physics,2016,2017,60,0.531025,0.463857,0.484148
physics,2017,2018,60,0.534606,0.396413,0.445833
physics,2018,2019,60,0.535707,0.388721,0.437159
physics,2019,2020,60,0.540242,0.342993,0.406106
physics,2020,2021,60,0.539366,0.362371,0.423252
physics,2021,2022,60,0.538695,0.41491,0.459977
physics,2022,2023,60,0.538066,0.372241,0.430982
physics,2023,2024,60,0.539095,0.328338,0.400267
physics,2024,2025,60,0.547157,0.220317,0.301901
