subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
cs,2000,488,50,49,0.406017,0.672654,0.506381
cs,2001,594,50,50,0.309408,0.806736,0.447273
cs,2002,648,50,50,0.391028,0.748494,0.513692
cs,2003,825,50,50,0.286691,0.784586,0.419935
cs,2004,948,50,50,0.315972,0.79812,0.452716
cs,2005,1000,50,50,0.322526,0.723,0.446065
cs,2006,1000,50,50,0.380453,0.787479,0.513042
cs,2007,1000,50,50,0.385899,0.788526,0.518197
cs,2008,1000,50,50,0.338677,0.787436,0.47364
cs,2009,1000,50,49,0.32755,0.816575,0.467553
cs,2010,1362,50,50,0.291205,0.855607,0.434521
cs,2011,1622,50,50,0.290651,0.896597,0.438993
cs,2012,2254,50,50,0.281112,0.927327,0.431438
cs,2013,2719,50,50,0.273321,0.928148,0.422287
cs,2014,2989,50,50,0.30522,0.92656,0.45918
cs,2015,3345,50,50,0.296588,0.938414,0.450724
cs,2016,4280,50,50,0.305977,0.957757,0.463787
cs,2017,5534,50,50,0.296948,0.97341,0.455072
cs,2018,7470,50,50,0.292935,0.966627,0.449614
cs,2019,9549,50,50,0.309155,0.979129,0.469932
cs,2020,12352,50,50,0.305822,0.980919,0.466273
cs,2021,14096,50,50,0.312532,0.985189,0.474529
cs,2022,14993,50,50,0.31764,0.986772,0.480582
cs,2023,17825,50,50,0.319315,0.984994,0.482284
cs,2024,23529,50,50,0.323135,0.98583,0.48673
cs,2025,33334,50,50,0.329618,0.986349,0.494113
