subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
math,2000,1000,50,50,0.448057,0.542067,0.490599
math,2001,1000,50,50,0.42975,0.559449,0.486097
math,2002,1094,50,50,0.430565,0.558245,0.486162
math,2003,1335,50,50,0.415192,0.622386,0.498102
math,2004,1611,50,50,0.413926,0.565252,0.477896
math,2005,1922,50,50,0.414691,0.658232,0.508821
math,2006,2345,50,50,0.4021,0.688871,0.507795
math,2007,2817,50,50,0.399464,0.683383,0.504203
math,2008,3098,50,50,0.395585,0.703374,0.506377
math,2009,3473,50,50,0.385273,0.740289,0.506792
math,2010,3973,50,50,0.386997,0.759359,0.512703
math,2011,4648,50,50,0.387728,0.807523,0.523905
math,2012,5295,50,50,0.381734,0.819165,0.520782
math,2013,6007,50,50,0.376791,0.844043,0.521001
math,2014,6481,50,50,0.372808,0.85628,0.519455
math,2015,7184,50,50,0.368411,0.886335,0.52048
math,2016,7650,50,50,0.353941,0.893884,0.507094
math,2017,8024,50,50,0.360328,0.905962,0.51559
math,2018,8503,50,50,0.361482,0.918012,0.518712
math,2019,9062,50,50,0.364577,0.922453,0.522607
math,2020,9990,50,50,0.381246,0.931812,0.541102
math,2021,10180,50,50,0.366313,0.939492,0.527105
math,2022,10164,50,50,0.364745,0.949183,0.526984
math,2023,10801,50,50,0.360226,0.964533,0.524548
math,2024,12863,50,50,0.366604,0.970738,0.532214
math,2025,16564,50,50,0.367285,0.975755,0.533685
