subject,year,topic_id,doc_count,total_docs_year,proportion,top_words
math,2000,0,46,1000,0.046,"algorithm, particular, positive, geometry, algebra"
math,2000,1,49,1000,0.049,"formula, mathbb, finite, variety, quadratic"
math,2000,2,53,1000,0.053,"map, sum, manifold, finite, form"
math,2000,3,35,1000,0.035,"structure, inequality, point, integer, manifold"
math,2000,4,36,1000,0.036,"property, algebra, mathbb_mathbb, scheme, surface"
math,2000,5,37,1000,0.037,"algebra, mathcal_mathcal, group, mathbb_mathbb, conjecture"
math,2000,6,38,1000,0.038,"theorem, operator, invariant, set, real"
math,2000,7,24,1000,0.024,"domain, optimization, constant, theory, representation"
math,2000,8,31,1000,0.031,"finite, field, point, theorem, class"
math,2000,9,31,1000,0.031,"condition, mathcal, boundary, property, proof"
math,2000,10,19,1000,0.019,"invariant, sum, level, algorithm, type"
math,2000,11,31,1000,0.031,"setting, theoretical, function, manifold, finite"
math,2000,12,24,1000,0.024,"non, form, space, function, explicit"
math,2000,13,24,1000,0.024,"dimension, proof, stochastic, convex, mathcal_mathcal"
math,2000,14,30,1000,0.03,"non, function, symmetric, differential, surface"
math,2000,15,28,1000,0.028,"space, measure, set, order, group"
math,2000,16,27,1000,0.027,"function, group, linear, stochastic, non"
math,2000,17,22,1000,0.022,"theory, term, global, stable, random"
math,2000,18,20,1000,0.02,"graph, operator, particular, local, representation"
math,2000,19,21,1000,0.021,"point, theory, dimensional, property, infty"
math,2000,20,12,1000,0.012,"function, numerical, set, class, type"
math,2000,21,19,1000,0.019,"group, graph, dimension, manifold, matrix"
math,2000,22,19,1000,0.019,"set, classical, flow, space, algorithm"
math,2000,23,21,1000,0.021,"group, matrix, set, type, measure"
math,2000,24,9,1000,0.009,"structure, type, variable, field, datum"
math,2000,25,19,1000,0.019,"space, datum, point, manifold, field"
math,2000,26,17,1000,0.017,"polynomial, theory, algebra, subset, group"
math,2000,27,15,1000,0.015,"local, function, bound, point, certain"
math,2000,28,12,1000,0.012,"non, convergence, mathcal, spectral, right"
math,2000,29,20,1000,0.02,"linear, graph, metric, theory, group"
math,2000,30,18,1000,0.018,"function, dimensional, class, theory, distribution"
math,2000,31,13,1000,0.013,"space, term, stability, order, estimate"
math,2000,32,13,1000,0.013,"type, probability, conjecture, structure, arbitrary"
math,2000,33,16,1000,0.016,"space, distribution, frac, function, theorem"
math,2000,34,14,1000,0.014,"space, control, mathbb_mathbb, function, type"
math,2000,35,7,1000,0.007,"condition, family, finite, structure, form"
math,2000,36,13,1000,0.013,"discrete, theory, continuous, potential, distribution"
math,2000,37,13,1000,0.013,"group, type, order, set, random"
math,2000,38,9,1000,0.009,"group, category, representation, graph, error"
math,2000,39,12,1000,0.012,"algebra, finite, limit, family, set"
math,2000,40,7,1000,0.007,"class, dimensional, algorithm, mathbb, density"
math,2000,41,11,1000,0.011,"proof, constraint, graph, theory, class"
math,2000,42,10,1000,0.01,"function, condition, term, graph, algebra"
math,2000,43,10,1000,0.01,"order, mathbb, group, matrix, degree"
math,2000,44,6,1000,0.006,"polynomial, theorem, matrix, property, partial"
math,2000,45,15,1000,0.015,"class, certain, algorithm, respect, particular"
math,2000,46,6,1000,0.006,"point, convergence, energy, network, algebra"
math,2000,47,4,1000,0.004,"operator, mathbb_mathbb, approximation, boundary, function"
math,2000,48,7,1000,0.007,"measure, theory, optimal, optimization, function"
math,2000,49,7,1000,0.007,"property, numerical, matrix, non, dimensional"
math,2001,0,44,1000,0.044,"algorithm, particular, positive, geometry, algebra"
math,2001,1,40,1000,0.04,"formula, mathbb, finite, variety, quadratic"
math,2001,2,38,1000,0.038,"map, sum, manifold, finite, form"
math,2001,3,38,1000,0.038,"structure, inequality, point, integer, manifold"
math,2001,4,52,1000,0.052,"property, algebra, mathbb_mathbb, scheme, surface"
math,2001,5,39,1000,0.039,"algebra, mathcal_mathcal, group, mathbb_mathbb, conjecture"
math,2001,6,33,1000,0.033,"theorem, operator, invariant, set, real"
math,2001,7,33,1000,0.033,"domain, optimization, constant, theory, representation"
math,2001,8,33,1000,0.033,"finite, field, point, theorem, class"
math,2001,9,35,1000,0.035,"condition, mathcal, boundary, property, proof"
math,2001,10,37,1000,0.037,"invariant, sum, level, algorithm, type"
math,2001,11,23,1000,0.023,"setting, theoretical, function, manifold, finite"
math,2001,12,33,1000,0.033,"non, form, space, function, explicit"
math,2001,13,29,1000,0.029,"dimension, proof, stochastic, convex, mathcal_mathcal"
math,2001,14,30,1000,0.03,"non, function, symmetric, differential, surface"
math,2001,15,29,1000,0.029,"space, measure, set, order, group"
math,2001,16,19,1000,0.019,"function, group, linear, stochastic, non"
math,2001,17,17,1000,0.017,"theory, term, global, stable, random"
math,2001,18,15,1000,0.015,"graph, operator, particular, local, representation"
math,2001,19,22,1000,0.022,"point, theory, dimensional, property, infty"
math,2001,20,24,1000,0.024,"function, numerical, set, class, type"
math,2001,21,19,1000,0.019,"group, graph, dimension, manifold, matrix"
math,2001,22,18,1000,0.018,"set, classical, flow, space, algorithm"
math,2001,23,13,1000,0.013,"group, matrix, set, type, measure"
math,2001,24,15,1000,0.015,"structure, type, variable, field, datum"
math,2001,25,14,1000,0.014,"space, datum, point, manifold, field"
math,2001,26,21,1000,0.021,"polynomial, theory, algebra, subset, group"
math,2001,27,16,1000,0.016,"local, function, bound, point, certain"
math,2001,28,11,1000,0.011,"non, convergence, mathcal, spectral, right"
math,2001,29,6,1000,0.006,"linear, graph, metric, theory, group"
math,2001,30,10,1000,0.01,"function, dimensional, class, theory, distribution"
math,2001,31,15,1000,0.015,"space, term, stability, order, estimate"
math,2001,32,11,1000,0.011,"type, probability, conjecture, structure, arbitrary"
math,2001,33,12,1000,0.012,"space, distribution, frac, function, theorem"
math,2001,34,6,1000,0.006,"space, control, mathbb_mathbb, function, type"
math,2001,35,14,1000,0.014,"condition, family, finite, structure, form"
math,2001,36,12,1000,0.012,"discrete, theory, continuous, potential, distribution"
math,2001,37,9,1000,0.009,"group, type, order, set, random"
math,2001,38,7,1000,0.007,"group, category, representation, graph, error"
math,2001,39,11,1000,0.011,"algebra, finite, limit, family, set"
math,2001,40,13,1000,0.013,"class, dimensional, algorithm, mathbb, density"
math,2001,41,7,1000,0.007,"proof, constraint, graph, theory, class"
math,2001,42,10,1000,0.01,"function, condition, term, graph, algebra"
math,2001,43,9,1000,0.009,"order, mathbb, group, matrix, degree"
math,2001,44,10,1000,0.01,"polynomial, theorem, matrix, property, partial"
math,2001,45,12,1000,0.012,"class, certain, algorithm, respect, particular"
math,2001,46,9,1000,0.009,"point, convergence, energy, network, algebra"
math,2001,47,9,1000,0.009,"operator, mathbb_mathbb, approximation, boundary, function"
math,2001,48,11,1000,0.011,"measure, theory, optimal, optimization, function"
math,2001,49,7,1000,0.007,"property, numerical, matrix, non, dimensional"
math,2002,0,69,1094,0.063071,"algorithm, particular, positive, geometry, algebra"
math,2002,1,45,1094,0.041133,"formula, mathbb, finite, variety, quadratic"
math,2002,2,46,1094,0.042048,"map, sum, manifold, finite, form"
math,2002,3,46,1094,0.042048,"structure, inequality, point, integer, manifold"
math,2002,4,35,1094,0.031993,"property, algebra, mathbb_mathbb, scheme, surface"
math,2002,5,50,1094,0.045704,"algebra, mathcal_mathcal, group, mathbb_mathbb, conjecture"
math,2002,6,38,1094,0.034735,"theorem, operator, invariant, set, real"
math,2002,7,44,1094,0.040219,"domain, optimization, constant, theory, representation"
math,2002,8,30,1094,0.027422,"finite, field, point, theorem, class"
math,2002,9,43,1094,0.039305,"condition, mathcal, boundary, property, proof"
math,2002,10,30,1094,0.027422,"invariant, sum, level, algorithm, type"
math,2002,11,29,1094,0.026508,"setting, theoretical, function, manifold, finite"
math,2002,12,34,1094,0.031079,"non, form, space, function, explicit"
math,2002,13,26,1094,0.023766,"dimension, proof, stochastic, convex, mathcal_mathcal"
math,2002,14,23,1094,0.021024,"non, function, symmetric, differential, surface"
math,2002,15,24,1094,0.021938,"space, measure, set, order, group"
math,2002,16,33,1094,0.030165,"function, group, linear, stochastic, non"
math,2002,17,17,1094,0.015539,"theory, term, global, stable, random"
math,2002,18,16,1094,0.014625,"graph, operator, particular, local, representation"
math,2002,19,22,1094,0.02011,"point, theory, dimensional, property, infty"
math,2002,20,25,1094,0.022852,"function, numerical, set, class, type"
math,2002,21,20,1094,0.018282,"group, graph, dimension, manifold, matrix"
math,2002,22,24,1094,0.021938,"set, classical, flow, space, algorithm"
math,2002,23,16,1094,0.014625,"group, matrix, set, type, measure"
math,2002,24,19,1094,0.017367,"structure, type, variable, field, datum"
math,2002,25,12,1094,0.010969,"space, datum, point, manifold, field"
math,2002,26,6,1094,0.005484,"polynomial, theory, algebra, subset, group"
math,2002,27,15,1094,0.013711,"local, function, bound, point, certain"
math,2002,28,14,1094,0.012797,"non, convergence, mathcal, spectral, right"
math,2002,29,11,1094,0.010055,"linear, graph, metric, theory, group"
math,2002,30,12,1094,0.010969,"function, dimensional, class, theory, distribution"
math,2002,31,7,1094,0.006399,"space, term, stability, order, estimate"
math,2002,32,19,1094,0.017367,"type, probability, conjecture, structure, arbitrary"
math,2002,33,14,1094,0.012797,"space, distribution, frac, function, theorem"
math,2002,34,16,1094,0.014625,"space, control, mathbb_mathbb, function, type"
math,2002,35,10,1094,0.009141,"condition, family, finite, structure, form"
math,2002,36,9,1094,0.008227,"discrete, theory, continuous, potential, distribution"
math,2002,37,15,1094,0.013711,"group, type, order, set, random"
math,2002,38,13,1094,0.011883,"group, category, representation, graph, error"
math,2002,39,13,1094,0.011883,"algebra, finite, limit, family, set"
math,2002,40,12,1094,0.010969,"class, dimensional, algorithm, mathbb, density"
math,2002,41,7,1094,0.006399,"proof, constraint, graph, theory, class"
