subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
physics,2000,1000,60,60,0.412371,0.710827,0.521946
physics,2001,1000,60,60,0.39785,0.831362,0.538162
physics,2002,1000,60,60,0.400636,0.813079,0.536779
physics,2003,1025,60,60,0.397234,0.805165,0.532001
physics,2004,1276,60,60,0.433106,0.797355,0.561317
physics,2005,1612,60,60,0.387431,0.798635,0.521752
physics,2006,1895,60,60,0.373013,0.76054,0.500535
physics,2007,2125,60,60,0.364091,0.800741,0.500575
physics,2008,2341,60,60,0.385099,0.837567,0.527611
physics,2009,2747,60,60,0.367559,0.869158,0.516637
physics,2010,3558,60,60,0.366797,0.880378,0.517842
physics,2011,4188,60,60,0.375315,0.890453,0.528059
physics,2012,5042,60,60,0.374391,0.900017,0.528808
physics,2013,5515,60,60,0.361554,0.90916,0.517363
physics,2014,5695,60,60,0.370085,0.917126,0.527364
physics,2015,6110,60,60,0.358037,0.935954,0.517942
physics,2016,6725,60,60,0.363763,0.956074,0.527012
physics,2017,7159,60,60,0.359302,0.959857,0.522877
physics,2018,8224,60,60,0.353571,0.967032,0.517816
physics,2019,9270,60,60,0.350817,0.971246,0.515452
physics,2020,10911,60,60,0.361451,0.974031,0.527248
physics,2021,10434,60,60,0.350649,0.976329,0.515982
physics,2022,10195,60,60,0.350383,0.97975,0.516171
physics,2023,10742,60,60,0.348483,0.982902,0.514539
physics,2024,11851,60,60,0.351958,0.986838,0.518862
physics,2025,14671,60,60,0.356278,0.989075,0.523856
