subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,image,emerging,17,19,2009,26,73.1,74,3.89,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 10, 15, 1, 1, 1, 1, 2, 2, 4, 5, 7, 5, 6, 4, 3, 2]",····█·█··█████████████████
cs,dataset,emerging,13,13,2013,26,50.0,34,2.62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 4, 6, 6, 4, 4, 3]",·············█████████████
cs,training,emerging,12,12,2014,26,46.2,20,1.67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 3, 2, 4, 2, 1, 1]",··············████████████
cs,deep,emerging,11,11,2015,26,42.3,17,1.55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1]",···············███████████
cs,video,emerging,11,11,2015,26,42.3,17,1.55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1]",···············███████████
cs,learning,emerging,12,14,2014,26,53.8,18,1.29,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2]",··█·········█·████████████
cs,llm,emerging,3,3,2023,26,11.5,4,1.33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1]",·······················███
cs,human,emerging,11,11,2015,26,42.3,16,1.45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2]",···············███████████
cs,datum,emerging,26,26,2000,26,100.0,430,16.54,"[21, 30, 30, 45, 43, 39, 23, 27, 28, 37, 4, 2, 1, 2, 2, 1, 1, 4, 7, 10, 14, 14, 14, 13, 11, 7]",██████████████████████████
cs,deep_learning,emerging,10,10,2016,26,38.5,18,1.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 2, 1, 1]",················██████████
cs,detection,emerging,12,12,2014,26,46.2,17,1.42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1]",··············████████████
cs,prediction,emerging,11,11,2015,26,42.3,13,1.18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]",···············███████████
cs,visual,emerging,10,10,2016,26,38.5,18,1.8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 1, 2, 2, 2, 2, 1, 1]",················██████████
cs,neural_network,emerging,11,11,2015,26,42.3,22,2.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 4, 3, 3, 3]",···············███████████
cs,multi,emerging,18,19,2008,26,73.1,57,3.0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 3, 3, 6, 8, 1, 1, 1, 3, 3, 4, 5, 4, 4, 3, 3]",····█···██████████████████
cs,accuracy,emerging,11,12,2015,26,46.2,20,1.67,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 4, 4, 2, 1, 1, 1]",█··············███████████
cs,benchmark,emerging,9,9,2017,26,34.6,11,1.22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3]",·················█████████
cs,quality,emerging,11,11,2015,26,42.3,13,1.18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",···············███████████
cs,attention,emerging,9,9,2017,26,34.6,13,1.44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 2, 2, 1, 1]",·················█████████
cs,transformer,emerging,7,7,2019,26,26.9,9,1.29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1]",···················███████
cs,network,stable,26,26,2000,26,100.0,362,13.92,"[2, 24, 28, 29, 44, 42, 47, 44, 1, 1, 1, 2, 3, 4, 4, 6, 7, 9, 13, 12, 14, 11, 7, 3, 2, 2]",██████████████████████████
cs,graph,stable,26,26,2000,26,100.0,270,10.38,"[3, 9, 12, 12, 26, 12, 21, 21, 37, 31, 39, 1, 1, 2, 4, 5, 6, 6, 7, 4, 2, 1, 2, 4, 1, 1]",██████████████████████████
cs,design,stable,17,23,2009,26,88.5,106,4.61,"[0, 1, 4, 1, 2, 0, 2, 24, 0, 3, 3, 8, 5, 9, 7, 9, 9, 3, 3, 2, 2, 1, 1, 2, 3, 2]",·████·██·█████████████████
cs,knowledge,stable,11,19,2015,26,73.1,35,1.84,"[5, 5, 2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1]",███·█·█··█·██··███████████
cs,space,stable,24,25,2002,26,96.2,97,3.88,"[1, 0, 3, 1, 2, 4, 3, 6, 4, 4, 6, 8, 10, 9, 11, 1, 1, 1, 2, 2, 4, 4, 4, 3, 2, 1]",█·████████████████████████
cs,distribution,stable,25,25,2001,26,96.2,103,4.12,"[0, 2, 1, 3, 2, 6, 2, 3, 6, 6, 7, 10, 11, 11, 13, 2, 1, 1, 2, 2, 3, 2, 2, 3, 1, 1]",·█████████████████████████
cs,communication,stable,22,24,2004,26,92.3,124,5.17,"[0, 2, 1, 0, 1, 2, 7, 2, 2, 7, 10, 11, 6, 6, 19, 20, 14, 1, 1, 2, 2, 3, 2, 1, 1, 1]",·██·██████████████████████
cs,control,stable,11,17,2015,26,65.4,43,2.53,"[0, 5, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 0, 2, 2, 8, 4, 4, 3, 3, 2, 1, 1, 1]",·█·····███··██·███████████
cs,rate,stable,21,21,2005,26,80.8,210,10.0,"[0, 0, 0, 0, 0, 7, 11, 29, 28, 21, 9, 14, 14, 10, 19, 19, 10, 1, 1, 4, 5, 4, 1, 1, 1, 1]",·····█████████████████████
cs,language,stable,20,25,2006,26,96.2,184,7.36,"[32, 26, 13, 29, 17, 0, 5, 1, 8, 9, 2, 5, 8, 1, 5, 4, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3]",█████·████████████████████
