word,category,slope,r_squared,early_avg,late_avg,overall_avg,first_year,n_present
mathbb_mathbb,emerging,0.00060521,0.8881,0.005234,0.015191,0.010008,2000,26
mathbb,emerging,0.00050466,0.888,0.002771,0.011138,0.006743,2000,26
graph,emerging,0.00048976,0.8655,0.012738,0.020319,0.016788,2000,26
optimization,emerging,0.00040128,0.9172,0.001192,0.007301,0.00412,2000,25
mathcal_mathcal,emerging,0.00036853,0.8975,0.002947,0.008922,0.005857,2000,26
algorithm,emerging,0.00036392,0.9311,0.007431,0.013042,0.01032,2000,26
mathcal,emerging,0.00034727,0.918,0.001696,0.007249,0.004351,2000,25
numerical,emerging,0.00033595,0.9473,0.004083,0.009358,0.006699,2000,26
stochastic,emerging,0.00027341,0.8837,0.004167,0.008193,0.006291,2000,26
network,emerging,0.00027221,0.9414,0.002024,0.00634,0.004201,2000,26
optimal,emerging,0.00026805,0.9449,0.003307,0.007391,0.005324,2000,26
convergence,emerging,0.00026266,0.9383,0.004288,0.008306,0.006339,2000,26
datum,emerging,0.00025706,0.8601,0.004022,0.007913,0.005814,2000,26
control,emerging,0.00024792,0.9239,0.002326,0.006218,0.004233,2000,26
frac,emerging,0.00024592,0.8974,0.002371,0.006323,0.004339,2000,26
approximation,emerging,0.00021909,0.8817,0.00459,0.007966,0.006361,2000,26
error,emerging,0.00021759,0.916,0.002806,0.005934,0.004399,2000,26
gradient,emerging,0.0002126,0.9214,0.0017,0.004963,0.003313,2000,26
mathrm,emerging,0.0002106,0.8662,0.000472,0.003818,0.001998,2002,24
dynamic,emerging,0.00019438,0.9134,0.003885,0.006826,0.005356,2000,26
function,stable,-3.966e-05,0.0697,0.022776,0.022562,0.022672,2000,26
property,stable,9.94e-06,0.0147,0.012559,0.012756,0.012703,2000,26
set,stable,-2.465e-05,0.0696,0.013927,0.013717,0.013929,2000,26
non,stable,-2.203e-05,0.0667,0.013396,0.013228,0.013214,2000,26
matrix,stable,-3.032e-05,0.0566,0.012019,0.012002,0.012102,2000,26
local,stable,-3.67e-06,0.0008,0.009048,0.009169,0.00907,2000,26
measure,stable,-6.51e-06,0.0087,0.009016,0.008924,0.009052,2000,26
boundary,stable,7.44e-06,0.0039,0.00867,0.009075,0.008767,2000,26
term,stable,-3.062e-05,0.1289,0.010139,0.009784,0.009895,2000,26
type,stable,-8.639e-05,0.4654,0.014662,0.013523,0.01407,2000,26
limit,stable,1.37e-06,0.0007,0.006912,0.006864,0.006889,2000,26
point,stable,-9.903e-05,0.4527,0.014152,0.012852,0.013502,2000,26
coefficient,stable,-2.49e-06,0.0014,0.006944,0.006764,0.006859,2000,26
space,stable,-0.00024881,0.7151,0.024431,0.020992,0.022689,2000,26
sum,stable,3.289e-05,0.0745,0.008241,0.008715,0.008443,2000,26
degree,stable,-1.27e-05,0.0275,0.007191,0.006955,0.0071,2000,26
rank,stable,1.47e-06,0.0002,0.006195,0.006164,0.00614,2000,26
condition,stable,6.848e-05,0.509,0.009619,0.010563,0.010166,2000,26
positive,stable,-1.276e-05,0.0356,0.006816,0.006619,0.00677,2000,26
constant,stable,-7.03e-06,0.0108,0.006513,0.006232,0.006371,2000,26
group,decaying,-0.00066989,0.9414,0.032508,0.021972,0.027091,2000,26
algebra,decaying,-0.00063953,0.8808,0.020863,0.01146,0.015899,2000,26
manifold,decaying,-0.00054554,0.7828,0.017156,0.009113,0.012778,2000,26
quantum,decaying,-0.00038556,0.6156,0.011481,0.006063,0.008383,2000,26
invariant,decaying,-0.00037082,0.7381,0.01387,0.008352,0.010903,2000,26
theory,decaying,-0.00034542,0.7326,0.018486,0.013361,0.015662,2000,26
cohomology,decaying,-0.00029876,0.7927,0.008496,0.003947,0.006052,2000,26
representation,decaying,-0.0002985,0.8234,0.013223,0.008719,0.010822,2000,26
structure,decaying,-0.00028878,0.7919,0.015332,0.01101,0.0129,2000,26
curve,decaying,-0.00028287,0.6547,0.011257,0.007252,0.009132,2000,26
algebraic,decaying,-0.00026912,0.7739,0.010664,0.006543,0.008338,2000,26
module,decaying,-0.00026716,0.8517,0.010425,0.006284,0.008202,2000,26
surface,decaying,-0.00026602,0.7964,0.013181,0.009166,0.011021,2000,26
geometry,decaying,-0.00024763,0.7535,0.008921,0.005195,0.00681,2000,26
theorem,decaying,-0.00024469,0.8725,0.015658,0.01199,0.013769,2000,26
symplectic,decaying,-0.0002324,0.7733,0.006545,0.003181,0.004709,2000,26
algebras,decaying,-0.00023001,0.8233,0.007257,0.003899,0.005444,2000,26
action,decaying,-0.00022418,0.6966,0.008745,0.00551,0.006997,2000,26
deformation,decaying,-0.00022213,0.7261,0.005941,0.002696,0.004156,2000,26
projective,decaying,-0.00021749,0.8179,0.007562,0.00442,0.005871,2000,26
