subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,mathbb_mathbb,emerging,15,15,2011,26,57.7,50,3.33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 2, 2, 2, 4, 6, 5, 5, 6, 7, 3, 2]",···········███████████████
math,mathbb,emerging,13,13,2013,26,50.0,40,3.08,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 4, 4, 3, 2, 1, 3, 3, 3, 2, 2, 2]",·············█████████████
math,graph,emerging,24,24,2002,26,92.3,117,4.88,"[0, 0, 1, 2, 6, 4, 18, 29, 16, 1, 1, 2, 2, 2, 2, 3, 4, 4, 4, 2, 2, 3, 3, 2, 2, 2]",··████████████████████████
math,optimization,emerging,9,9,2017,26,34.6,16,1.78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 2, 3, 3, 1, 1]",·················█████████
math,mathcal_mathcal,emerging,12,12,2014,26,46.2,32,2.67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 2, 2, 1, 1, 2, 2, 3, 3, 3, 2]",··············████████████
math,algorithm,emerging,20,20,2006,26,76.9,55,2.75,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 4, 1, 1, 3, 3, 4, 3, 3, 3, 3, 5, 4, 4, 5, 2, 2]",······████████████████████
math,mathcal,emerging,12,12,2014,26,46.2,42,3.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 11, 1, 2, 3, 4, 6, 2, 3, 2, 2]",··············████████████
math,numerical,emerging,14,15,2012,26,57.7,46,3.07,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 8, 5, 1, 4, 3, 2, 2, 2, 2, 4, 4, 4, 3]",··········█·██████████████
math,stochastic,emerging,15,15,2011,26,57.7,26,1.73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3, 2, 3, 1, 1, 2, 2, 4, 1, 1, 1, 1]",···········███████████████
math,network,emerging,10,10,2016,26,38.5,66,6.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 10, 8, 17, 14, 4, 3, 2]",················██████████
math,optimal,emerging,11,11,2015,26,42.3,62,5.64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 10, 10, 7, 6, 5, 3, 2, 1, 1]",···············███████████
math,convergence,emerging,15,15,2011,26,57.7,51,3.4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 7, 9, 10, 3, 5, 4, 2, 2, 1, 1, 1]",···········███████████████
math,datum,emerging,11,12,2015,26,46.2,35,2.92,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 6, 9, 1, 3, 3, 2, 1, 2, 2, 2]",············█··███████████
math,control,emerging,9,9,2017,26,34.6,22,2.44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 8, 3, 1, 1, 1, 1]",·················█████████
math,frac,emerging,11,11,2015,26,42.3,47,4.27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7, 11, 10, 9, 2, 1, 1, 1, 1]",···············███████████
math,approximation,emerging,14,14,2012,26,53.8,86,6.14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 5, 13, 14, 15, 9, 8, 5, 3, 2, 2, 2]",············██████████████
math,error,emerging,8,8,2018,26,30.8,35,4.38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 10, 8, 3, 3, 2]",··················████████
math,gradient,emerging,5,5,2021,26,19.2,13,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 2, 2]",·····················█████
math,mathrm,emerging,4,4,2022,26,15.4,12,3.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 2, 2]",······················████
math,dynamic,emerging,11,11,2015,26,42.3,35,3.18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 7, 4, 4, 6, 3, 2, 2, 2]",···············███████████
