subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,material,emerging,12,15,2014,26,57.7,43,2.87,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 4, 1, 1, 1, 3, 5, 6, 4, 4, 5, 2, 3]",·········██·█·████████████
physics,device,emerging,11,11,2015,26,42.3,29,2.64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 7, 5, 1, 1]",···············███████████
physics,network,emerging,21,22,2005,26,84.6,144,6.55,"[0, 0, 1, 0, 0, 24, 36, 45, 1, 1, 1, 1, 1, 2, 3, 4, 4, 2, 3, 2, 1, 1, 2, 3, 3, 3]",··█··█████████████████████
physics,imaging,emerging,8,8,2018,26,30.8,59,7.38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 12, 8, 9, 8, 8, 6]",··················████████
physics,quantum,emerging,26,26,2000,26,100.0,223,8.58,"[28, 31, 22, 5, 11, 4, 9, 17, 24, 22, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 5, 5, 7, 7, 3, 4]",██████████████████████████
physics,photonic,emerging,5,5,2021,26,19.2,13,2.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 3]",·····················█████
physics,neural_network,emerging,3,3,2023,26,11.5,13,4.33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 4]",·······················███
physics,metasurface,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,topological,emerging,4,4,2022,26,15.4,10,2.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 3]",······················████
physics,optical,emerging,25,25,2001,26,96.2,151,6.04,"[0, 2, 6, 16, 6, 16, 11, 11, 16, 21, 1, 1, 1, 1, 1, 3, 4, 5, 3, 3, 3, 3, 4, 5, 4, 4]",·█████████████████████████
physics,flow,emerging,26,26,2000,26,100.0,225,8.65,"[1, 3, 4, 3, 4, 7, 8, 13, 17, 24, 30, 23, 23, 21, 7, 4, 4, 7, 4, 3, 2, 2, 3, 2, 3, 3]",██████████████████████████
physics,sensor,emerging,3,3,2023,26,11.5,8,2.67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1]",·······················███
physics,image,emerging,8,8,2018,26,30.8,35,4.38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 11, 4, 2, 1, 2, 2]",··················████████
physics,dataset,emerging,3,3,2023,26,11.5,3,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",·······················███
physics,datum,emerging,26,26,2000,26,100.0,215,8.27,"[6, 11, 17, 25, 9, 6, 10, 15, 14, 35, 23, 1, 1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",██████████████████████████
physics,design,emerging,11,13,2015,26,50.0,30,2.31,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 3, 7, 2, 2, 1, 2, 2, 2, 1, 1]",█············█·███████████
physics,accuracy,emerging,7,7,2019,26,26.9,8,1.14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1]",···················███████
physics,training,emerging,2,2,2024,26,7.7,3,1.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1]",························██
physics,efficient,emerging,7,8,2019,26,30.8,20,2.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 6, 2, 1, 1, 1, 1]",·················█·███████
physics,active,emerging,7,7,2019,26,26.9,35,5.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 3, 7, 9, 8]",···················███████
physics,particle,stable,26,26,2000,26,100.0,344,13.23,"[22, 17, 20, 36, 40, 30, 24, 25, 26, 35, 30, 4, 4, 3, 1, 1, 1, 1, 2, 2, 4, 5, 4, 3, 2, 2]",██████████████████████████
physics,frequency,stable,26,26,2000,26,100.0,242,9.31,"[6, 4, 6, 6, 11, 10, 7, 11, 8, 18, 18, 26, 32, 7, 12, 12, 12, 7, 7, 5, 5, 3, 3, 2, 2, 2]",██████████████████████████
physics,interaction,stable,26,26,2000,26,100.0,254,9.77,"[16, 14, 9, 15, 6, 15, 10, 14, 22, 28, 31, 26, 4, 3, 2, 3, 3, 5, 4, 3, 3, 4, 5, 4, 3, 2]",██████████████████████████
physics,energy,stable,26,26,2000,26,100.0,456,17.54,"[56, 43, 55, 51, 47, 43, 53, 8, 1, 2, 3, 3, 9, 10, 13, 12, 9, 6, 5, 6, 4, 4, 4, 3, 3, 3]",██████████████████████████
physics,laser,stable,26,26,2000,26,100.0,135,5.19,"[2, 4, 3, 2, 7, 6, 4, 5, 6, 14, 12, 23, 16, 5, 1, 1, 1, 2, 3, 3, 3, 3, 4, 2, 1, 2]",██████████████████████████
physics,order,stable,20,25,2006,26,96.2,183,7.32,"[2, 4, 4, 8, 7, 0, 2, 9, 6, 6, 8, 10, 13, 27, 25, 5, 6, 6, 8, 8, 6, 3, 2, 3, 3, 2]",█████·████████████████████
physics,physics,stable,15,25,2011,26,96.2,87,3.48,"[1, 4, 1, 6, 2, 3, 4, 1, 1, 1, 0, 2, 1, 2, 10, 8, 15, 3, 3, 5, 5, 4, 2, 1, 1, 1]",██████████·███████████████
physics,light,stable,26,26,2000,26,100.0,155,5.96,"[1, 5, 3, 3, 4, 9, 2, 5, 11, 9, 14, 25, 1, 2, 4, 5, 5, 1, 7, 7, 7, 5, 5, 7, 4, 4]",██████████████████████████
physics,ion,stable,17,23,2009,26,88.5,147,6.39,"[7, 0, 0, 2, 8, 1, 1, 2, 0, 6, 7, 10, 19, 22, 21, 4, 6, 9, 7, 3, 3, 3, 2, 2, 1, 1]",█··█████·█████████████████
physics,structure,stable,26,26,2000,26,100.0,322,12.38,"[27, 22, 33, 24, 21, 35, 24, 26, 43, 8, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2, 5, 6, 5, 9, 5, 4]",██████████████████████████
physics,density,stable,25,25,2001,26,96.2,131,5.24,"[0, 5, 4, 3, 6, 5, 1, 5, 5, 3, 13, 13, 20, 18, 1, 1, 1, 1, 2, 2, 4, 7, 5, 3, 2, 1]",·█████████████████████████
physics,property,stable,26,26,2000,26,100.0,233,8.96,"[5, 5, 11, 16, 4, 12, 16, 11, 22, 20, 24, 25, 6, 4, 6, 6, 4, 4, 5, 6, 3, 3, 4, 5, 4, 2]",██████████████████████████
physics,surface,stable,26,26,2000,26,100.0,187,7.19,"[3, 1, 1, 4, 4, 4, 5, 4, 12, 16, 19, 27, 32, 24, 1, 1, 2, 2, 4, 3, 2, 3, 3, 3, 4, 3]",██████████████████████████
physics,dynamic,stable,26,26,2000,26,100.0,273,10.5,"[19, 23, 18, 16, 11, 27, 34, 33, 34, 1, 1, 1, 2, 2, 2, 2, 2, 4, 3, 3, 3, 4, 7, 7, 9, 5]",██████████████████████████
physics,dimensional,stable,18,25,2008,26,96.2,104,4.16,"[3, 4, 3, 3, 3, 1, 1, 0, 4, 2, 8, 7, 9, 15, 19, 2, 1, 1, 1, 3, 4, 2, 2, 3, 2, 1]",███████·██████████████████
physics,non,stable,26,26,2000,26,100.0,178,6.85,"[1, 7, 10, 4, 4, 8, 2, 4, 10, 4, 10, 17, 27, 25, 24, 2, 2, 1, 1, 1, 3, 4, 2, 1, 2, 2]",██████████████████████████
physics,field,stable,26,26,2000,26,100.0,445,17.12,"[47, 45, 43, 41, 48, 51, 41, 43, 33, 1, 1, 2, 4, 6, 3, 2, 3, 4, 4, 4, 4, 4, 4, 3, 2, 2]",██████████████████████████
