subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
cs,2000,2001,57,61,17,0,40,0,44,29.82,0.0,70.18
cs,2001,2002,61,58,4,0,57,0,54,6.56,0.0,93.44
cs,2002,2003,58,59,7,0,51,0,52,12.07,0.0,87.93
cs,2003,2004,59,68,12,0,47,0,56,20.34,0.0,79.66
cs,2004,2005,68,67,8,0,60,0,59,11.76,0.0,88.24
cs,2005,2006,67,69,7,0,60,0,62,10.45,0.0,89.55
cs,2006,2007,69,66,8,0,61,0,58,11.59,0.0,88.41
cs,2007,2008,66,65,15,0,51,0,50,22.73,0.0,77.27
cs,2008,2009,65,66,10,0,55,0,56,15.38,0.0,84.62
cs,2009,2010,66,70,13,0,53,0,57,19.7,0.0,80.3
cs,2010,2011,70,71,18,0,52,0,53,25.71,0.0,74.29
cs,2011,2012,71,74,29,0,42,0,45,40.85,0.0,59.15
cs,2012,2013,74,72,22,0,52,0,50,29.73,0.0,70.27
cs,2013,2014,72,73,23,0,49,0,50,31.94,0.0,68.06
cs,2014,2015,73,73,26,0,47,0,47,35.62,0.0,64.38
cs,2015,2016,73,72,33,0,40,0,39,45.21,0.0,54.79
cs,2016,2017,72,72,42,0,30,0,30,58.33,0.0,41.67
cs,2017,2018,72,74,49,0,23,0,25,68.06,0.0,31.94
cs,2018,2019,74,74,51,0,23,0,23,68.92,0.0,31.08
cs,2019,2020,74,75,61,0,13,0,14,82.43,0.0,17.57
cs,2020,2021,75,75,57,0,18,0,18,76.0,0.0,24.0
cs,2021,2022,75,75,56,0,19,0,19,74.67,0.0,25.33
cs,2022,2023,75,75,53,0,22,0,22,70.67,0.0,29.33
cs,2023,2024,75,75,55,0,20,0,20,73.33,0.0,26.67
cs,2024,2025,75,75,57,0,18,0,18,76.0,0.0,24.0
