subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
cs,0,2000,2000,0,0.651322,0.348678
cs,0,2000,2002,2,0.0,1.0
cs,0,2000,2003,3,0.022228,0.977772
cs,0,2000,2004,4,0.090416,0.909584
cs,0,2000,2005,5,0.090416,0.909584
cs,0,2000,2006,6,0.090416,0.909584
cs,0,2000,2007,7,0.090416,0.909584
cs,0,2000,2009,9,0.090416,0.909584
cs,0,2000,2010,10,0.090416,0.909584
cs,0,2000,2011,11,0.090416,0.909584
cs,0,2000,2012,12,0.090416,0.909584
cs,0,2000,2013,13,0.090416,0.909584
cs,0,2000,2014,14,0.090416,0.909584
cs,0,2000,2015,15,0.090416,0.909584
cs,0,2000,2016,16,0.090416,0.909584
cs,0,2000,2017,17,0.090416,0.909584
cs,0,2000,2018,18,0.090416,0.909584
cs,0,2000,2019,19,0.090416,0.909584
cs,0,2000,2020,20,0.090416,0.909584
cs,0,2000,2021,21,0.090416,0.909584
cs,0,2000,2022,22,0.090416,0.909584
cs,0,2000,2023,23,0.090416,0.909584
cs,0,2000,2024,24,0.090416,0.909584
cs,0,2000,2025,25,0.090416,0.909584
cs,1,2000,2000,0,0.651322,0.348678
cs,1,2000,2001,1,0.501269,0.498731
cs,1,2000,2002,2,0.239559,0.760441
cs,1,2000,2003,3,0.0,1.0
cs,1,2000,2004,4,0.014636,0.985364
cs,1,2000,2005,5,0.090416,0.909584
cs,1,2000,2006,6,0.090416,0.909584
cs,1,2000,2007,7,0.045191,0.954809
cs,1,2000,2008,8,0.090416,0.909584
cs,1,2000,2009,9,0.059827,0.940173
cs,1,2000,2010,10,0.014636,0.985364
cs,1,2000,2011,11,0.122486,0.877514
cs,1,2000,2012,12,0.122486,0.877514
cs,1,2000,2013,13,0.090416,0.909584
cs,1,2000,2014,14,0.063416,0.936584
cs,1,2000,2015,15,0.090416,0.909584
cs,1,2000,2016,16,0.099074,0.900926
cs,1,2000,2017,17,0.067291,0.932709
cs,1,2000,2018,18,0.112644,0.887356
cs,1,2000,2019,19,0.168469,0.831531
cs,1,2000,2020,20,0.167677,0.832323
cs,1,2000,2021,21,0.131143,0.868857
cs,1,2000,2022,22,0.141469,0.858531
cs,1,2000,2023,23,0.154555,0.845445
cs,1,2000,2024,24,0.185902,0.814098
cs,1,2000,2025,25,0.157836,0.842164
cs,2,2000,2000,0,0.651322,0.348678
cs,2,2000,2001,1,0.534814,0.465186
cs,2,2000,2002,2,0.014636,0.985364
cs,2,2000,2003,3,0.014636,0.985364
cs,2,2000,2004,4,0.014636,0.985364
cs,2,2000,2005,5,0.014636,0.985364
cs,2,2000,2006,6,0.014636,0.985364
cs,2,2000,2007,7,0.0,1.0
cs,2,2000,2008,8,0.0,1.0
cs,2,2000,2009,9,0.023293,0.976707
cs,2,2000,2010,10,0.014636,0.985364
cs,2,2000,2011,11,0.014636,0.985364
cs,2,2000,2012,12,0.023293,0.976707
cs,2,2000,2013,13,0.023293,0.976707
cs,2,2000,2014,14,0.036864,0.963136
cs,2,2000,2015,15,0.036864,0.963136
cs,2,2000,2016,16,0.033146,0.966854
cs,2,2000,2017,17,0.045521,0.954479
cs,2,2000,2018,18,0.037929,0.962071
cs,2,2000,2019,19,0.0515,0.9485
cs,2,2000,2020,20,0.036864,0.963136
cs,2,2000,2021,21,0.036864,0.963136
cs,2,2000,2022,22,0.036864,0.963136
cs,2,2000,2023,23,0.059092,0.940908
cs,2,2000,2024,24,0.045521,0.954479
cs,2,2000,2025,25,0.036864,0.963136
cs,3,2000,2000,0,0.651322,0.348678
cs,3,2000,2001,1,0.425159,0.574841
cs,3,2000,2002,2,0.362534,0.637466
cs,3,2000,2003,3,0.224024,0.775976
cs,3,2000,2004,4,0.207775,0.792225
cs,3,2000,2005,5,0.288356,0.711644
cs,3,2000,2006,6,0.217534,0.782466
cs,3,2000,2007,7,0.211684,0.788316
cs,3,2000,2008,8,0.279968,0.720032
cs,3,2000,2009,9,0.352681,0.647319
cs,3,2000,2010,10,0.357869,0.642131
cs,3,2000,2011,11,0.284482,0.715518
cs,3,2000,2012,12,0.288356,0.711644
cs,3,2000,2013,13,0.284482,0.715518
cs,3,2000,2014,14,0.284482,0.715518
cs,3,2000,2015,15,0.284482,0.715518
