subject,topic_id,year_from,year_to,cosine_sim,drift
cs,1,2000,2001,0.8,0.2
cs,2,2000,2001,0.6,0.4
cs,3,2000,2001,0.9,0.1
cs,4,2000,2001,0.8,0.2
cs,5,2000,2001,0.5,0.5
cs,6,2000,2001,0.7,0.3
cs,7,2000,2001,0.8,0.2
cs,8,2000,2001,0.7,0.3
cs,12,2000,2001,0.7,0.3
cs,14,2000,2001,0.7,0.3
cs,18,2000,2001,0.3,0.7
cs,20,2000,2001,0.7,0.3
cs,21,2000,2001,0.6,0.4
cs,22,2000,2001,0.3,0.7
cs,23,2000,2001,0.4,0.6
cs,26,2000,2001,0.8,0.2
cs,27,2000,2001,0.3,0.7
cs,28,2000,2001,0.7,0.3
cs,29,2000,2001,0.9,0.1
cs,30,2000,2001,0.8,0.2
cs,32,2000,2001,0.8,0.2
cs,33,2000,2001,0.8,0.2
cs,35,2000,2001,0.5,0.5
cs,36,2000,2001,0.7,0.3
cs,37,2000,2001,0.7,0.3
cs,38,2000,2001,0.5,0.5
cs,39,2000,2001,0.8,0.2
cs,40,2000,2001,0.7,0.3
cs,41,2000,2001,0.4,0.6
cs,44,2000,2001,0.5,0.5
cs,46,2000,2001,0.5,0.5
cs,48,2000,2001,0.8,0.2
cs,51,2000,2001,0.9,0.1
cs,52,2000,2001,0.4,0.6
cs,55,2000,2001,0.7,0.3
cs,56,2000,2001,0.6,0.4
cs,57,2000,2001,0.5,0.5
cs,59,2000,2001,0.8,0.2
cs,61,2000,2001,0.9,0.1
cs,63,2000,2001,0.7,0.3
cs,66,2000,2001,0.4,0.6
cs,67,2000,2001,0.6,0.4
cs,68,2000,2001,0.7,0.3
cs,70,2000,2001,0.5,0.5
cs,71,2000,2001,0.9,0.1
cs,72,2000,2001,0.3,0.7
cs,74,2000,2001,0.7,0.3
cs,1,2001,2002,0.5,0.5
cs,2,2001,2002,0.3,0.7
cs,3,2001,2002,0.8,0.2
cs,4,2001,2002,0.8,0.2
cs,6,2001,2002,0.6,0.4
cs,7,2001,2002,1.0,0.0
cs,8,2001,2002,0.5,0.5
cs,10,2001,2002,0.4,0.6
cs,11,2001,2002,0.7,0.3
cs,12,2001,2002,0.7,0.3
cs,14,2001,2002,0.6,0.4
cs,15,2001,2002,0.3,0.7
cs,18,2001,2002,0.4,0.6
cs,19,2001,2002,0.3,0.7
cs,20,2001,2002,0.4,0.6
cs,22,2001,2002,0.8,0.2
cs,23,2001,2002,0.5,0.5
cs,25,2001,2002,0.6,0.4
cs,27,2001,2002,0.6,0.4
cs,28,2001,2002,0.8,0.2
cs,29,2001,2002,0.5,0.5
