subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
math,2000,2001,38,39,27,0,11,0,12,71.05,0.0,28.95
math,2001,2002,39,41,26,0,13,0,15,66.67,0.0,33.33
math,2002,2003,41,40,30,0,11,0,10,73.17,0.0,26.83
math,2003,2004,40,43,31,0,9,0,12,77.5,0.0,22.5
math,2004,2005,43,43,34,0,9,0,9,79.07,0.0,20.93
math,2005,2006,43,44,37,0,6,0,7,86.05,0.0,13.95
math,2006,2007,44,45,35,0,9,0,10,79.55,0.0,20.45
math,2007,2008,45,46,39,0,6,0,7,86.67,0.0,13.33
math,2008,2009,46,46,38,0,8,0,8,82.61,0.0,17.39
math,2009,2010,46,45,34,0,12,0,11,73.91,0.0,26.09
math,2010,2011,45,48,41,0,4,0,7,91.11,0.0,8.89
math,2011,2012,48,47,42,0,6,0,5,87.5,0.0,12.5
math,2012,2013,47,48,42,0,5,0,6,89.36,0.0,10.64
math,2013,2014,48,47,43,0,5,0,4,89.58,0.0,10.42
math,2014,2015,47,50,43,0,4,0,7,91.49,0.0,8.51
math,2015,2016,50,48,45,0,5,0,3,90.0,0.0,10.0
math,2016,2017,48,49,43,0,5,0,6,89.58,0.0,10.42
math,2017,2018,49,49,45,0,4,0,4,91.84,0.0,8.16
math,2018,2019,49,50,47,0,2,0,3,95.92,0.0,4.08
math,2019,2020,50,48,45,0,5,0,3,90.0,0.0,10.0
math,2020,2021,48,48,45,0,3,0,3,93.75,0.0,6.25
math,2021,2022,48,50,44,0,4,0,6,91.67,0.0,8.33
math,2022,2023,50,50,45,0,5,0,5,90.0,0.0,10.0
math,2023,2024,50,50,48,0,2,0,2,96.0,0.0,4.0
math,2024,2025,50,49,45,0,5,0,4,90.0,0.0,10.0
