subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
math,0,2000,2025,26,1.0,0.0,"function, polynomial, formula, integral, series, identity, sum, form, coefficient, term","function, polynomial, formula, sum, series, coefficient, integral, term, identity, form"
math,1,2000,2025,26,0.3,0.7,"local, potential, function, avalanche, hale, global, isochronous, periodic, euler, melnikov","energy, wave, potential, critical, existence, local, estimate, global, space, nonlinear"
math,2,2000,2025,26,0.0,1.0,"measurement, quantum, coppersmith, maxent, pachner_move, tetali, fisher_information, distinguishability, greedy, winkler","algorithm, test, datum, sparse, signal, sample, noise, error, recovery, optimal"
math,3,2000,2025,26,0.5,0.5,"splitter, maximality, theory, aleph, diffraction, axiom, theorem, proof, boldface, logic","logic, proof, theory, theorem, axiom, semantic, order, fuzzy, principle, logical"
math,4,2000,2025,26,0.8,0.2,"curve, variety, surface, projective, field, group, point, algebraic, rational, smooth","curve, field, variety, surface, projective, point, group, mathbb_mathbb, conjecture, rational"
math,5,2000,2025,25,0.2,0.8,"word, return, infinite, interval_exchange, complexity, coding, rotation, interval, transformation, article","word, subword, varphi, complexity, palindromic, fibonacci, length, circ, sturmian_word, palindrome"
math,6,2000,2025,26,0.9,0.1,"category, cohomology, homotopy, theory, operad, algebra, functor, ring, group, module","category, functor, theory, module, cohomology, ring, homotopy, group, structure, algebra"
math,7,2000,2025,26,0.7,0.3,"group, subgroup, finite, action, automorphism, abelian, class, braid, algebra, order","group, subgroup, finite, action, automorphism, abelian, class, monoid, free, element"
math,8,2000,2025,26,0.8,0.2,"algebra, module, algebras, ring, lie_algebra, associative, goth_goth, group, structure, commutative","algebra, module, algebras, ring, lie_algebra, structure, group, associative, derivation, field"
math,9,2002,2025,23,0.2,0.8,"mathbb, algebre, sundman, une, moyennable, multiplicatif, croise, overline, unitaire, systeme","mathbb, overline, mathbb_mathbb, mathcal, subset, mhr, cap, mathrm, backslash, bar"
math,10,2004,2025,18,0.2,0.8,"eremenko_lyubich, colon, half, ovl, mapsto, varepsilon, baker, hyperbolic, exponential, affirmative","varepsilon, varepsilon_varepsilon, bullet, rightarrow, mathbb, function, fatou, colon, mathbb_mathbb, textrm"
math,11,2000,2025,26,0.2,0.8,"policy, output_feedback, combat, janus, control, stall, nonlinear, assignment, game, utility","control, network, policy, optimization, dynamic, agent, optimal, cost, controller, algorithm"
math,12,2000,2025,26,0.7,0.3,"manifold, metric, surface, space, curvature, foliation, kaehler, compact, hyperbolic, geometry","manifold, metric, surface, curvature, space, hyperbolic, flow, geodesic, compact, hler"
math,13,2002,2025,24,0.5,0.5,"bar, integration_part, algebro_geometric, partial, partial_partial, consequence, frac, mathbb, int, text","frac, mathbb, text, int, right, end, partial, quad, mathbb_mathbb, nabla"
math,14,2000,2025,26,0.5,0.5,"operator, dirac, space, index, nspace, spectral, function, frame, invariant, fredholm","operator, space, spectral, frame, semigroup, function, spectrum, class, matrix, toeplitz"
math,15,2000,2025,26,0.6,0.4,"quantum, groupoid, algebra, hopf_algebra, group, algebras, theory, equivalence, foliation, relation","quantum, algebra, algebras, quiver, cluster, group, groupoid, theory, category, type"
math,16,2000,2025,25,0.4,0.6,"odot, entropy, logic, calogero, goedel, right, dynamical, mbox_div, pressure, propositional","entropy, dynamical, right, attractor, topological, subshift, logic, shift, chaotic, map"
math,17,2000,2025,26,0.3,0.7,"theory, survey, kakeya, petri_net, macaulay, thinking, mathematical, surgery, gel_fand_dorfman_bialgebra, groebner_basis","theory, mathematical, mathematic, geometry, student, survey, development, datum, field, topic"
