subject,topic_id,year_from,year_to,cosine_sim,drift
math,0,2000,2001,0.473011,0.526989
math,1,2000,2001,0.207775,0.792225
math,2,2000,2001,0.362072,0.637928
math,3,2000,2001,0.317729,0.682271
math,4,2000,2001,0.616562,0.383438
math,5,2000,2001,0.540024,0.459976
math,6,2000,2001,0.573269,0.426731
math,7,2000,2001,0.59315,0.40685
math,8,2000,2001,0.491417,0.508583
math,11,2000,2001,0.008657,0.991343
math,12,2000,2001,0.52417,0.47583
math,14,2000,2001,0.417729,0.582271
math,15,2000,2001,0.49351,0.50649
math,17,2000,2001,0.295244,0.704756
math,18,2000,2001,0.430245,0.569755
math,19,2000,2001,0.173419,0.826581
math,20,2000,2001,0.38013,0.61987
math,21,2000,2001,0.289265,0.710735
math,22,2000,2001,0.430069,0.569931
math,24,2000,2001,0.579248,0.420752
math,26,2000,2001,0.456668,0.543332
math,28,2000,2001,0.213469,0.786531
math,29,2000,2001,0.035944,0.964056
math,32,2000,2001,0.194571,0.805429
math,33,2000,2001,0.542395,0.457605
math,35,2000,2001,0.503182,0.496818
math,36,2000,2001,0.519387,0.480613
math,38,2000,2001,0.388625,0.611375
math,39,2000,2001,0.091897,0.908103
math,40,2000,2001,0.370434,0.629566
math,41,2000,2001,0.410315,0.589685
math,42,2000,2001,0.371024,0.628976
math,43,2000,2001,0.022228,0.977772
math,44,2000,2001,0.361608,0.638392
math,45,2000,2001,0.537208,0.462792
math,47,2000,2001,0.397906,0.602094
math,49,2000,2001,0.342126,0.657874
math,0,2001,2002,0.477924,0.522076
math,1,2001,2002,0.318537,0.681463
math,2,2001,2002,0.022228,0.977772
math,3,2001,2002,0.100554,0.899446
math,4,2001,2002,0.53413,0.46587
math,5,2001,2002,0.266301,0.733699
math,6,2001,2002,0.587905,0.412095
math,7,2001,2002,0.565606,0.434394
math,8,2001,2002,0.574061,0.425939
math,11,2001,2002,0.126656,0.873344
math,12,2001,2002,0.555707,0.444293
math,14,2001,2002,0.353415,0.646585
math,15,2001,2002,0.483506,0.516494
math,17,2001,2002,0.217534,0.782466
math,18,2001,2002,0.505081,0.494919
math,19,2001,2002,0.402066,0.597934
math,20,2001,2002,0.462729,0.537271
math,21,2001,2002,0.008657,0.991343
math,22,2001,2002,0.267509,0.732491
math,24,2001,2002,0.469844,0.530156
math,26,2001,2002,0.296935,0.703065
math,28,2001,2002,0.145472,0.854528
math,29,2001,2002,0.014636,0.985364
math,32,2001,2002,0.014636,0.985364
math,33,2001,2002,0.469857,0.530143
math,35,2001,2002,0.390729,0.609271
math,36,2001,2002,0.566872,0.433128
math,38,2001,2002,0.431181,0.568819
math,39,2001,2002,0.17136,0.82864
math,40,2001,2002,0.175436,0.824564
math,41,2001,2002,0.501269,0.498731
math,42,2001,2002,0.27717,0.72283
math,43,2001,2002,0.189776,0.810224
math,44,2001,2002,0.023293,0.976707
math,45,2001,2002,0.323975,0.676025
math,47,2001,2002,0.407308,0.592692
math,49,2001,2002,0.489057,0.510943
math,0,2002,2003,0.461067,0.538933
math,1,2002,2003,0.226722,0.773278
math,2,2002,2003,0.0,1.0
math,3,2002,2003,0.167571,0.832429
math,4,2002,2003,0.529336,0.470664
math,5,2002,2003,0.551041,0.448959
math,6,2002,2003,0.533619,0.466381
math,7,2002,2003,0.556239,0.443761
math,8,2002,2003,0.555707,0.444293
math,11,2002,2003,0.105052,0.894948
math,12,2002,2003,0.591623,0.408377
math,13,2002,2003,0.458717,0.541283
math,14,2002,2003,0.512031,0.487969
math,15,2002,2003,0.551233,0.448767
math,16,2002,2003,0.53884,0.46116
math,17,2002,2003,0.254835,0.745165
math,18,2002,2003,0.438477,0.561523
math,19,2002,2003,0.399387,0.600613
math,20,2002,2003,0.501363,0.498637
math,21,2002,2003,0.249126,0.750874
math,22,2002,2003,0.239571,0.760429
math,24,2002,2003,0.482675,0.517325
math,26,2002,2003,0.003874,0.996126
math,28,2002,2003,0.182122,0.817878
math,29,2002,2003,0.35866,0.64134
math,32,2002,2003,0.003874,0.996126
math,33,2002,2003,0.537208,0.462792
math,35,2002,2003,0.285851,0.714149
math,36,2002,2003,0.591461,0.408539
math,38,2002,2003,0.550451,0.449549
math,39,2002,2003,0.354178,0.645822
math,40,2002,2003,0.343546,0.656454
math,41,2002,2003,0.497489,0.502511
math,42,2002,2003,0.167486,0.832514
math,43,2002,2003,0.355791,0.644209
math,44,2002,2003,0.330391,0.669609
math,45,2002,2003,0.470193,0.529807
math,47,2002,2003,0.515384,0.484616
math,49,2002,2003,0.537848,0.462152
math,0,2003,2004,0.597153,0.402847
math,1,2003,2004,0.315362,0.684638
math,2,2003,2004,0.541071,0.458929
math,3,2003,2004,0.434441,0.565559
math,4,2003,2004,0.606994,0.393006
math,6,2003,2004,0.553762,0.446238
math,7,2003,2004,0.565688,0.434312
math,8,2003,2004,0.595959,0.404041
math,11,2003,2004,0.089519,0.910481
math,12,2003,2004,0.537966,0.462034
math,13,2003,2004,0.171562,0.828438
math,14,2003,2004,0.399269,0.600731
math,15,2003,2004,0.59315,0.40685
math,16,2003,2004,0.167699,0.832301
math,17,2003,2004,0.29642,0.70358
math,18,2003,2004,0.439766,0.560234
math,19,2003,2004,0.498113,0.501887
math,20,2003,2004,0.526475,0.473525
math,21,2003,2004,0.505779,0.494221
math,22,2003,2004,0.338644,0.661356
math,24,2003,2004,0.442458,0.557542
math,26,2003,2004,0.093393,0.906607
math,28,2003,2004,0.049066,0.950934
math,29,2003,2004,0.229673,0.770327
math,32,2003,2004,0.134248,0.865752
math,33,2003,2004,0.565559,0.434441
math,35,2003,2004,0.406632,0.593368
math,36,2003,2004,0.579248,0.420752
math,38,2003,2004,0.482579,0.517421
math,39,2003,2004,0.317729,0.682271
math,40,2003,2004,0.394766,0.605234
math,41,2003,2004,0.527821,0.472179
math,42,2003,2004,0.094301,0.905699
math,43,2003,2004,0.316085,0.683915
math,44,2003,2004,0.139493,0.860507
math,45,2003,2004,0.434248,0.565752
math,47,2003,2004,0.45418,0.54582
math,49,2003,2004,0.455517,0.544483
math,0,2004,2005,0.608235,0.391765
math,1,2004,2005,0.478705,0.521295
math,2,2004,2005,0.190779,0.809221
math,3,2004,2005,0.448094,0.551906
math,4,2004,2005,0.576439,0.423561
math,6,2004,2005,0.525309,0.474691
math,7,2004,2005,0.626733,0.373267
math,8,2004,2005,0.528731,0.471269
math,9,2004,2005,0.276615,0.723385
math,11,2004,2005,0.453354,0.546646
math,12,2004,2005,0.632811,0.367189
math,13,2004,2005,0.448497,0.551503
math,14,2004,2005,0.53002,0.46998
math,15,2004,2005,0.528742,0.471258
math,16,2004,2005,0.264881,0.735119
math,17,2004,2005,0.421319,0.578681
math,18,2004,2005,0.497159,0.502841
math,19,2004,2005,0.489612,0.510388
math,20,2004,2005,0.462139,0.537861
math,21,2004,2005,0.484509,0.515491
math,22,2004,2005,0.54346,0.45654
math,24,2004,2005,0.473187,0.526813
math,26,2004,2005,0.270833,0.729167
math,28,2004,2005,0.245729,0.754271
math,29,2004,2005,0.221974,0.778026
math,32,2004,2005,0.247628,0.752372
math,33,2004,2005,0.619252,0.380748
math,35,2004,2005,0.393532,0.606468
math,36,2004,2005,0.481465,0.518535
math,38,2004,2005,0.546893,0.453107
math,39,2004,2005,0.207775,0.792225
math,40,2004,2005,0.258198,0.741802
math,41,2004,2005,0.525024,0.474976
math,42,2004,2005,0.375503,0.624497
math,43,2004,2005,0.156605,0.843395
math,44,2004,2005,0.317612,0.682388
math,45,2004,2005,0.370384,0.629616
math,47,2004,2005,0.357827,0.642173
math,49,2004,2005,0.573742,0.426258
math,0,2005,2006,0.634325,0.365675
math,1,2005,2006,0.432425,0.567575
math,2,2005,2006,0.334776,0.665224
math,3,2005,2006,0.448094,0.551906
