subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
math,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.574195,0.425805,"formula, function, identity, integral, polynomial, series, coefficient, sum, form, askey_wilson, representation, hypergeometric, jacobi, polar, psi_summation, term, theory, tricomplex, variable","coefficient, form, formula, function, identity, integral, polynomial, series, sum, term, euler, expansion, variable"
math,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.926985,0.073015,"coefficient, form, formula, function, identity, integral, polynomial, series, sum, term, euler, expansion, variable","coefficient, form, formula, function, integral, polynomial, series, sum, term, identity, sequence"
math,0,2010–2015,2015–2020,2010–2015 → 2015–2020,1.0,0.0,"coefficient, form, formula, function, integral, polynomial, series, sum, term, identity, sequence","coefficient, form, formula, function, integral, polynomial, series, sum, term, identity, sequence"
math,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.832886,0.167114,"coefficient, form, formula, function, integral, polynomial, series, sum, term, identity, sequence","coefficient, formula, function, integral, polynomial, series, sum, term, identity, mathbb_mathbb, form, type"
math,1,2000–2005,2005–2010,2000–2005 → 2005–2010,0.48121,0.51879,"potential, wave, dimensional, periodic, energy, existence, global, local, avalanche, function, hale, hamiltonian, laskar, melnikov, nonlinear, soliton, alphaf, bertrand, coulomb, estimate, euler, flgee, homoclinic, hyperk_hler, initial_datum, isochronous, operator, quasiperiodic, schr_dinger_operator, space","energy, potential, space, wave, estimate, nonlinear, periodic, global, schrodinger, critical, existence, local, operator, schroedinger, dimension, dimensional, flgee"
math,1,2005–2010,2010–2015,2005–2010 → 2010–2015,0.642939,0.357061,"energy, potential, space, wave, estimate, nonlinear, periodic, global, schrodinger, critical, existence, local, operator, schroedinger, dimension, dimensional, flgee","critical, energy, global, potential, space, wave, existence, nonlinear, estimate, periodic, local, initial_datum, schrodinger"
math,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.841813,0.158187,"critical, energy, global, potential, space, wave, existence, nonlinear, estimate, periodic, local, initial_datum, schrodinger","critical, energy, estimate, existence, global, local, potential, wave, nonlinear, space, initial_datum, periodic"
math,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.989238,0.010762,"critical, energy, estimate, existence, global, local, potential, wave, nonlinear, space, initial_datum, periodic","critical, energy, estimate, existence, global, local, potential, space, wave, nonlinear, initial_datum"
math,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.069862,0.930138,"iterable, quantum, turbo, woodin_cardinal, channel, coppersmith, datum, fisher_information, information, interleaver, maxent, measurement, noise, pachner_move, quantization, signal, tetali, algorithm, bayesian, distinguishability, friendly, function, greedy, integrand, invertability, probable, procedure, quadrature, radiograph, ralsfa, rate, reliability, secretary, separation, source, subthreshold, vicious_walker, walker, winkler","algorithm, rate, signal, sparse, test, optimal, procedure, distribution, statistic, error, datum, detection, fdp, function, fwer_fwer, iterable, mathit, noise, ralsfa, sample, sequential, sparsity, svd, testing, turbo, woodin_cardinal"
math,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.649092,0.350908,"algorithm, rate, signal, sparse, test, optimal, procedure, distribution, statistic, error, datum, detection, fdp, function, fwer_fwer, iterable, mathit, noise, ralsfa, sample, sequential, sparsity, svd, testing, turbo, woodin_cardinal","algorithm, noise, signal, sparse, test, matrix, recovery, detection, sparsity, error, measurement, rate, copula, distribution, optimal, sample"
math,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.64432,0.35568,"algorithm, noise, signal, sparse, test, matrix, recovery, detection, sparsity, error, measurement, rate, copula, distribution, optimal, sample","algorithm, measurement, recovery, sample, signal, sparse, test, datum, matrix, noise, optimal, distribution, sparsity, testing"
