subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_merge,n_disappear,n_merge_groups,n_new,pct_stable,pct_merge,pct_disappear
physics,2000,2001,45,49,42,0,3,0,7,93.33,0.0,6.67
physics,2001,2002,49,48,41,0,8,0,7,83.67,0.0,16.33
physics,2002,2003,48,49,39,0,9,0,10,81.25,0.0,18.75
physics,2003,2004,49,48,41,0,8,0,7,83.67,0.0,16.33
physics,2004,2005,48,48,43,0,5,0,5,89.58,0.0,10.42
physics,2005,2006,48,48,43,0,5,0,5,89.58,0.0,10.42
physics,2006,2007,48,48,46,0,2,0,2,95.83,0.0,4.17
physics,2007,2008,48,50,47,0,1,0,3,97.92,0.0,2.08
physics,2008,2009,50,50,47,0,3,0,3,94.0,0.0,6.0
physics,2009,2010,50,50,49,0,1,0,1,98.0,0.0,2.0
physics,2010,2011,50,50,49,0,1,0,1,98.0,0.0,2.0
physics,2011,2012,50,49,48,0,2,0,1,96.0,0.0,4.0
physics,2012,2013,49,49,48,0,1,0,1,97.96,0.0,2.04
physics,2013,2014,49,50,49,0,0,0,1,100.0,0.0,0.0
physics,2014,2015,50,49,48,0,2,0,1,96.0,0.0,4.0
physics,2015,2016,49,50,49,0,0,0,1,100.0,0.0,0.0
physics,2016,2017,50,50,50,0,0,0,0,100.0,0.0,0.0
physics,2017,2018,50,49,49,0,1,0,0,98.0,0.0,2.0
physics,2018,2019,49,49,49,0,0,0,0,100.0,0.0,0.0
physics,2019,2020,49,49,49,0,0,0,0,100.0,0.0,0.0
physics,2020,2021,49,50,49,0,0,0,1,100.0,0.0,0.0
physics,2021,2022,50,50,50,0,0,0,0,100.0,0.0,0.0
physics,2022,2023,50,49,48,0,2,0,1,96.0,0.0,4.0
physics,2023,2024,49,49,49,0,0,0,0,100.0,0.0,0.0
physics,2024,2025,49,49,49,0,0,0,0,100.0,0.0,0.0
