subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
physics,0,2000,2000,0,0.651322,0.348678
physics,0,2000,2001,1,0.37164,0.62836
physics,0,2000,2002,2,0.057723,0.942277
physics,0,2000,2003,3,0.007748,0.992252
physics,0,2000,2004,4,0.035944,0.964056
physics,0,2000,2005,5,0.035944,0.964056
physics,0,2000,2006,6,0.012531,0.987469
physics,0,2000,2007,7,0.012531,0.987469
physics,0,2000,2008,8,0.003874,0.996126
physics,0,2000,2009,9,0.003874,0.996126
physics,0,2000,2010,10,0.012531,0.987469
physics,0,2000,2011,11,0.012531,0.987469
physics,0,2000,2012,12,0.012531,0.987469
physics,0,2000,2013,13,0.012531,0.987469
physics,0,2000,2014,14,0.012531,0.987469
physics,0,2000,2015,15,0.007748,0.992252
physics,0,2000,2016,16,0.012531,0.987469
physics,0,2000,2017,17,0.003874,0.996126
physics,0,2000,2018,18,0.003874,0.996126
physics,0,2000,2019,19,0.003874,0.996126
physics,0,2000,2020,20,0.003874,0.996126
physics,0,2000,2021,21,0.003874,0.996126
physics,0,2000,2022,22,0.003874,0.996126
physics,0,2000,2023,23,0.003874,0.996126
physics,0,2000,2024,24,0.003874,0.996126
physics,0,2000,2025,25,0.003874,0.996126
physics,1,2000,2000,0,0.651322,0.348678
physics,1,2000,2001,1,0.271191,0.728809
physics,1,2000,2002,2,0.075948,0.924052
physics,1,2000,2003,3,0.075948,0.924052
physics,1,2000,2004,4,0.049066,0.950934
physics,1,2000,2005,5,0.063416,0.936584
physics,1,2000,2006,6,0.063416,0.936584
physics,1,2000,2007,7,0.063416,0.936584
physics,1,2000,2008,8,0.063416,0.936584
physics,1,2000,2009,9,0.032069,0.967931
physics,1,2000,2010,10,0.014636,0.985364
physics,1,2000,2011,11,0.003874,0.996126
physics,1,2000,2012,12,0.014636,0.985364
physics,1,2000,2013,13,0.0,1.0
physics,1,2000,2014,14,0.0,1.0
physics,1,2000,2015,15,0.0,1.0
physics,1,2000,2016,16,0.0,1.0
physics,1,2000,2017,17,0.0,1.0
physics,1,2000,2018,18,0.0,1.0
physics,1,2000,2019,19,0.0,1.0
physics,1,2000,2020,20,0.0,1.0
physics,1,2000,2021,21,0.0,1.0
physics,1,2000,2022,22,0.0,1.0
physics,1,2000,2023,23,0.0,1.0
physics,1,2000,2024,24,0.0,1.0
physics,1,2000,2025,25,0.0,1.0
physics,2,2000,2000,0,0.651322,0.348678
physics,2,2000,2001,1,0.356044,0.643956
physics,2,2000,2002,2,0.244074,0.755926
physics,2,2000,2003,3,0.257644,0.742356
physics,2,2000,2004,4,0.280608,0.719392
physics,2,2000,2005,5,0.280608,0.719392
physics,2,2000,2006,6,0.235416,0.764584
physics,2,2000,2007,7,0.280608,0.719392
physics,2,2000,2008,8,0.280608,0.719392
physics,2,2000,2009,9,0.280608,0.719392
physics,2,2000,2010,10,0.280608,0.719392
physics,2,2000,2011,11,0.257644,0.742356
