subject,topic_id,year_from,year_to,cosine_sim,drift
physics,0,2000,2001,0.7,0.3
physics,1,2000,2001,0.7,0.3
physics,2,2000,2001,0.8,0.2
physics,3,2000,2001,0.7,0.3
physics,4,2000,2001,0.7,0.3
physics,5,2000,2001,0.5,0.5
physics,6,2000,2001,0.5,0.5
physics,7,2000,2001,0.5,0.5
physics,8,2000,2001,0.8,0.2
physics,9,2000,2001,0.7,0.3
physics,10,2000,2001,0.9,0.1
physics,11,2000,2001,0.7,0.3
physics,12,2000,2001,0.5,0.5
physics,13,2000,2001,0.8,0.2
physics,14,2000,2001,0.7,0.3
physics,15,2000,2001,0.5,0.5
physics,16,2000,2001,0.7,0.3
physics,17,2000,2001,0.7,0.3
physics,18,2000,2001,0.6,0.4
physics,19,2000,2001,0.9,0.1
physics,20,2000,2001,0.7,0.3
physics,22,2000,2001,0.8,0.2
physics,23,2000,2001,0.7,0.3
physics,25,2000,2001,0.8,0.2
physics,26,2000,2001,0.9,0.1
physics,27,2000,2001,0.3,0.7
physics,28,2000,2001,0.9,0.1
physics,30,2000,2001,0.8,0.2
physics,31,2000,2001,0.6,0.4
physics,33,2000,2001,0.6,0.4
physics,34,2000,2001,0.6,0.4
physics,35,2000,2001,0.8,0.2
physics,36,2000,2001,0.5,0.5
physics,38,2000,2001,0.8,0.2
physics,39,2000,2001,0.8,0.2
physics,40,2000,2001,0.6,0.4
physics,42,2000,2001,0.8,0.2
physics,43,2000,2001,0.9,0.1
physics,44,2000,2001,0.6,0.4
physics,45,2000,2001,0.9,0.1
physics,46,2000,2001,0.5,0.5
physics,47,2000,2001,0.9,0.1
physics,48,2000,2001,0.9,0.1
physics,49,2000,2001,0.4,0.6
physics,0,2001,2002,0.3,0.7
physics,1,2001,2002,0.5,0.5
physics,2,2001,2002,0.5,0.5
physics,3,2001,2002,0.7,0.3
physics,4,2001,2002,0.7,0.3
physics,5,2001,2002,0.5,0.5
physics,6,2001,2002,0.4,0.6
physics,7,2001,2002,0.2,0.8
physics,8,2001,2002,1.0,0.0
physics,9,2001,2002,0.6,0.4
physics,10,2001,2002,0.9,0.1
physics,11,2001,2002,0.9,0.1
physics,12,2001,2002,0.5,0.5
physics,13,2001,2002,0.9,0.1
physics,14,2001,2002,0.7,0.3
physics,15,2001,2002,0.5,0.5
physics,16,2001,2002,0.9,0.1
physics,17,2001,2002,0.7,0.3
physics,18,2001,2002,0.6,0.4
physics,19,2001,2002,0.8,0.2
physics,20,2001,2002,0.6,0.4
physics,21,2001,2002,0.7,0.3
