subject,topic_id,avg_yoy_sim,min_yoy_sim,avg_yoy_drift,max_single_jump
physics,0,0.47685636000000003,0.045191,0.52314364,0.954809
physics,1,0.47903932,0.053849,0.5209606800000001,0.946151
physics,2,0.4762868,0.235416,0.5237132,0.764584
physics,3,0.5657468,0.424951,0.4342532,0.575049
physics,4,0.48419871999999997,0.235416,0.51580128,0.764584
physics,5,0.42115263999999997,0.123244,0.57884736,0.876756
physics,6,0.42511516,0.045191,0.57488484,0.954809
physics,7,0.40016256,0.022384,0.59983744,0.977616
physics,8,0.55572024,0.380473,0.44427976,0.619527
physics,9,0.46567172,0.176061,0.53432828,0.823939
physics,10,0.58547432,0.447061,0.41452568,0.552939
physics,11,0.48215296,0.144714,0.5178470399999999,0.855286
physics,12,0.40345628,0.046705,0.59654372,0.953295
physics,13,0.54955124,0.35313,0.45044876,0.64687
physics,14,0.518166,0.244343,0.481834,0.755657
physics,15,0.37182376,0.054297,0.62817624,0.945703
physics,16,0.5792676800000001,0.503244,0.42073232,0.496756
physics,17,0.49720492,0.366795,0.50279508,0.633205
physics,18,0.43715476000000003,0.110122,0.56284524,0.889878
physics,19,0.54368904,0.347436,0.45631096,0.652564
physics,20,0.51641896,0.402196,0.48358103999999996,0.597804
physics,21,0.42025575,0.112812,0.57974425,0.887188
physics,22,0.42507967999999996,0.063416,0.57492032,0.936584
physics,23,0.54231316,0.239751,0.45768684,0.760249
physics,24,0.23561090476190474,0.040738,0.7643890952380953,0.959262
physics,25,0.57341676,0.44853,0.42658324000000003,0.55147
physics,26,0.5643393600000001,0.469507,0.43566064,0.530493
physics,27,0.3731672,0.003874,0.6268328000000001,0.996126
physics,28,0.5012458399999999,0.324304,0.49875416,0.675696
physics,29,0.37696442105263156,0.09936,0.6230355789473684,0.90064
physics,30,0.4408938,0.099489,0.5591062,0.900511
physics,31,0.54585064,0.185996,0.45414935999999995,0.814004
physics,32,0.3049570833333333,0.008657,0.6950429166666666,0.991343
physics,33,0.55283852,0.425011,0.44716147999999994,0.574989
physics,34,0.46592676,0.030885,0.53407324,0.969115
physics,35,0.5851426399999999,0.505543,0.41485736,0.494457
physics,36,0.5504148,0.171551,0.4495852,0.828449
physics,37,0.5018769166666667,0.166301,0.4981230833333334,0.833699
physics,38,0.42734596,0.126371,0.5726540400000001,0.873629
physics,39,0.5551626000000001,0.317472,0.4448374,0.682528
physics,40,0.52132332,0.117265,0.47867668,0.882735
physics,41,0.20779123529411764,0.003874,0.7922087647058823,0.996126
physics,42,0.575563,0.36085,0.424437,0.63915
physics,43,0.56229872,0.324424,0.43770127999999997,0.675576
physics,44,0.54879908,0.389343,0.45120092,0.610657
physics,45,0.51681676,0.377332,0.48318323999999996,0.622668
physics,46,0.489792,0.252008,0.510208,0.747992
physics,47,0.54433984,0.365612,0.45566016,0.634388
physics,48,0.43093699999999996,0.0,0.569063,1.0
physics,49,0.29902252,0.014636,0.7009774799999999,0.985364
