subject,year_from,year_to,topic_id,words
math,2000,2001,0,"amoebas, survey, wavelet, sedenion, gromov, introduction, hat, magician, kenzo, assessor"
math,2000,2001,1,"xxz, bbc, bbr, determinant, bbrx, matrix, bethe, entry, bljw, det"
math,2000,2001,3,"cuntz, kms, biconvolution, krieger, clifford, gebra, noncommutative, narnhofer, arveson, blackadar"
math,2000,2001,6,"hat, subfactor, bochner, putx, hartog, setminus, radulescu, pfl, jar, bigcup"
math,2000,2001,7,"knot, bennequin, casson, link, quandle, lescop, homology, sphere, branched, hale"
math,2000,2001,9,"bracket, odot, dispersionless, spinor, gerbe, bialgebroid, groupoid, poisson, qkt, contact"
math,2000,2001,10,"lambda, aut, inn, semidirect, gelfand, tilouine, ppsmall, mokrane, subm, ellipticity"
math,2000,2001,12,"mdma, asthma, combat, particulate, experimental, janus, langley, inversion, meta, measurement"
math,2000,2001,13,"flipturn, coloured, prod, approx0, mansour, precsim, sidon, polygon, simion, tangential"
math,2000,2001,15,"brane, instanton, string, nahm, witten, monopole, calabi, iia, supersymmetric, yau"
math,2000,2001,16,"litsyn, code, krasikov, enumerator, stabilizer, barnes, kerdock, mth, extraspecial, ashikhmin"
math,2000,2001,17,"geman, yor, asian, worker, prelle, condor, transfom, option, laplace, financial"
math,2000,2001,18,"palindrome, alpha, multipermutation, szlenk, tracial, word, omega, knill, rote, hof"
math,2000,2001,19,"charge, steady, temperature, doniach, phonon, gibbs, dilute, tba, quasigeostrophic, sae"
math,2000,2001,22,"autocorrection, bkm, approximant, pade, efficiently, reynold, householder, import, stream, inheretnly"
math,2000,2001,25,"kahler, kaehler, manifold, metric, geodesic, isospectral, foliation, scriptstyle, sasakian, riemannian"
math,2000,2001,27,"dirac, frame, titchmarsh, pseudodifferential, operator, pss, adjoint, selfadjoint, cgu, unif"
math,2000,2001,28,"quot, mirror, cal, maple, particlular, tableaus, subcollection, intention, parametrisation, quintic"
math,2000,2001,29,"painleve, poissonized, fredholm, determinant, formalism, plancherel, multiresolution, discrete, equiresolution, bessel"
math,2000,2001,30,"slit, diffraction, sec, lattice, continuum, congruent, mende, flex, jitomirskaya, meager"
math,2000,2001,33,"borcher, shock, codim, thickness, ador, schroedinger, flame, breakdown, nard, breather"
math,2000,2001,34,"walker, quicksort, metastable, burst, fluctuation, eps, fkg, random, nur, uparrow"
math,2000,2001,35,"gravity, anholonomic, wormhole, sbat, einstein, cosmological, warp, ansatz, vacuum, gravitational"
math,2000,2001,38,"greechie, rbf, vibroimpact, anelastic, exactness, nondegenerate, penalty, errata, wavelet, revision"
math,2000,2001,39,"toric, curve, genus, kodaira, bundle, projective, threefold, fibration, orbifold, surface"
math,2000,2001,41,"ohno, quantization, baxter, isham, toda, quantum, ashtekar, yang, corepresentation, barnes"
math,2000,2001,43,"shilov, cauchi, fpl, conductivity, isophasal, yangian, boundary, szeg, remnant, painlev"
math,2000,2001,44,"monic, pack, plurisubharmonic, sobolev, eikinal, noncentered, bernstein, inequality, cusp, fond"
math,2000,2001,47,"incomparability, pairsum, berenstein, fst, residue, mod, zelevinsky, hep, radin, extender"
math,2001,2002,0,"lecture, survey, amoebas, hypercomputation, mathematic, absoluteness, introduction, goussarov, lineal, logic"
math,2001,2002,1,"10j, foam, multiply, crane, wign, barrett, transpose, xxz, complementary, defect"
math,2001,2002,3,"traceable, trace, symmetrizer, quasidiagonal, multivariable, cuntz, clifford, kms, osserman, wybourne"
math,2001,2002,4,"group, subgroup, action, automorphism, minimalizable, abelian, asdim, combable, conjugacy, quasifold"
math,2001,2002,5,"ideal, gin, rees, grobner, ring, janet, subsetneq, koszul, macaulay, ratliff"
math,2001,2002,6,"hat, logvinenko, sereda, immersion, subfactor, lesssim, cap, int, bochner, putx"
math,2001,2002,9,"poisson, frakh, algebroid, spinor, bracket, compatible, leibnizian, integrability, lie, dispersionless"
math,2001,2002,11,"lienard, linearization, rfde, initiale, noi, kick, loi, ito, lipschitzian, apportionment"
math,2001,2002,12,"propositional, reversal, causal, refocusing, mdma, intuitionistic, asthma, quantified, medium, backtransport"
