subject,year_from,year_to,topic_id,ttc,tts,ttq
cs,2000,2001,1,0.519717,0.498731,0.509007
cs,2000,2001,2,0.414704,0.465186,0.438496
cs,2000,2001,3,0.642116,0.574841,0.606619
cs,2000,2001,4,0.495926,0.511454,0.50357
cs,2000,2001,5,0.326059,0.864063,0.473456
cs,2000,2001,6,0.386782,0.66615,0.489404
cs,2000,2001,7,0.599021,0.475959,0.530446
cs,2000,2001,8,0.531132,0.492752,0.511223
cs,2000,2001,12,0.503934,0.502605,0.503268
cs,2000,2001,14,0.384441,0.629286,0.477295
cs,2000,2001,18,0.152064,0.864392,0.25863
cs,2000,2001,20,0.353591,0.742867,0.479127
cs,2000,2001,21,0.355291,0.516685,0.421052
cs,2000,2001,22,0.265942,0.922739,0.412886
cs,2000,2001,23,0.306959,0.882416,0.455475
cs,2000,2001,26,0.526314,0.385542,0.445062
cs,2000,2001,27,0.274003,0.749948,0.401363
cs,2000,2001,28,0.500488,0.626028,0.556263
cs,2000,2001,29,0.439929,0.439381,0.439655
cs,2000,2001,30,0.486442,0.419781,0.450659
cs,2000,2001,32,0.401716,0.398971,0.400339
cs,2000,2001,33,0.474266,0.648245,0.547773
cs,2000,2001,35,0.435251,0.862878,0.57863
cs,2000,2001,36,0.625254,0.647511,0.636188
cs,2000,2001,37,0.561365,0.487969,0.5221
cs,2000,2001,38,0.498427,0.709271,0.585444
cs,2000,2001,39,0.567782,0.426731,0.487254
cs,2000,2001,40,0.480665,0.497939,0.48915
cs,2000,2001,41,0.361157,0.588441,0.447599
cs,2000,2001,44,0.46826,0.887188,0.612985
cs,2000,2001,46,0.491944,0.6561,0.562286
cs,2000,2001,48,0.555858,0.389276,0.457887
cs,2000,2001,51,0.474733,0.47234,0.473534
cs,2000,2001,52,0.304916,0.749948,0.433555
cs,2000,2001,55,0.529627,0.367189,0.433697
cs,2000,2001,56,0.390921,0.605234,0.475024
cs,2000,2001,57,0.499737,0.71023,0.586674
cs,2000,2001,59,0.353323,0.460874,0.399995
cs,2000,2001,61,0.436622,0.44016,0.438384
cs,2000,2001,63,0.402295,0.720245,0.516242
cs,2000,2001,66,0.472997,0.936299,0.628493
cs,2000,2001,67,0.202441,0.719392,0.315967
cs,2000,2001,68,0.482684,0.642266,0.551156
cs,2000,2001,70,0.288065,0.811326,0.425171
cs,2000,2001,71,0.604743,0.387891,0.47263
cs,2000,2001,72,0.419388,0.715518,0.528818
cs,2000,2001,74,0.527809,0.578801,0.55213
cs,2001,2002,1,0.516565,0.702094,0.595207
cs,2001,2002,2,0.315977,0.985364,0.47851
cs,2001,2002,3,0.637092,0.475785,0.544748
cs,2001,2002,4,0.517064,0.551626,0.533786
cs,2001,2002,6,0.3197,0.860188,0.46615
cs,2001,2002,7,0.609528,0.463427,0.52653
cs,2001,2002,8,0.468394,0.963136,0.630272
cs,2001,2002,10,0.276269,0.484902,0.351993
cs,2001,2002,11,0.63202,0.503318,0.560374
cs,2001,2002,12,0.566532,0.561608,0.564059
cs,2001,2002,14,0.334362,0.648099,0.441136
cs,2001,2002,15,0.415406,0.887356,0.565894
cs,2001,2002,18,0.256096,0.792,0.387041
cs,2001,2002,19,0.213423,0.954479,0.348844
cs,2001,2002,20,0.314341,0.915395,0.467981
cs,2001,2002,22,0.443586,0.521694,0.47948
cs,2001,2002,23,0.277755,0.800646,0.412431
