subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
cs,2000,2001,47,0.442066,0.611682,0.487703
cs,2001,2002,49,0.428698,0.671304,0.500876
cs,2002,2003,50,0.434505,0.679279,0.502942
cs,2003,2004,55,0.45284,0.645328,0.508938
cs,2004,2005,61,0.443223,0.698498,0.518823
cs,2005,2006,63,0.45128,0.690578,0.519369
cs,2006,2007,63,0.442564,0.690375,0.511151
cs,2007,2008,60,0.452296,0.65138,0.506555
cs,2008,2009,60,0.426699,0.686865,0.492578
cs,2009,2010,63,0.451572,0.638139,0.501349
cs,2010,2011,67,0.463826,0.617004,0.502129
cs,2011,2012,71,0.482111,0.577017,0.497245
cs,2012,2013,72,0.496534,0.596848,0.514911
cs,2013,2014,71,0.501918,0.585187,0.508447
cs,2014,2015,72,0.517703,0.56542,0.514886
cs,2015,2016,72,0.537977,0.542358,0.518964
cs,2016,2017,70,0.558827,0.494086,0.510752
cs,2017,2018,72,0.562876,0.502115,0.510853
cs,2018,2019,74,0.570666,0.483616,0.504831
cs,2019,2020,74,0.578514,0.463243,0.501083
cs,2020,2021,75,0.571559,0.470752,0.495145
cs,2021,2022,75,0.576216,0.469539,0.500055
cs,2022,2023,75,0.576323,0.47474,0.501691
cs,2023,2024,75,0.578051,0.478432,0.503579
cs,2024,2025,75,0.583934,0.466795,0.501884
