subject,year_from,year_to,topic_id,ttc,tts,ttq
math,2000,2001,0,0.417387,0.407931,0.412605
math,2000,2001,1,0.37128,0.374097,0.372684
math,2000,2001,2,0.606022,0.18823,0.287243
math,2000,2001,3,0.285655,0.606931,0.388473
math,2000,2001,4,0.540369,0.274181,0.363781
math,2000,2001,5,0.554758,0.294317,0.384595
math,2000,2001,7,0.520436,0.414346,0.461371
math,2000,2001,8,0.362666,0.330168,0.345655
math,2000,2001,9,0.526262,0.300296,0.382391
math,2000,2001,10,0.357627,0.738666,0.481927
math,2000,2001,11,0.28151,0.719336,0.404659
math,2000,2001,12,0.309595,0.709494,0.431082
math,2000,2001,13,0.180919,0.426088,0.253992
math,2000,2001,15,0.490893,0.535622,0.512283
math,2000,2001,16,0.546992,0.353131,0.429186
math,2000,2001,17,0.338986,0.832442,0.481782
math,2000,2001,18,0.375721,0.502107,0.429816
math,2000,2001,19,0.454521,0.392322,0.421137
math,2000,2001,20,0.527968,0.238673,0.328737
math,2000,2001,21,0.398446,0.387806,0.393054
math,2000,2001,22,0.249402,0.77262,0.377081
math,2000,2001,23,0.503737,0.356023,0.417191
math,2000,2001,24,0.560694,0.274563,0.368619
math,2000,2001,25,0.630403,0.285447,0.392961
math,2000,2001,26,0.596929,0.319406,0.416142
math,2000,2001,27,0.489286,0.386344,0.431763
math,2000,2001,28,0.29539,0.796036,0.430888
math,2000,2001,29,0.329404,0.857468,0.475962
math,2000,2001,30,0.475028,0.323456,0.384856
math,2000,2001,31,0.411899,0.110462,0.174206
math,2000,2001,32,0.326075,0.559432,0.412005
math,2000,2001,33,0.394333,0.598752,0.475504
math,2000,2001,34,0.576912,0.315177,0.407649
math,2000,2001,35,0.416768,0.544466,0.472135
math,2000,2001,36,0.492137,0.216933,0.301129
math,2000,2001,37,0.507997,0.191313,0.277949
math,2000,2001,38,0.207587,0.600534,0.308526
math,2000,2001,39,0.626373,0.340222,0.440942
math,2000,2001,40,0.339172,0.317281,0.327861
math,2000,2001,41,0.352561,0.609928,0.446835
math,2000,2001,42,0.511052,0.367502,0.42755
math,2000,2001,43,0.333803,0.669832,0.445564
math,2000,2001,44,0.353926,0.468977,0.403408
math,2000,2001,45,0.361238,0.340418,0.350519
math,2000,2001,46,0.4099,0.489706,0.446263
math,2000,2001,47,0.263454,0.626947,0.371006
math,2000,2001,48,0.53662,0.437673,0.482122
math,2001,2002,0,0.530576,0.352664,0.423702
math,2001,2002,1,0.347824,0.647449,0.452535
math,2001,2002,2,0.647184,0.129096,0.215254
math,2001,2002,3,0.370407,0.798758,0.506114
math,2001,2002,4,0.601995,0.169033,0.263952
math,2001,2002,5,0.603151,0.271821,0.374753
math,2001,2002,6,0.457162,0.636345,0.532073
math,2001,2002,7,0.590205,0.24271,0.343969
math,2001,2002,8,0.462027,0.195777,0.275019
math,2001,2002,9,0.600365,0.208014,0.308974
math,2001,2002,11,0.452707,0.504315,0.477119
math,2001,2002,12,0.306722,0.849876,0.450763
