subject,year_from,year_to,n_topics,avg_ttc,coherence_at_t_next,ttc_ratio,avg_tts,avg_ttq
math,2000,2001,44,0.343301,0.415519,0.826199,0.14798,0.158749
math,2001,2002,50,0.365008,0.407429,0.895881,0.158,0.16309
math,2002,2003,46,0.330489,0.379016,0.871965,0.18913,0.197132
math,2003,2004,46,0.382428,0.427063,0.895484,0.230435,0.228202
math,2004,2005,48,0.368303,0.417512,0.882138,0.260417,0.245472
math,2005,2006,49,0.335714,0.432816,0.77565,0.293878,0.263668
math,2006,2007,48,0.400206,0.454369,0.880796,0.345833,0.334101
math,2007,2008,50,0.399995,0.429233,0.931883,0.344,0.329377
math,2008,2009,47,0.377897,0.427875,0.883195,0.368085,0.339872
math,2009,2010,47,0.405829,0.474435,0.855395,0.419149,0.371565
math,2010,2011,48,0.440083,0.491527,0.895338,0.4375,0.402307
math,2011,2012,49,0.447453,0.490581,0.912088,0.436735,0.388198
math,2012,2013,49,0.421021,0.509731,0.825967,0.514286,0.430928
math,2013,2014,49,0.443032,0.516101,0.858422,0.516327,0.441865
math,2014,2015,49,0.478871,0.507378,0.943815,0.540816,0.475604
math,2015,2016,49,0.469171,0.51458,0.911756,0.573469,0.491134
math,2016,2017,50,0.473685,0.527245,0.898415,0.586,0.495936
math,2017,2018,50,0.484453,0.524011,0.924509,0.59,0.496121
math,2018,2019,50,0.477542,0.501591,0.952054,0.614,0.513116
math,2019,2020,50,0.431971,0.538336,0.802418,0.616,0.483781
math,2020,2021,50,0.465275,0.536436,0.867344,0.638,0.512987
math,2021,2022,50,0.479511,0.514915,0.931243,0.636,0.515177
math,2022,2023,50,0.488463,0.52349,0.933089,0.63,0.516581
math,2023,2024,50,0.476926,0.534812,0.891765,0.662,0.522591
math,2024,2025,50,0.481848,0.558083,0.863398,0.692,0.538268
