subject,year_from,year_to,topic_id,ttc,tts,ttq
physics,2000,2001,0,0.300759,0.6,0.400674
physics,2000,2001,1,0.205853,0.6,0.306537
physics,2000,2001,2,0.351777,0.8,0.488674
physics,2000,2001,3,0.29286,0.5,0.369372
physics,2000,2001,4,0.301592,0.4,0.343894
physics,2000,2001,5,0.271403,0.2,0.230294
physics,2000,2001,6,0.433514,0.4,0.416083
physics,2000,2001,7,0.280469,0.5,0.35936
physics,2000,2001,8,0.39237,0.6,0.474464
physics,2000,2001,9,0.529056,0.6,0.562299
physics,2000,2001,10,0.40444,0.5,0.447172
physics,2000,2001,11,0.571023,0.7,0.628968
physics,2000,2001,12,0.350607,0.5,0.412184
physics,2000,2001,13,0.407244,0.4,0.403589
physics,2000,2001,14,0.526789,0.4,0.454722
physics,2000,2001,15,0.561779,0.5,0.529092
physics,2000,2001,16,0.531065,0.8,0.638364
physics,2000,2001,17,0.374842,0.7,0.488238
physics,2000,2001,18,0.298116,0.3,0.299055
physics,2000,2001,19,0.335666,0.5,0.401675
physics,2000,2001,20,0.364295,0.6,0.45334
physics,2000,2001,22,0.390745,0.8,0.525043
physics,2000,2001,23,0.639404,0.5,0.561174
physics,2000,2001,25,0.290193,0.7,0.410294
physics,2000,2001,26,0.528318,0.6,0.561882
physics,2000,2001,27,0.410929,0.1,0.160856
physics,2000,2001,28,0.503293,0.6,0.547408
physics,2000,2001,30,0.382779,0.8,0.517803
physics,2000,2001,31,0.423073,0.6,0.496238
physics,2000,2001,33,0.266857,0.6,0.369413
physics,2000,2001,34,0.239583,0.5,0.323943
physics,2000,2001,35,0.487065,0.7,0.574434
physics,2000,2001,36,0.400301,0.4,0.40015
physics,2000,2001,38,0.231209,0.6,0.333792
physics,2000,2001,39,0.387794,0.7,0.499094
physics,2000,2001,40,0.273211,0.6,0.375457
physics,2000,2001,42,0.37467,0.6,0.461288
physics,2000,2001,43,0.556211,0.7,0.619876
physics,2000,2001,44,0.241116,0.4,0.30087
physics,2000,2001,45,0.360215,1.0,0.529644
physics,2000,2001,46,0.328894,0.6,0.424885
physics,2000,2001,47,0.521355,0.7,0.597613
physics,2000,2001,48,0.321261,0.9,0.473502
physics,2000,2001,49,0.500464,0.3,0.37513
physics,2001,2002,0,0.240269,0.1,0.141223
physics,2001,2002,1,0.27108,0.5,0.351559
physics,2001,2002,2,0.310009,0.4,0.349301
physics,2001,2002,3,0.377105,0.6,0.463129
physics,2001,2002,4,0.343945,0.4,0.369861
physics,2001,2002,5,0.465415,0.3,0.364833
physics,2001,2002,6,0.396483,0.3,0.341559
physics,2001,2002,7,0.255528,0.5,0.338211
physics,2001,2002,8,0.42841,0.8,0.558002
physics,2001,2002,9,0.337119,0.6,0.431688
physics,2001,2002,10,0.571632,0.8,0.666805
physics,2001,2002,11,0.342267,0.6,0.435885
physics,2001,2002,12,0.349763,0.2,0.254483
physics,2001,2002,13,0.332037,0.5,0.399065
physics,2001,2002,14,0.363101,0.6,0.452415
physics,2001,2002,15,0.333112,0.4,0.363504
physics,2001,2002,16,0.435545,0.7,0.536978
physics,2001,2002,17,0.402479,0.5,0.445971
physics,2001,2002,18,0.4075,0.7,0.515124
physics,2001,2002,19,0.290306,0.7,0.410407
physics,2001,2002,20,0.317216,0.6,0.415016
physics,2001,2002,21,0.426918,1.0,0.598378
physics,2001,2002,22,0.321791,0.6,0.418912
physics,2001,2002,23,0.552775,0.6,0.57542
physics,2001,2002,25,0.457652,0.6,0.519247
physics,2001,2002,26,0.433615,0.8,0.562399
physics,2001,2002,27,0.349763,0.7,0.466456
physics,2001,2002,28,0.616854,0.8,0.69659
physics,2001,2002,30,0.443529,0.3,0.357911
physics,2001,2002,31,0.397825,0.4,0.39891
physics,2001,2002,32,0.45479,0.4,0.425639
physics,2001,2002,33,0.378553,0.7,0.491375
physics,2001,2002,34,0.245176,0.2,0.220296
physics,2001,2002,35,0.329562,0.6,0.425442
physics,2001,2002,36,0.573548,0.4,0.471305
physics,2001,2002,37,0.246958,0.4,0.305377
physics,2001,2002,38,0.239639,0.5,0.323994
physics,2001,2002,39,0.421177,0.6,0.494931
physics,2001,2002,40,0.368669,0.4,0.383696
physics,2001,2002,42,0.457587,0.7,0.553411
physics,2001,2002,43,0.526362,0.8,0.634954
physics,2001,2002,44,0.547296,0.7,0.6143
physics,2001,2002,45,0.356028,0.4,0.376735
physics,2001,2002,46,0.532789,0.5,0.515874
physics,2001,2002,47,0.561569,0.7,0.623189
physics,2001,2002,48,0.276084,0.6,0.378161
physics,2001,2002,49,0.329603,0.5,0.397302
physics,2002,2003,0,0.34668,0.4,0.371436
physics,2002,2003,1,0.329616,0.5,0.397312
physics,2002,2003,2,0.50471,0.1,0.166926
physics,2002,2003,3,0.370905,0.8,0.506828
physics,2002,2003,4,0.258757,0.1,0.144252
physics,2002,2003,5,0.387945,0.7,0.499219
physics,2002,2003,6,0.214654,0.2,0.207068
physics,2002,2003,7,0.275287,0.4,0.326128
physics,2002,2003,8,0.45833,0.9,0.607359
physics,2002,2003,9,0.539303,0.3,0.385536
physics,2002,2003,10,0.511561,0.7,0.591126
physics,2002,2003,11,0.394458,0.3,0.340805
physics,2002,2003,12,0.320848,0.2,0.246404
physics,2002,2003,13,0.385051,0.7,0.496817
physics,2002,2003,14,0.48441,0.4,0.438177
physics,2002,2003,15,0.292988,0.3,0.296453
physics,2002,2003,16,0.583862,0.7,0.636678
physics,2002,2003,17,0.463262,0.5,0.480931
physics,2002,2003,18,0.346302,0.6,0.439144
physics,2002,2003,19,0.323447,0.6,0.420312
physics,2002,2003,20,0.366935,0.4,0.382755
physics,2002,2003,21,0.556347,0.7,0.619961
physics,2002,2003,22,0.490245,0.1,0.166116
physics,2002,2003,23,0.548767,0.8,0.650985
physics,2002,2003,24,0.471737,0.4,0.432917
physics,2002,2003,25,0.507457,0.6,0.549862
physics,2002,2003,26,0.389501,0.6,0.472361
physics,2002,2003,27,0.388489,0.5,0.437247
physics,2002,2003,28,0.473392,0.6,0.529229
physics,2002,2003,30,0.326247,0.7,0.445064
physics,2002,2003,31,0.346274,0.5,0.409175
physics,2002,2003,32,0.383436,0.5,0.434028
physics,2002,2003,33,0.39497,0.6,0.47636
physics,2002,2003,34,0.377134,0.2,0.261384
physics,2002,2003,35,0.42333,0.6,0.496415
physics,2002,2003,36,0.285131,0.2,0.235096
physics,2002,2003,37,0.344967,0.5,0.408261
physics,2002,2003,38,0.358015,0.5,0.41726
physics,2002,2003,39,0.367369,0.3,0.330284
physics,2002,2003,40,0.615982,0.5,0.551964
physics,2002,2003,42,0.431508,0.8,0.560624
physics,2002,2003,43,0.672358,0.9,0.7697
physics,2002,2003,44,0.544272,0.6,0.570779
physics,2002,2003,45,0.310945,0.5,0.383435
physics,2002,2003,46,0.297385,0.3,0.298687
physics,2002,2003,47,0.50388,0.7,0.585965
physics,2002,2003,48,0.349395,0.6,0.441622
physics,2002,2003,49,0.303395,0.2,0.241079
physics,2003,2004,0,0.473376,0.2,0.281196
physics,2003,2004,1,0.284103,0.2,0.234746
physics,2003,2004,2,0.341556,0.4,0.368475
physics,2003,2004,3,0.43476,0.8,0.563361
physics,2003,2004,4,0.339433,0.6,0.433581
physics,2003,2004,5,0.340684,0.3,0.31905
physics,2003,2004,6,0.302594,0.3,0.301292
physics,2003,2004,7,0.386963,0.3,0.337977
physics,2003,2004,8,0.62432,0.8,0.701326
physics,2003,2004,9,0.292871,0.4,0.338153
physics,2003,2004,10,0.810264,0.9,0.852778
physics,2003,2004,11,0.31761,0.3,0.308554
physics,2003,2004,12,0.443081,0.5,0.469823
physics,2003,2004,13,0.358535,0.7,0.474192
physics,2003,2004,14,0.518532,0.7,0.595753
physics,2003,2004,15,0.460996,0.5,0.479706
physics,2003,2004,16,0.506098,0.8,0.619982
physics,2003,2004,17,0.440639,0.6,0.508118
physics,2003,2004,18,0.40378,0.4,0.401881
