subject,year_from,year_to,n_topics,avg_ttc,avg_tts,avg_ttq
physics,2000,2001,44,0.442087,0.625426,0.495888
physics,2001,2002,47,0.442587,0.649413,0.498765
physics,2002,2003,48,0.437549,0.639606,0.489031
physics,2003,2004,47,0.462017,0.631926,0.501087
physics,2004,2005,47,0.47498,0.645239,0.514244
physics,2005,2006,47,0.497886,0.580205,0.505075
physics,2006,2007,48,0.510789,0.573365,0.507926
physics,2007,2008,48,0.531413,0.55589,0.516333
physics,2008,2009,50,0.516318,0.584073,0.51129
physics,2009,2010,50,0.540586,0.533996,0.513801
physics,2010,2011,50,0.557726,0.515633,0.511308
physics,2011,2012,49,0.573515,0.493539,0.504583
physics,2012,2013,48,0.580812,0.493686,0.511313
physics,2013,2014,49,0.582183,0.483239,0.510009
physics,2014,2015,49,0.587612,0.476249,0.506246
physics,2015,2016,49,0.591996,0.469983,0.508209
physics,2016,2017,50,0.588632,0.470756,0.50936
physics,2017,2018,49,0.59844,0.451009,0.505503
physics,2018,2019,49,0.605204,0.45344,0.507305
physics,2019,2020,49,0.610566,0.454471,0.512502
physics,2020,2021,49,0.61068,0.443835,0.503035
physics,2021,2022,50,0.604873,0.449929,0.503372
physics,2022,2023,49,0.605792,0.442889,0.498774
physics,2023,2024,49,0.607801,0.446982,0.502616
physics,2024,2025,49,0.610624,0.43158,0.497731
