subject,year,num_docs,num_topics_total,num_topics_active,coherence_cv,irbo_mean,topic_quality
cs,2000,488,50,46,0.472051,0.997954,0.64093
cs,2001,594,50,41,0.427008,0.998051,0.598116
cs,2002,648,50,43,0.456825,0.99835,0.626826
cs,2003,825,50,50,0.443265,0.996658,0.613621
cs,2004,948,50,47,0.412398,0.998186,0.583659
cs,2005,1000,50,50,0.453585,0.998483,0.623796
cs,2006,1000,50,48,0.431989,0.999321,0.603217
cs,2007,1000,50,48,0.437045,0.999028,0.608075
cs,2008,1000,50,49,0.450776,0.996912,0.62083
cs,2009,1000,50,48,0.392629,0.998754,0.563669
cs,2010,1362,50,50,0.396664,0.999046,0.567863
cs,2011,1622,50,48,0.413052,0.999148,0.584478
cs,2012,2254,50,49,0.434112,0.998837,0.605195
cs,2013,2719,50,50,0.423933,0.999089,0.595278
cs,2014,2989,50,50,0.40882,0.999109,0.580222
cs,2015,3345,50,50,0.418011,0.999277,0.589448
cs,2016,4280,50,49,0.444938,0.999259,0.615717
cs,2017,5534,50,50,0.481305,0.999156,0.649661
cs,2018,7470,50,50,0.50641,0.999163,0.672151
cs,2019,9549,50,50,0.54442,0.998998,0.704766
cs,2020,12352,50,50,0.570605,0.998929,0.726322
cs,2021,14096,50,50,0.587064,0.998922,0.739516
cs,2022,14993,50,50,0.595826,0.998895,0.746422
cs,2023,17825,50,50,0.606017,0.998856,0.754357
cs,2024,23529,50,50,0.627328,0.99891,0.770667
cs,2025,33334,50,50,0.656881,0.999038,0.79261
